observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-was-20260822t232931z-001,WAS,,local-source-washington-commanders,https://www.commanders.com/news/commanders-inactives-detroit-lions-preseason,https://www.commanders.com/news/commanders-inactives-detroit-lions-preseason,2026-08-22T09:59:00-04:00,2026-08-22T23:31:57Z,availability,official_fact,"Washington declared running backs Rachaad White, Jacory Croskey-Merritt and Jeremy McNichols inactive for the preseason game at Detroit.",new,,was-det-pre2-2026-rb-inactives,high,medium,medium,reader-was-det,Game-specific official inactive list; player IDs unresolved.
obs-2026-was-20260822t232931z-002,WAS,,local-source-washington-commanders,https://www.commanders.com/news/commanders-inactives-detroit-lions-preseason,https://www.commanders.com/news/commanders-inactives-detroit-lions-preseason,2026-08-22T09:59:00-04:00,2026-08-22T23:31:57Z,availability,official_fact,"Washington declared center Nick Allegretti and left tackle Laremy Tunsil inactive for the preseason game at Detroit.",new,,was-det-pre2-2026-starting-ol-inactives,high,medium,medium,reader-was-det,Game-specific official inactive list; player IDs unresolved.
obs-2026-was-20260822t232931z-003,WAS,,local-source-washington-commanders,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,2026-08-22T15:08:00-04:00,2026-08-22T23:31:57Z,usage,official_fact,Washington used its starting offense for one possession and the unit went three-and-out.,new,,was-det-pre2-2026-starting-offense-one-drive,high,medium,medium,reader-was-det,Team recap identifies the unit context; preseason sample was one possession.
obs-2026-was-20260822t232931z-004,WAS,,local-source-washington-commanders,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,2026-08-22T15:08:00-04:00,2026-08-22T23:31:57Z,usage,official_fact,Washington's starting defense played Detroit's first two series and forced turnovers on both possessions.,new,,was-det-pre2-2026-starting-defense-two-turnovers,high,medium,low,reader-was-det,The two turnovers came against quarterback Josh Dobbs in a brief preseason sample.
obs-2026-was-20260822t232931z-005,WAS,,local-source-washington-commanders,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,2026-08-22T15:08:00-04:00,2026-08-22T23:31:57Z,performance,official_fact,Athan Kaliakmanis completed 78 percent of his passes for 162 yards and was not sacked against Detroit.,new,,was-det-pre2-2026-kaliakmanis-passing,high,medium,low,reader-was-det,Reserve-quarterback game performance; player ID unresolved.
obs-2026-was-20260822t232931z-006,WAS,,local-source-washington-commanders,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,2026-08-22T15:08:00-04:00,2026-08-22T23:31:57Z,performance,official_fact,Athan Kaliakmanis completed downfield passes of 55 yards to Nick Nash and 30 yards to Jaden Bradley.,new,,was-det-pre2-2026-kaliakmanis-deep-completions,high,medium,low,reader-was-det,Two related downfield completions from the same reserve-quarterback performance.
obs-2026-was-20260822t232931z-007,WAS,,local-source-washington-commanders,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,https://www.commanders.com/news/washington-commanders-detroit-lions-preseason-takeaways,2026-08-22T15:08:00-04:00,2026-08-22T23:31:57Z,performance,official_fact,Washington recorded five sacks while Odafe Oweh and K'Lavon Chaisson were inactive.,new,,was-det-pre2-2026-five-sacks,high,low,low,reader-was-det,Team-level preseason pass-rush result with absence context.
obs-2026-det-20260822t232931z-001,DET,,local-source-detroit-lions,https://www.detroitlions.com/news/recap-lions-vs-commanders-dobbs-meeks-williams,https://www.detroitlions.com/news/recap-lions-vs-commanders-dobbs-meeks-williams,2026-08-22T15:27:00-04:00,2026-08-22T23:31:57Z,performance,official_fact,Detroit produced 279 total yards and converted 52.9 percent of its third downs in the 17-13 win over Washington.,new,,det-was-pre2-2026-team-offense,high,low,low,reader-was-det,Official team recap; preseason team-level performance.
obs-2026-det-20260822t232931z-002,DET,,local-source-detroit-lions,https://www.detroitlions.com/news/notebook-rookie-moore-makes-impact-detroit-lions-preseason-debut-gill-howard-meeks,https://www.detroitlions.com/news/notebook-rookie-moore-makes-impact-detroit-lions-preseason-debut-gill-howard-meeks,2026-08-22T17:03:00-04:00,2026-08-22T23:31:57Z,performance,official_fact,Derrick Moore recorded a sack forced fumble and tackle for loss in his preseason debut.,new,,det-was-pre2-2026-derrick-moore-impact,high,medium,low,reader-was-det,Moore was returning from a minor groin injury; player ID unresolved.
obs-2026-det-20260822t232931z-003,DET,,local-source-detroit-lions,https://www.detroitlions.com/news/notebook-rookie-moore-makes-impact-detroit-lions-preseason-debut-gill-howard-meeks,https://www.detroitlions.com/news/notebook-rookie-moore-makes-impact-detroit-lions-preseason-debut-gill-howard-meeks,2026-08-22T17:03:00-04:00,2026-08-22T23:31:57Z,reps_rotation,official_fact,Skyler Gill-Howard received early snaps with Detroit's first-team defense against Washington.,new,,det-was-pre2-2026-gill-howard-first-team-snaps,high,high,medium,reader-was-det,Official team notebook also states the first-team usage had appeared in practice during the prior week.
