observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-car-20260822t232931z-001,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,usage,firsthand_observation,"Carolina's starting offense played 11 snaps across two possessions before leaving the game.",new,,car-jax-pre2-2026-starting-offense-11-snaps,high,medium,medium,reader-car-jax,"Team-employed reporter's game observation; Jacksonville rested its starters, limiting opponent-quality inference."
obs-2026-car-20260822t232931z-002,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,performance,official_fact,"Bryce Young completed five of six passes for 49 yards during his two possessions.",new,,car-jax-pre2-2026-bryce-young-5-6-49,high,medium,medium,reader-car-jax,"Preseason performance against Jacksonville reserves."
obs-2026-car-20260822t232931z-003,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,availability,official_fact,"Chuba Hubbard did not play, and Jonathon Brooks started at running back for Carolina.",new,,car-jax-pre2-2026-hubbard-out-brooks-start,high,high,high,reader-car-jax,"The recap did not state why Hubbard was held out; do not infer injury or depth-chart displacement."
obs-2026-car-20260822t232931z-004,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,usage,firsthand_observation,"Jonathon Brooks received five carries for 18 yards and scored from one yard on Carolina's second possession.",new,,car-jax-pre2-2026-brooks-five-carries-touchdown,high,medium,high,reader-car-jax,"Brooks' work occurred with the starting offense against Jacksonville reserves."
obs-2026-car-20260822t232931z-005,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,performance,firsthand_observation,"After missing a protection block on the opening possession, Jonathon Brooks successfully picked up a rusher on the next drive before Bryce Young completed a 15-yard pass to Tommy Tremble.",new,,car-jax-pre2-2026-brooks-pass-protection,high,medium,medium,reader-car-jax,"Two directly comparable protection reps from the same game; this does not establish season-long protection reliability."
obs-2026-car-20260822t232931z-006,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,usage,firsthand_observation,"Bryce Young completed consecutive red-zone-drive passes to Tetairoa McMillan for 17 and eight yards, with the second reception ending at the Jacksonville 1-yard line.",new,,car-jax-pre2-2026-young-mcmillan-red-zone-targets,high,medium,high,reader-car-jax,"Two receptions on one scoring drive against reserve defenders; no full-route denominator was available."
obs-2026-car-20260822t232931z-007,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,availability,official_fact,"Xavier Legette did not play after being rolled up on in the August 19 joint practice, and Brycen Tremayne started in his place.",new,,car-jax-pre2-2026-legette-out-tremayne-start,high,high,medium,reader-car-jax,"The team described Legette's removal as precautionary and gave no diagnosis."
obs-2026-car-20260822t232931z-008,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,availability,official_fact,"Darren Waller did not play and had not yet practiced with the team as of the game recap.",new,,car-jax-pre2-2026-darren-waller-no-practice,high,high,high,reader-car-jax,"The article did not give an injury diagnosis or return date."
obs-2026-car-20260822t232931z-009,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,usage,firsthand_observation,"Carolina's first-team defense played 16 snaps before leaving the game.",new,,car-jax-pre2-2026-first-defense-16-snaps,high,medium,low,reader-car-jax,"Four projected defensive starters were held out, so first-team is the article's unit label rather than the complete projected lineup."
obs-2026-car-20260822t232931z-010,CAR,,local-writer-kassidy-hill,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,https://www.panthers.com/news/rapid-reactions-panthers-beat-the-jaguars-34-17-as-starters-shine,2026-08-21T22:33:00-04:00,2026-08-22T20:05:00-04:00,availability,official_fact,"Derrick Brown, Jaycee Horn, Devin Lloyd and Jaelan Phillips did not play after all four participated in the August 19 joint practice.",new,,car-jax-pre2-2026-four-defensive-starters-rested,high,medium,low,reader-car-jax,"The official recap framed them as defensive starters held out and did not report new injuries."
