observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-sea-20260910t222845z-001,SEA,pp-all-sam-darnold-001,local-source-seattle-seahawks,https://www.seahawks.com/news/2026-week-1-seahawks-vs-patriots-injury-updates,https://www.seahawks.com/news/2026-week-1-seahawks-vs-patriots-injury-updates,2026-09-10T00:43:25Z,2026-09-10T22:30:44Z,injury,official_fact,Club in-game injury page states quarterback Sam Darnold has a hip injury and will not return to the Week 1 game against New England.,new,,sea-2026-w01-darnold-hip-out,high,medium,high,reader-sea-official,"Seahawks.com in-game injury updates page. The page's NewsArticle byline is Ari Horton, who is not listed in the team's beat-writers/sources.csv; the claim is therefore attributed to the club as publisher (local-source-seattle-seahawks), not to an individual reporter. published_at taken from the NewsArticle JSON-LD block whose headline matches the page title; the page also serves a second JSON-LD block for an unrelated photo gallery. dateModified was not used. The page states the hip and the non-return only; it states no diagnosis, severity or prognosis."
obs-2026-sea-20260910t222845z-002,SEA,pp-all-sam-darnold-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,injury,official_fact,"Official book records Darnold injured during a third-and-6 sack at 12:27 of the first quarter, ending Seattle's opening possession, then lists his return as questionable and later lists him as out of the game at 0:45 of the second quarter; the book records no body part, cause, diagnosis or prognosis.",confirm,obs-2026-sea-20260910t222845z-001,sea-2026-w01-darnold-hip-out,high,medium,medium,reader-sea-official,"Play-by-play, first quarter (3-6-NE 46, (12:27) S.Darnold sacked at SEA 49 for -5 yards (D.Jones), with the injury notation on that play), the Injury Update line at first quarter 6:02, and the Injury Update line at second quarter 0:45. NOT INDEPENDENT of obs-2026-sea-20260910t222845z-001: both derive from the same league in-game injury reporting, so treat as one evidence cluster rather than two corroborating sources. TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
obs-2026-sea-20260910t222845z-003,SEA,pp-all-sam-darnold-001,local-source-seattle-seahawks,https://www.seahawks.com/news/seahawks-get-great-news-on-sam-darnold-s-hip-injury,https://www.seahawks.com/news/seahawks-get-great-news-on-sam-darnold-s-hip-injury,2026-09-10T04:54:00Z,2026-09-10T22:30:45Z,injury,official_fact,"Head coach Mike Macdonald said after the game that imaging ruled out a fracture in Darnold's hip, that further tests were still to come, and that he did not know the extent of the injury or Darnold's outlook for Seattle's Week 2 game at Arizona.",update,obs-2026-sea-20260910t222845z-001,sea-2026-w01-darnold-hip-fracture-ruled-out,high,high,high,reader-sea-official,"Club-published account of the head coach's postgame remarks; paraphrased, not reproduced. Byline is John Boyle, who is registered as local-writer-john-boyle and is assigned to the beat lane of this run, so a duplicate cluster with reader-sea-beat is likely; attributed here to the club as publisher because the underlying claim is the head coach's official statement. published_at taken from the NewsArticle JSON-LD block whose headline matches the page title; the page also serves a second JSON-LD block for an unrelated photo gallery. dateModified was not used."
obs-2026-sea-20260910t222845z-004,SEA,pp-all-sam-darnold-001,local-source-seattle-seahawks,https://www.seahawks.com/news/mike-macdonald-on-seattle-sports-710am-test-on-sam-darnold-s-hip-shows-really-good-news,https://www.seahawks.com/news/mike-macdonald-on-seattle-sports-710am-test-on-sam-darnold-s-hip-shows-really-good-news,2026-09-10T17:14:14Z,2026-09-10T22:30:45Z,injury,official_fact,"Macdonald said on his day-after Seattle Sports 710AM show that further test results showed Darnold's hip is intact and that the problem is muscular rather than structural, that Darnold is in pain, and that the club does not yet know how long he will be out.",update,obs-2026-sea-20260910t222845z-003,sea-2026-w01-darnold-hip-imaging-muscle,high,high,high,reader-sea-official,"Most current official medical statement retrieved in the window. Remarks originated on the Seattle Sports 710AM broadcast; no broadcast URL with its own timestamp was retrieved, so origin_url is the club's written account, which is the earliest retrievable record. Byline John Boyle (registered, assigned to this run's beat lane) - duplicate cluster with reader-sea-beat likely. published_at taken from the NewsArticle JSON-LD block whose headline matches the page title; the page also serves a second JSON-LD block for an unrelated photo gallery. dateModified was not used. No return date, practice status or official injury designation is stated."
obs-2026-sea-20260910t222845z-005,SEA,pp-all-sam-darnold-001,local-source-seattle-seahawks,https://www.seahawks.com/news/mike-macdonald-on-seattle-sports-710am-test-on-sam-darnold-s-hip-shows-really-good-news,https://www.seahawks.com/news/mike-macdonald-on-seattle-sports-710am-test-on-sam-darnold-s-hip-shows-really-good-news,2026-09-10T17:14:14Z,2026-09-10T22:30:45Z,depth_chart,official_fact,"Asked whether Darnold could play in Week 2 at Arizona, Macdonald said he did not know, and that his own expectation, which he described as his thinking rather than a decision he had been given, is that Drew Lock would play in Darnold's place.",new,,sea-2026-w01-week2-qb-lock-expectation,high,immediate,high,reader-sea-official,"Split from obs-2026-sea-20260910t222845z-004 because the Week 2 starter question is a separate claim from the test results. The head coach explicitly framed this as an unconfirmed expectation, not an announcement; no Week 2 starter has been named. No canonical player profile exists for Drew Lock, so his ID is unresolved and player_ids carries Darnold only."
obs-2026-sea-20260910t222845z-006,SEA,pp-all-sam-darnold-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,usage,measured_data,"Official book charts the Seattle quarterback split as Darnold 5 of 50 offensive snaps (10 percent), confined to the opening possession, and Lock 45 of 50 (90 percent); Darnold finished 1 of 2 for 13 yards with one sack for -5, and Lock 16 of 22 for 187 yards with one touchdown, no interceptions and one sack for -7.",new,,sea-2026-w01-qb-snap-split,high,medium,high,reader-sea-official,"Passing lines from Final Individual Statistics; snap counts from the Playtime Percentage table, which the book labels Unofficial. DENOMINATOR DEFINITION (reconciled, not a discrepancy): page 3 'Total Offensive Plays (inc. times thrown passing)' counts 48 STATISTICAL plays for Seattle (24 pass attempts + 22 rushes + 2 sacks); the page 16 playtime table counts 50 SNAPS, which additionally includes plays that were snapped and run and then wiped out by a live-ball penalty. Seattle had exactly two: Q2 4-1-NE 46 (4:54) direct snap to A.Barner, run for 1 yard, negated by Offensive Offside on A.Bradford; and Q3 3-4-NE 7 (3:25) Lock pass to Kupp for a touchdown, negated by Illegal Shift. 48 + 2 = 50. Dead-ball fouls are correctly excluded because no ball was snapped - which is why Darnold's 5 snaps match his 5 plays from scrimmage and exclude the Saubert false start on his drive. Discriminator: the book logs a play RESULT before the penalty line when the ball was snapped. Dropback split for rate work: Darnold 3 (2 attempts + 1 sack), Lock 23 (22 + 1). TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
obs-2026-sea-20260910t222845z-007,SEA,pp-all-jadarian-price-001;pp-all-george-holani-001;pp-all-emanuel-wilson-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,usage,measured_data,"Official book lists Seattle rushing as Jadarian Price 10 carries for 52 yards (long 13), George Holani 8 for 29, Drew Lock 2 for 13 on scrambles, and Emanuel Wilson 2 for 3, from 22 team rushes for 97 yards with no rushing touchdown; backfield offensive snaps were Price 24 of 50 (48 percent), Holani 23 (46 percent) and Wilson 3 (6 percent).",new,,sea-2026-w01-backfield-usage,high,medium,high,reader-sea-official,"Final Individual Statistics rushing table and the Unofficial Playtime Percentage table. Lock's 2 rushes include a kneel-down for -1 at 0:21 of the fourth quarter, so 14 of his 13 net yards came on a single scramble; his carries are quarterback plays and are not backfield touches. Fullback B.Russell took 17 offensive snaps (34 percent) and had no carry. Snap base is 50 snaps. See obs-2026-sea-20260910t222845z-013 for the denominator definition. This is a one-game sample taken with the starting quarterback lost on the opening drive. TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
obs-2026-sea-20260910t222845z-008,SEA,pp-all-jaxon-smith-njigba-001;pp-all-cooper-kupp-001;pp-all-rashid-shaheed-001;pp-all-aj-barner-001;pp-all-elijah-arroyo-001;pp-all-jadarian-price-001;pp-all-george-holani-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,usage,measured_data,"Official book lists Seattle receiving from 24 team targets as Jaxon Smith-Njigba 11 targets, 8 receptions, 122 yards and the team's only touchdown; Cooper Kupp 3-2-35; B.Russell 2-2-20; AJ Barner 2-2-13; Jadarian Price 2-2-6; Rashid Shaheed 3-1-4; George Holani 1-0-0; Elijah Arroyo recorded no target.",new,,sea-2026-w01-receiving-targets,high,medium,high,reader-sea-official,"Final Individual Statistics receiving table. Split by quarterback unit from the play-by-play: Darnold's 2 attempts were one completion to Smith-Njigba for 13 yards and one incompletion to Shaheed, so Lock accounted for 22 of the 24 targets, including 10 of Smith-Njigba's 11 and 2 of Shaheed's 3. Every other listed target came with Lock at quarterback. Smith-Njigba's touchdown was a 45-yard reception from Lock on fourth-and-1 at 11:38 of the fourth quarter. No canonical profile exists for B.Russell, so his ID is unresolved. TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
obs-2026-sea-20260910t222845z-009,SEA,pp-all-jaxon-smith-njigba-001;pp-all-aj-barner-001;pp-all-cooper-kupp-001;pp-all-rashid-shaheed-001;pp-all-elijah-arroyo-001,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,reps_rotation,measured_data,"Official book's playtime table records Seattle pass-catcher participation from 50 offensive snaps as Jaxon Smith-Njigba 45 (90 percent), AJ Barner 44 (88 percent), Cooper Kupp 39 (78 percent), Rashid Shaheed 33 (66 percent), B.Russell 17 (34 percent), Elijah Arroyo 11 (22 percent) and E.Saubert 10 (20 percent); M.Foster took no offensive snap and appeared on special teams only.",new,,sea-2026-w01-passcatcher-snap-share,high,medium,medium,reader-sea-official,"Playtime Percentage table, which the book labels Unofficial; snap base is 50 snaps See obs-2026-sea-20260910t222845z-013 for the denominator definition.. The table reports snap volume only: it does not expose routes run, alignment, or a split of these snaps between the Darnold and Lock units, so per-quarterback participation rates cannot be derived from this document. Arroyo played 11 snaps with zero targets. Tory Horton was an official inactive. TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
obs-2026-sea-20260910t222845z-010,SEA,,local-source-nfl-gamebooks,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,https://static.www.nfl.com/image/upload/v1789038923/gamecenter/a8fb0d78-4feb-11f1-abca-2c54536568a9.pdf,2026-09-10T11:15:23Z,2026-09-10T22:29:57Z,usage,measured_data,"Official team statistics credit Seattle with 48 offensive plays, 24 pass attempts, 22 rushing attempts, 2 sacks allowed for 12 yards, 285 total net yards, 2 of 11 on third down, 1 of 1 on fourth down, 0 of 2 in the red zone, no goal-to-go trips, and 25 minutes 43 seconds of possession in a 13-10 win over New England.",new,,sea-2026-w01-team-offense-denominators,high,medium,high,reader-sea-official,"Final Team Statistics page. These are the matched denominators for every Seattle usage rate in this game. Seattle scored on a 45-yard touchdown pass and two Myers field goals (30 and 26 yards) and reached the red zone twice without a touchdown. Ten Seattle penalties for 98 yards. Page 3 counts 48 statistical plays; the page 16 snap base is 50. See obs-2026-sea-20260910t222845z-013 for the denominator definition. TIMESTAMP LIMITATION (per ARCHITECT ruling): this document prints no publication timestamp and the PDF carries no internal CreationDate (Creator/Producer: ActiveReports 19). published_at is the CDN asset stamp crt=1789038923, derivable from the v1789038923 segment of the document URL = 2026-09-10T11:15:23Z. That is an UPLOAD TIME, not a publisher-declared publication time. Corroborating dated anchor: the patriots.com article 'Gamebook: Patriots at Seahawks Week 1', datePublished 2026-09-10T03:35:57.718Z, which places a published gamebook inside the frozen window; I retrieved that article to verify the headline and timestamp, and note two limits on it - it does not link this static.www.nfl.com URL, and its timestamp precedes the asset stamp by about 7.7 hours, which is consistent with the asset stamp being an upload or re-upload time rather than first publication. Same anchor reader-ne-official used for this same document. ARCHITECT resolves intake eligibility."
