priority_id,subject,current_answer,status,confidence,latest_evidence_ids,next_test,last_updated
1,Opening offensive line and protection,"The published first five remains Slater Awosika Biadasz Strange and Alt. Awosika and Slaughter are the leading current left-guard pair; Slaughter strengthened his interior-flexibility case across seven reserve-unit series in Houston. Slater's managed return and starting-five protection quality remain unresolved.",partially_resolved,medium,"lac-2026-pre-ev-002;lac-2026-pre-ev-005;lac-2026-pre-ev-017;lac-2026-pre-ev-018;lac-2026-pre-ev-019;lac-2026-pre-ev-023;lac-2026-pre-ev-024;lac-2026-pre-ev-025","Chart the first-unit line against San Francisco including Slater availability left-guard deployment pressures games communication and help from backs or tight ends.",2026-08-16
2,Herbert and McDaniel implementation,"Herbert's altered footwork and the timing emphasis are confirmed installation points. McDaniel's structure generated sustained reserve-unit drives in Houston but passing volume play-action rate protection response and explosive access with Herbert remain unmeasured.",open,medium,"lac-2026-pre-ev-001;lac-2026-pre-ev-022","Chart the first meaningful Herbert snaps by motion play action launch point time to throw and target depth.",2026-08-16
3,Omarion Hampton high-value workload,"Hampton is the published RB1. Routes targets two-minute work and inside-10 control remain unresolved.",open,medium,lac-2026-pre-ev-006,"Chart Hampton's first meaningful preseason or regular-season drive by down distance route and scoring-area role.",2026-08-16
4,Complementary backfield roles,"Mitchell is the published RB2 with Vidal and Amar Johnson in the next group. Johnson's 85 scrimmage yards and two touchdowns improved his roster case; the reserve-only Houston distribution did not establish independent first-unit packages or the Mitchell-Vidal order.",open,medium,"lac-2026-pre-ev-007;lac-2026-pre-ev-020","Chart Mitchell Vidal and Johnson with the first unit and separate designed touches from replacement work.",2026-08-16
5,Receiver route hierarchy,"McConkey and Johnston hold the first published receiver spots; Harris is behind McConkey and Thompson behind Johnston. Lambert-Smith produced four first-down receptions with the reserves and strengthened his depth case; first-unit alignment route share and first reads remain unresolved.",open,medium,"lac-2026-pre-ev-008;lac-2026-pre-ev-021","Chart first-unit X Z and slot routes in 11 and two-receiver personnel plus third-down and two-minute work.",2026-08-16
6,Tight-end roles and personnel,"The unofficial chart puts Kolar first but groups Gadsden and Njoku lower. The ordering may describe formation function rather than receiving opportunity.",open,low,lac-2026-pre-ev-009,"Chart every first-unit tight-end snap by alignment route release block and personnel grouping.",2026-08-16
7,O'Leary defensive structure,"Core continuity remains a stated expectation but no measured preseason pressure coverage or sequencing rates are logged.",open,low,,"Chart the San Francisco game by front rush count simulated pressure safety rotation coverage family and money-down personnel.",2026-08-16
8,Edge and interior rotation,"The published edge order is Mack-Mesidor and Tuipulotu-Dupree-Kennard. Mesidor flashed early; Tuipulotu's opening hold-in makes current full participation a required recheck.",open,medium,"lac-2026-pre-ev-003;lac-2026-pre-ev-004;lac-2026-pre-ev-010","Verify Tuipulotu's team participation and chart base nickel and interior-rush snaps for the top four edges.",2026-08-16
9,James secondary and subpackage deployment,"The returning Jackson-Still-Molden-James spine is first on the published chart. Genesis Smith is behind Jefferson and the nickel dime and James alignments remain unknown.",open,medium,lac-2026-pre-ev-011,"Chart James by box slot deep and rush alignment plus the secondary combination when Genesis Smith plays.",2026-08-16
10,Return roles and rookie roster influence,"Derius Davis remains first at both return jobs; Mitchell and Thompson are the first listed alternatives. Of 18 signed UDFAs 15 are on the active camp roster one is on Active/NFI one is on Reserve/Injured and one was waived.",partially_resolved,high,"lac-2026-pre-ev-012;lac-2026-pre-ev-013;lac-2026-pre-ev-014;lac-2026-pre-ev-015;lac-2026-pre-ev-016","Record every San Francisco return and coverage assignment plus first-unit or special-teams work for the active UDFAs.",2026-08-16
