candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
east-01,"New York Giants communications","New York Giants",organization,initial,"roster; injuries; transactions; press conferences; interviews",https://www.giants.com/news/,https://www.giants.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-new-york-giants,2026-08-21
east-02,"NFL gamebooks and participation records","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
east-03,"Jordan Raanan","ESPN NFL Nation",person,initial,"daily beat; injuries; roles; organization",https://espnpressroom.com/us/bios/jordan-raanan/,https://espnpressroom.com/us/bios/jordan-raanan/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jordan-raanan,2026-08-21
east-04,"Dan Duggan","The Athletic",person,initial,"practice; roster construction; contracts; scheme",https://www.nytimes.com/athletic/author/dan-duggan/,https://www.nytimes.com/athletic/author/dan-duggan/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dan-duggan,2026-08-21
east-05,"Charlotte Carroll","The Athletic",person,initial,"daily beat; roster; organization; features",https://www.nytimes.com/athletic/author/charlotte-carroll/,https://www.nytimes.com/athletic/author/charlotte-carroll/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-charlotte-carroll,2026-08-21
east-06,"Art Stapleton","NorthJersey.com / USA TODAY Network",person,initial,"camp; injuries; roster; organization",https://profile.northjersey.com/newsletters/manage/,https://profile.northjersey.com/newsletters/manage/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-art-stapleton,2026-08-21
east-07,"Paul Schwartz","New York Post",person,initial,"daily beat; organization; roster; game coverage",https://podcasts.apple.com/us/podcast/blue-rush-new-york-giants-podcast/id1484131113,https://podcasts.apple.com/us/podcast/blue-rush-new-york-giants-podcast/id1484131113,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-paul-schwartz,2026-08-21
east-08,"Ryan Dunleavy","New York Post",person,omission_pass,"camp observations; personnel; local television appearances",https://nypost.com/sports/giants/,https://nypost.com/sports/giants/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-ryan-dunleavy,2026-08-21
east-09,"Pat Leonard","New York Daily News",person,omission_pass,"camp; organization; coaching; roster",https://www.nydailynews.com/author/pat-leonard/,https://www.nydailynews.com/author/pat-leonard/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-pat-leonard,2026-08-21
east-10,"Bobby Skinner","Giants Nation Show",person,omission_pass,"All-22 film; line play; role projections; interviews",https://podcasts.apple.com/us/podcast/giants-nation-show-giants-podcast/id1806946421,https://podcasts.apple.com/us/podcast/giants-nation-show-giants-podcast/id1806946421,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-bobby-skinner,2026-08-21
east-11,"Connor Hughes","SNY",person,omission_pass,"local television; breaking news; organization; camp",https://sny.tv/talent,https://sny.tv/talent,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-connor-hughes,2026-08-21
east-12,"John Schmeelk","New York Giants",person,omission_pass,"team interviews; daily camp show; roster context",https://www.giants.com/podcasts/2026_podcast,https://www.giants.com/podcasts/2026_podcast,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-john-schmeelk,2026-08-21
east-13,"Eric Kennedy","Big Blue Interactive",person,omission_pass,"camp reports; source synthesis; transactions; historical context",https://bigblueinteractive.com/,https://bigblueinteractive.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-eric-kennedy,2026-08-21
east-14,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/new-york-giants,https://overthecap.com/team/new-york-giants,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
east-15,"Pro Football Reference","Sports Reference",organization,omission_pass,"game logs; snap counts; history",https://www.pro-football-reference.com/teams/nyg/2026.htm,https://www.pro-football-reference.com/teams/nyg/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
