player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Jalon Daniels,QB,Kansas,2026-05-08,On 90-man roster,2026-07-27,Developmental quarterback competing behind Baker Mayfield and Jake Browning,https://www.buccaneers.com/team/transactions/,2026-08-17
Kenny Fletcher Jr.,TE,Georgia Tech,2026-05-08,On 90-man roster,2026-07-27,Depth tight end in a room led by Cade Otton Ko Kieft and Bauer Sharp,https://www.buccaneers.com/team/transactions/,2026-08-17
Caden Fordham,LB,NC State,2026-05-08,On 90-man roster,2026-07-27,Depth linebacker and special-teams candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Ayden Garnes,CB,Arizona,2026-05-08,On 90-man roster,2026-07-27,Camp corner who received extra exposure during Benjamin Morrison's hamstring absence,https://www.buccaneers.com/team/transactions/,2026-08-17
Josiah Green,DL,Duke,2026-05-08,On 90-man roster,2026-07-27,Interior defensive-line depth candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Henry Lutovsky,G,Nebraska,2026-05-08,On 90-man roster,2026-07-27,Interior offensive-line depth candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Deshawn McKnight,DL,Arizona,2026-05-08,On 90-man roster,2026-07-27,Defensive-line depth candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Jack Pyburn,OLB,LSU,2026-05-08,On 90-man roster,2026-07-27,Edge depth and special-teams candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Eric Rivers Jr.,WR,Florida International,2026-05-08,On 90-man roster,2026-07-27,Receiver depth in crowded post-Evans room,https://www.buccaneers.com/team/transactions/,2026-08-17
Paul Rubelt,T,NFL Player Pathway Program,2026-05-08,On roster exemption,2026-07-27,International Player Pathway offensive tackle exemption,https://www.buccaneers.com/news/buccaneers-initial-90-man-roster-2026-training-camp,2026-08-17
Javin Wright,LB,Nebraska,2026-05-09,On 90-man roster,2026-07-27,Linebacker depth and special-teams candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
Yasir Holmes,OLB,Tarleton State,2026-05-11,On 90-man roster,2026-07-27,Edge depth candidate,https://www.buccaneers.com/team/transactions/,2026-08-17
