observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-dal-20260829t143349z-001,DAL,,local-source-dallas-cowboys,https://www.dallascowboys.com/news/updates-offseason-2026,https://www.dallascowboys.com/news/updates-offseason-2026,2026-08-28T22:43:00-05:00,2026-08-29T14:37:45Z,usage,official_fact,Phil Mafah started the preseason finale and led Dallas with 12 carries for 46 yards while Javonte Williams Malik Davis and Jaydon Blue were held out.,new,,dal-pre3-2026-rb-usage-mafah,high,medium,medium,reader-nfc-east-north,The supporting item is a timestamped update on a live offseason page; the individual update time is used.
obs-2026-nyg-20260829t143349z-001,NYG,,local-source-new-york-giants,https://www.giants.com/team/transactions/,https://www.giants.com/team/transactions/,2026-08-27T12:00:00-04:00,2026-08-29T14:37:45Z,transaction,official_fact,The Giants placed wide receiver Calvin Austin III on Reserve/Injured on August 27.,new,,nyg-2026-calvin-austin-reserve-injured,high,high,medium,reader-nfc-east-north,The transaction log exposes a calendar date but no item-level time; noon local is a date-only normalization limitation requiring synthesis caution.
obs-2026-nyg-20260829t143349z-002,NYG,,local-source-new-york-giants,https://www.giants.com/news/instant-analysis-giants-close-preseason-with-23-6-win-over-jets,https://www.giants.com/news/instant-analysis-giants-close-preseason-with-23-6-win-over-jets,2026-08-29T00:01:00-04:00,2026-08-29T14:37:45Z,depth_chart,official_fact,The Giants identified undrafted rookie Dominic Zvada as their kicker entering the 2026 season after he made three field goals including a 53-yarder in the finale.,new,,nyg-2026-kicker-zvada-selected,high,high,medium,reader-nfc-east-north,Official postgame analysis states the roster decision directly.
obs-2026-phi-20260829t143349z-001,PHI,,local-source-philadelphia-eagles,https://www.philadelphiaeagles.com/team/transactions/,https://www.philadelphiaeagles.com/team/transactions/,2026-08-27T12:00:00-04:00,2026-08-29T14:37:45Z,transaction,official_fact,Philadelphia signed wide receiver Tahj Washington and waived wide receiver Brandon Hayes on August 27.,new,,phi-2026-aug27-wr-swap,high,medium,low,reader-nfc-east-north,The transaction log exposes a calendar date but no item-level time; noon local is a date-only normalization limitation requiring synthesis caution.
obs-2026-det-20260829t143349z-001,DET,,local-source-detroit-lions,https://www.detroitlions.com/news/camp-notes-campbell-reflects-on-lions-2026-training-camp-hutchinson-pacheco,https://www.detroitlions.com/news/camp-notes-campbell-reflects-on-lions-2026-training-camp-hutchinson-pacheco,2026-08-27T16:50:00-04:00,2026-08-29T14:37:45Z,injury,official_fact,Dan Campbell said Isiah Pacheco missed most of camp with a sprained MCL.,new,,det-2026-pacheco-mcl-sprain,high,high,high,reader-nfc-east-north,Direct head-coach injury update carried by the team site.
obs-2026-det-20260829t143349z-002,DET,,local-source-detroit-lions,https://www.detroitlions.com/news/camp-notes-campbell-reflects-on-lions-2026-training-camp-hutchinson-pacheco,https://www.detroitlions.com/news/camp-notes-campbell-reflects-on-lions-2026-training-camp-hutchinson-pacheco,2026-08-27T16:50:00-04:00,2026-08-29T14:37:45Z,availability,official_fact,Dan Campbell said Isiah Pacheco also has a back injury and gave no definitive return date.,new,,det-2026-pacheco-back-return-unknown,high,immediate,high,reader-nfc-east-north,Atomic availability claim separated from the MCL diagnosis in the same source.
obs-2026-gb-20260829t143349z-001,GB,,local-source-green-bay-packers,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,2026-08-28T19:34:00-05:00,2026-08-29T14:37:45Z,performance,measured_data,J. Michael Sturdivant caught six passes for 112 yards and a touchdown in Green Bay's preseason finale.,new,,gb-pre3-2026-sturdivant-receiving,high,medium,low,reader-nfc-east-north,Backup-level preseason performance with starters rested.
obs-2026-gb-20260829t143349z-002,GB,,local-source-green-bay-packers,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,2026-08-28T19:34:00-05:00,2026-08-29T14:37:45Z,performance,measured_data,Will Sheppard caught three passes for 26 yards and a touchdown and returned a punt 81 yards for another score in the preseason finale.,new,,gb-pre3-2026-sheppard-receiving-return,high,medium,low,reader-nfc-east-north,Special-teams contribution may matter to the final roster decision; starters were rested.
obs-2026-gb-20260829t143349z-003,GB,,local-source-green-bay-packers,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,https://www.packers.com/news/in-game-updates-preseason-week-3-cardinals-2026,2026-08-28T19:34:00-05:00,2026-08-29T14:37:45Z,performance,measured_data,Kisean Johnson caught four passes for 52 yards and two late touchdowns in Green Bay's preseason finale.,new,,gb-pre3-2026-kisean-johnson-receiving,high,medium,low,reader-nfc-east-north,Backup-level preseason performance with starters rested.
obs-2026-min-20260829t143349z-001,MIN,,local-source-minnesota-vikings,https://www.vikings.com/news/broncos-2026-preseason-game-observations,https://www.vikings.com/news/broncos-2026-preseason-game-observations,2026-08-28T23:20:00-05:00,2026-08-29T14:37:45Z,availability,official_fact,J.J. McCarthy was limited early in the week and did not practice Wednesday after sustaining an ankle injury against Baltimore.,new,,min-2026-mccarthy-ankle-practice-status,high,high,low,reader-nfc-east-north,McCarthy is a reserve behind named starter Kyler Murray but the injury affects quarterback depth.
obs-2026-min-20260829t143349z-002,MIN,,local-source-minnesota-vikings,https://www.vikings.com/news/broncos-2026-preseason-game-observations,https://www.vikings.com/news/broncos-2026-preseason-game-observations,2026-08-28T23:20:00-05:00,2026-08-29T14:37:45Z,usage,official_fact,Carson Wentz started Minnesota's preseason finale and played two series before Max Brosmer took over.,new,,min-pre3-2026-backup-qb-allocation,high,low,none,reader-nfc-east-north,The Vikings and Broncos rested starters; this is backup allocation rather than a starter-role change.
