player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Noah Avinger,S,Utah State,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Lander Barton,LB,Utah,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Jerand Bradley,TE,Kansas State,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Sincere Brown,WR,Colorado,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Jahmeer Carter,DL,Virginia,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Gregory Desrosiers,RB,Memphis,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Devin Grant,S,Syracuse,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Jacobian Guillory,DL,LSU,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Niles King,OLB,San Diego State,2026-05-08,waived,2026-05-12,Waived when the Chargers added three players after rookie minicamp.,https://www.chargers.com/news/announce-roster-transactions-2026,2026-08-16
Devonte Ross,WR,Penn State,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Rodney Shelley,CB,Georgia Tech,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Avery Smith,CB,Toledo,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Jacob Spomer,C,Fresno State,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Evan Svoboda,TE,Wyoming,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Nadame Tucker,OLB,Western Michigan,2026-05-08,active_camp_roster,,Reunited with defensive coordinator Chris O'Leary after recording 14.5 sacks for Western Michigan in 2025.,https://www.chargers.com/team/players-roster/,2026-08-16
Terry Webb,DL,SMU,2026-05-08,active_camp_roster,,,https://www.chargers.com/team/players-roster/,2026-08-16
Jeremiah Wilson,CB,Florida State,2026-05-08,reserve_injured,2026-05-13,Waived with an injury designation on May 12 and placed on Reserve/Injured after clearing waivers.,https://www.chargers.com/team/transactions/app,2026-08-16
Isaiah World,T,Oregon,2026-05-08,active_nfi,,Recovering from a January ACL tear and listed by the team under Active/Non-Football Injury.,https://www.chargers.com/team/players-roster/,2026-08-16
