player,position,retention_type,transaction_date,through_season,reported_value,strategic_signal,source_url,last_verified
Trent Brown,T,Contract extension,2026-03-10,unknown,Not disclosed by team,Veteran tackle retained during offensive-line overhaul,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
Danielle Hunter,DE,Contract extension,2026-03-10,unknown,Not disclosed by team,Retained one half of the Anderson-Hunter edge duo after 2025 All-Pro recognition,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
Ed Ingram,G,Contract extension,2026-03-10,unknown,Not disclosed by team,Kept an interior-line starter while adding Wyatt Teller Keylan Rutledge and Febechi Nwaiwu,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
Dalton Schultz,TE,Contract extension,2026-03-10,unknown,Not disclosed by team,Retained the top tight end after a high-volume 2025 season under Nick Caley,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
E.J. Speed,LB,Contract extension,2026-03-10,unknown,Not disclosed by team,Retained veteran linebacker depth but opened camp on PUP,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
M.J. Stewart,S,Contract extension,2026-03-10,unknown,Not disclosed by team,Retained veteran safety/nickel depth but opened camp on PUP,https://www.houstontexans.com/news/houston-texans-transactions-3-10-2026,2026-08-17
Naquan Jones,DT,Re-signed,2026-03-13,unknown,Not disclosed by team,Maintained interior defensive-line depth before adding second-round DT Kayden McDonald,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Sheldon Rankins,DT,Re-signed,2026-03-13,unknown,Not disclosed by team,Kept a veteran interior rusher in Burke's rotation,https://www.houstontexans.com/news/houston-texans-transactions-3-13-2026,2026-08-17
Azeez Al-Shaair,LB,Contract extension,2026-05-01,unknown,Not disclosed by team,Retained the central linebacker after a 2025 Pro Bowl season,https://www.houstontexans.com/team/transactions/2026,2026-08-17
Will Anderson Jr.,DE,Contract extension,2026-04-20,unknown,Not disclosed by team,Locked in the defense's premier edge rusher after first-team All-Pro and Defensive Player of the Year finalist recognition,https://www.houstontexans.com/news/houston-texans-sign-all-pro-de-will-anderson-jr-to-extension,2026-08-17

