coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-jesse-minter,Jesse Minter,all,Head Coach,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-declan-doyle,Declan Doyle,offense,Offensive Coordinator,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-anthony-weaver,Anthony Weaver,defense,Defensive Coordinator,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-anthony-levine-sr,Anthony Levine Sr.,special_teams,Special Teams Coordinator,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-marcus-brady,Marcus Brady,offense,Pass Game Coordinator,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-israel-woolfork,Israel Woolfork,offense,Quarterbacks,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-eddie-faulkner,Eddie Faulkner,offense,Running Backs,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-keary-colbert,Keary Colbert,offense,Wide Receivers,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-zack-grossi,Zack Grossi,offense,Tight Ends,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-dwayne-ledford,Dwayne Ledford,offense,Offensive Line/Run Game Coordinator,true,Offensive Line,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-lou-esposito,Lou Esposito,defense,Defensive Line,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-harland-bower,Harland Bower,defense,Outside Linebackers,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-tyler-santucci,Tyler Santucci,defense,Inside Linebackers,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-mike-mickens,Mike Mickens,defense,Pass Game Coordinator/Secondary,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
local-coach-pj-volker,P.J. Volker,defense,Safeties,false,,https://en.wikipedia.org/wiki/2026_Baltimore_Ravens_season,2026-08-13
