priority,subject,why_it_matters,evidence_to_capture,primary_destination,status
1,Opening offensive line and protection,Protection quality is the main transmission point from the roster rebuild to Herbert and every receiver,"first-unit five; left-guard rotation; pressure and sack responsibility; stunt communication; back and tight-end protection help",offense/offensive-line and weekly/2026,open
2,Herbert and McDaniel implementation,The timing and run-pass marriage can change efficiency volume and explosive-play access,"footwork; time to throw; motion; play action; launch point; early-down pass rate; intermediate and deep attempts",offense and weekly/2026,open
3,Omarion Hampton high-value workload,Hampton's routes two-minute work and goal-line share determine whether his volume is merely strong or elite,"first-unit carries; routes; targets; two-minute snaps; inside-10 opportunities; pass protection",offense/backfield and weekly/2026,open
4,Complementary backfield roles,Mitchell and Vidal can either supply narrow changeups or remove meaningful work from Hampton,"RB2 order; independent drive packages; motion; screens; outside runs; short-yardage work; special teams",offense/backfield and weekly/2026,open
5,Receiver route hierarchy,McConkey's target lead and the Johnston-Harris-Thompson perimeter order shape every passing projection,"first-unit routes; X/Z/slot alignment; two-receiver personnel; first reads; third-down and two-minute work",offense/wide-receivers and weekly/2026,open
6,Tight-end roles and personnel,Three veteran-caliber tight ends can create efficient disguise or fragment fantasy routes and targets,"route participation; inline/slot/backfield alignment; pass protection; 12 and 13 personnel; red-zone targets",offense/tight-ends and weekly/2026,open
7,O'Leary defensive structure,Continuity language does not establish actual pressure coverage or sequencing,"fronts; late safety rotation; simulated pressure; blitz rate; man-zone split; third-down substitution",defense and weekly/2026,open
8,Edge and interior rotation,Tuipulotu Mesidor Mack and the interior rotation drive IDP opportunity and opponent pressure,"base and nickel starts; rush snaps; interior rushes; early-down DL order; contract-related participation",defense and weekly/2026,open
9,James secondary and subpackage deployment,James' alignment and the second safety/nickel combinations affect both IDP value and receiver matchups,"box/slot/deep alignment; pressure usage; Genesis Smith snaps; outside-corner order; dime packages",defense and weekly/2026,open
10,Return roles and rookie roster influence,Return jobs can create value and determine the final roster path for receivers backs and UDFAs,"KR/PR order; coverage snaps; preseason phase usage; active/waived/reserve status; first-unit appearances",roster special-teams and weekly/2026,open

