source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-new-york-giants,organization,New York Giants communications,New York Giants,Official team communications,official,essential,active,free,"roster; injuries; transactions; press conferences; interviews","Team-produced analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific record postgame.",,,,2026-08-21
local-writer-jordan-raanan,person,Jordan Raanan,ESPN NFL Nation,New York Giants NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roles; organization","ESPN verifies the assignment.",,,,2026-08-21
local-writer-dan-duggan,person,Dan Duggan,The Athletic,Giants beat reporter,reporting,essential,active,paid,"practice; roster construction; contracts; scheme","Paywalled; summarize and attribute.",,,,2026-08-21
local-writer-charlotte-carroll,person,Charlotte Carroll,The Athletic,Giants beat reporter,reporting,essential,active,paid,"daily beat; roster; organization; features","Current 2026 joint bylines and outlet role verify assignment; paywalled.",,,,2026-08-21
local-writer-art-stapleton,person,Art Stapleton,NorthJersey.com / USA TODAY Network,Giants reporter,reporting,essential,active,paid,"camp; injuries; roster; organization","Current daily Giants newsletter verifies continued coverage.",,,,2026-08-21
local-writer-paul-schwartz,person,Paul Schwartz,New York Post,Giants beat writer,reporting,essential,active,mixed,"daily beat; organization; roster; game coverage","Separate reporting from column analysis.",,,,2026-08-21
local-writer-ryan-dunleavy,person,Ryan Dunleavy,New York Post,Giants reporter,reporting,valuable,active,mixed,"camp observations; personnel; local television appearances","Current 2026 camp reporting confirmed in omission pass.",,,,2026-08-21
local-writer-pat-leonard,person,Pat Leonard,New York Daily News,Giants and NFL reporter,reporting,valuable,active,mixed,"camp; organization; coaching; roster","Attribute sourced claims and separate commentary.",,,,2026-08-21
local-writer-bobby-skinner,person,Bobby Skinner,Giants Nation Show,Giants film analyst,film_analysis,valuable,active,mixed,"All-22 film; line play; role projections; interviews","Independent analysis; verify factual claims at original sources.",,,,2026-08-21
local-writer-connor-hughes,person,Connor Hughes,SNY,NFL insider covering Giants and Jets,reporting,valuable,active,free,"local television; breaking news; organization; camp","SNY verifies coverage of both New York teams; not a daily Giants-only feed.",,,,2026-08-21
local-writer-john-schmeelk,person,John Schmeelk,New York Giants,Radio and podcast host,team_analysis,valuable,active,free,"team interviews; daily camp show; roster context","Team employee; access source rather than independent confirmation.",,,,2026-08-21
local-writer-eric-kennedy,person,Eric Kennedy,Big Blue Interactive,Editor and Giants reporter,team_analysis,valuable,active,free,"camp reports; source synthesis; transactions; historical context","Distinguish original observation from attributed snippets and follow reports to primary sources.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
