player,position,retention_type,transaction_date,through_season,reported_value,strategic_signal,source_url,last_verified
Aidan Hutchinson,EDGE,extension,2025-10-29,2030,Not disclosed,Locks in the primary edge rusher and defensive-front anchor,https://www.detroitlions.com/news/lions-sign-edge-aidan-hutchinson-to-contract-extension-through-the-2030-season,2026-08-17
Jameson Williams,WR,extension,2025-09-07,2029,Not disclosed,Confirms Detroit's long-term investment in the vertical receiver opposite Amon-Ra St. Brown,https://www.detroitlions.com/news/lions-sign-wr-jameson-williams-to-contract-extension-through-the-2029-season,2026-08-17
Kerby Joseph,S,extension,2025-04-24,2029,Not disclosed,Retains the ball-hawking safety core piece despite 2026 injury monitoring,https://www.detroitlions.com/news/lions-sign-s-kerby-joseph-to-contract-extension-through-2029-season,2026-08-17
Jack Campbell,LB,extension,2026-05-21,2030,Not disclosed,Commits to the green-dot linebacker and defensive centerpiece for Kelvin Sheppard,https://www.detroitlions.com/news/lions-sign-lb-jack-campbell-to-contract-extension-through-the-2030-season,2026-08-17
Jahmyr Gibbs,RB,extension,2026-08-07,2030,Not disclosed,Confirms Gibbs as the long-term offensive centerpiece after David Montgomery trade,https://www.detroitlions.com/news/lions-sign-rb-jahmyr-gibbs-to-contract-extension-through-the-2030-season,2026-08-17
Jake Bates,K,exclusive_rights_signing,2026-03-25,2026,Not disclosed,Kicking continuity for a high-scoring indoor offense,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Malcolm Rodriguez,LB,re-signing,2026-03-16,2026,Not disclosed,Retains linebacker depth and special-teams utility,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Rock Ya-Sin,CB,re-signing,2026-03-16,2026,Not disclosed,Retains outside-corner competition after D.J. Reed addition and Terrion Arnold release,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Myles Adams,DL,re-signing,2026-03-19,2026,Not disclosed,Retains defensive-line depth during front reset,https://www.detroitlions.com/team/transactions/2026,2026-08-17
Avonte Maddox,DB,re-signing,2026-04-06,2026,Not disclosed,Retains nickel/safety depth for Branch/Joseph injury contingency,https://www.detroitlions.com/team/transactions/2026,2026-08-17
