candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
sf-team,49ers communications,San Francisco 49ers,organization,initial,"official record; team-controlled",https://www.49ers.com/news/,https://www.49ers.com/trainingcamp/,include,essential,Official records.,local-source-san-francisco-49ers,2026-08-21
sf-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official participation.,local-source-nfl-gamebooks,2026-08-21
sf-wagoner,Nick Wagoner,ESPN,person,initial,"daily beat; national",https://www.espn.com/nfl/team/_/name/sf/san-francisco-49ers,https://www.espn.com/nfl/story/_/id/47648369/proud-san-francisco-49ers-quickly-turn-page-next-season,include,essential,Current ESPN beat.,local-writer-nick-wagoner,2026-08-21
sf-barrows,Matt Barrows,The Athletic,person,initial,"daily beat; organization",https://www.nytimes.com/athletic/author/matt-barrows/,https://www.nytimes.com/athletic/author/matt-barrows/,include,essential,Primary Athletic beat.,local-writer-matt-barrows,2026-08-21
sf-branch,Eric Branch,SF Chronicle,person,initial,"daily beat; major local",https://www.sfchronicle.com/author/eric-branch/,https://www.sfchronicle.com/sports/49ers/,include,essential,Longstanding Chronicle beat.,local-writer-eric-branch,2026-08-21
sf-furtado,Noah Furtado,SF Chronicle,person,omission_pass,"daily beat; major local",https://www.sfchronicle.com/sports/49ers/article/49ers-camp-injuries-piling-nick-bosa-dre-22375387.php,https://www.sfchronicle.com/sports/49ers/article/bright-spots-49ers-training-camp-inspire-optimism-22377912.php,include,essential,Current recurring camp reporter.,local-writer-noah-furtado,2026-08-21
sf-inman,Cam Inman,Bay Area News Group,person,initial,"daily beat; major local",https://www.mercurynews.com/author/cam-inman/,https://www.mercurynews.com/author/cam-inman/,include,essential,Current BANG beat.,local-writer-cam-inman,2026-08-21
sf-biderman,Chris Biderman,The Sacramento Bee,person,omission_pass,"regional beat; camp; podcast",https://www.sacbee.com/profile/221019610/,https://sports.yahoo.com/articles/day-1-49ers-training-camp-000030265.html,include,valuable,Current firsthand 2026 camp reporting and recurring Sacramento-area 49ers coverage.,local-writer-chris-biderman,2026-08-21
sf-maiocco,Matt Maiocco,NBC Sports Bay Area,person,initial,"daily beat; local TV",https://www.nbcsportsbayarea.com/nfl/san-francisco-49ers/,https://podcasts.apple.com/us/podcast/49ers-talk-a-san-francisco-49ers-podcast/id1153457233,include,essential,High-access reporting.,local-writer-matt-maiocco,2026-08-21
sf-chan,Jennifer Lee Chan,NBC Sports Bay Area,person,initial,"daily beat; local TV",https://www.49ers.com/video/nbc-sports-jennifer-lee-chan-shares-insights-on-49ers-roster-needs-and-special-teams-takeaways,https://podcasts.apple.com/us/podcast/49ers-talk-a-san-francisco-49ers-podcast/id1153457233,include,essential,Current NBC reporter.,local-writer-jennifer-lee-chan,2026-08-21
sf-lombardi,David Lombardi,SF Standard,person,omission_pass,"daily beat; analytics; transactions",https://sfstandard.com/author/david-lombardi/,https://sfstandard.com/author/david-lombardi/,include,essential,Current Standard reporter with differentiated analytics.,local-writer-david-lombardi,2026-08-21
sf-kawakami,Tim Kawakami,SF Standard,person,omission_pass,"organization; commentary",https://sfstandard.com/sports/,https://sfstandard.com/sports/,include,valuable,Executive and organizational context.,local-writer-tim-kawakami,2026-08-21
sf-cohn,Grant Cohn,49ers On SI,person,initial,"daily practice; position usage",https://podcasts.apple.com/us/podcast/the-cohn-zohn/id1492374029,https://podcasts.apple.com/us/podcast/the-cohn-zohn/id1492374029,include,valuable,Firsthand daily practice observations with strict handling.,local-writer-grant-cohn,2026-08-21
sf-chapman,John Chapman,49ers Rush,person,omission_pass,"film and scheme; position usage",https://www.49ersrushroadtrip.com/49ers-rush-podcast,https://www.49ersrushroadtrip.com/49ers-rush-podcast,include,valuable,Differentiated coach-informed film.,local-writer-john-chapman,2026-08-21
sf-evans,Brooke Evans,San Francisco 49ers,person,initial,"team-controlled; official",https://www.49ers.com/news/day-2-of-49ers-camp-2026-defense-flashes-offense-builds-chemistry,https://www.49ers.com/news/,include,valuable,Official daily summaries.,local-writer-brooke-evans,2026-08-21
sf-tolliver,Aubrie Tolliver,San Francisco 49ers,person,omission_pass,"team-controlled; camp observations; position usage",https://www.49ers.com/news/day-4-of-49ers-camp-2026-first-day-of-pads,https://www.49ers.com/news/day-11-of-2026-training-camp-reunions-and-rivalries-at-joint-practice-with-titans,include,valuable,Challenge sweep found recurring co-author of firsthand 2026 daily camp reports.,local-writer-aubrie-tolliver,2026-08-21
sf-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; usage",https://www.pro-football-reference.com/teams/sfo/2026.htm,https://www.pro-football-reference.com/teams/sfo/2026.htm,include,valuable,Structured reference.,local-source-pro-football-reference,2026-08-21
sf-otc,Over the Cap,Over the Cap,organization,initial,transactions,https://overthecap.com/team/san-francisco-49ers,https://overthecap.com/team/san-francisco-49ers,include,valuable,Cap mechanics.,local-source-over-the-cap,2026-08-21
sf-krueger,Larry Krueger,Independent,person,omission_pass,"podcast; analysis",https://www.youtube.com/@TheKruegShow,https://www.youtube.com/@TheKruegShow,exclude,supplemental,High volume but redundant and speculation-heavy.,,2026-08-21
sf-lockedon,Locked On 49ers,Locked On,organization,omission_pass,"podcast; analysis",https://lockedonpodcasts.com/podcasts/locked-on-49ers/,https://lockedonpodcasts.com/podcasts/locked-on-49ers/,exclude,supplemental,Useful synthesis but core lanes are covered by original and film sources.,,2026-08-21
