coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-kyle-shanahan,Kyle Shanahan,all,Head Coach,true,Head Coach,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-klay-kubiak,Klay Kubiak,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-raheem-morris,Raheem Morris,defense,Defensive Coordinator,false,,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-brant-boyer,Brant Boyer,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-chris-foerster,Chris Foerster,offense,Assistant Head Coach/Offensive Line,true,Assistant Head Coach/Offensive Line,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-matt-eberflus,Matt Eberflus,defense,Assistant Head Coach Defense,false,,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-joe-graves,Joe Graves,offense,Run Game Coordinator,true,Offensive Assistant/Quarterbacks Coach,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-leonard-hankerson,Leonard Hankerson,offense,Passing Game Coordinator/Wide Receivers,true,Wide Receivers/Passing Game Specialist,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-robert-turner-jr,Robert Turner Jr.,offense,Running Backs,true,Running Backs,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-cameron-clemmons,Cameron Clemmons,offense,Tight Ends,true,Assistant Offensive Line,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-mick-lombardi,Mick Lombardi,offense,Quarterbacks,true,Quarterbacks,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-jerry-gray,Jerry Gray,defense,Defensive Passing Game Coordinator,false,,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-johnny-holland,Johnny Holland,defense,Defensive Run Game Coordinator,true,Linebackers,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-kris-kocurek,Kris Kocurek,defense,Defensive Line,true,Defensive Line,https://www.49ers.com/team/coaches-roster/,2026-08-17
local-coach-kj-wright,KJ Wright,defense,Linebackers,true,Defensive Quality Control,https://www.49ers.com/news/49ers-announce-coaching-staff-moves-raheem-morris-matt-eberflus-roman-sapolu,2026-08-17
local-coach-ray-brown,Ray Brown,defense,Defensive Backs/Cornerbacks,true,Defensive Backs/Cornerbacks,https://www.49ers.com/team/coaches-roster/,2026-08-17
