candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
north-01,"Detroit Lions communications","Detroit Lions",organization,initial,"roster; injuries; transactions; interviews",https://www.detroitlions.com/news/,https://www.detroitlions.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-detroit-lions,2026-08-20
north-02,"NFL gamebooks and participation records","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-20
north-03,"Eric Woodyard","ESPN NFL Nation",person,initial,"daily beat; injuries; roster; organization",https://espnpressroom.com/bio/eric-woodyard/,https://espnpressroom.com/bio/eric-woodyard/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-eric-woodyard,2026-08-20
north-04,"Dave Birkett","Detroit Free Press",person,initial,"practice; roster; transactions; organization",https://www.freep.com/sports/lions/,https://www.freep.com/sports/lions/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dave-birkett,2026-08-20
north-05,"Colton Pouncy","The Athletic",person,initial,"personnel; scheme; roster; practice",https://www.nytimes.com/athletic/nfl/team/lions/,https://www.nytimes.com/athletic/nfl/team/lions/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-colton-pouncy,2026-08-20
north-06,"Justin Rogers","Detroit Football Network",person,initial,"daily beat; practice; roster",https://www.detroitfootball.net/,https://www.detroitfootball.net/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-justin-rogers,2026-08-20
north-07,"Benjamin Raven","MLive",person,initial,"camp; roster; player roles; game coverage",https://www.mlive.com/lions/,https://www.mlive.com/lions/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-benjamin-raven,2026-08-20
north-08,"Lions Collective","Independent podcast",collective,omission_pass,"reporter discussion; roster; scheme; context",https://lions-collective-v2.simplecast.com/,https://lions-collective-v2.simplecast.com/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-lions-collective,2026-08-20
north-09,"Pro Football Reference","Sports Reference",organization,omission_pass,"game logs; snap counts; history",https://www.pro-football-reference.com/teams/det/2026.htm,https://www.pro-football-reference.com/teams/det/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-20
north-10,Jeremy Reisman,Pride of Detroit,person,omission_pass,"credentialed camp; roster; position battles",https://www.prideofdetroit.com/authors/jeremy-reisman,https://www.prideofdetroit.com/detroit-lions-preseason/167783/full-2026-detroit-lions-training-camp-preview,include,valuable,Recurring credentialed camp work and high-value position coverage.,local-writer-jeremy-reisman,2026-08-21
north-11,Erik Schlitt,Pride of Detroit,person,omission_pass,"position previews; roster mechanics; depth chart",https://www.prideofdetroit.com/authors/erik-schlitt,https://www.prideofdetroit.com/detroit-lions-preseason/167783/full-2026-detroit-lions-training-camp-preview,include,valuable,Differentiated position-by-position and roster analysis.,local-writer-erik-schlitt,2026-08-21
north-12,Jeff Risdon,Lions Wire,person,omission_pass,"film; line play; roster evaluation",https://lionswire.usatoday.com/author/jeffrisdon/,https://lionswire.usatoday.com/author/jeffrisdon/,include,valuable,Original film and line-play work fills a thin analysis lane.,local-writer-jeff-risdon,2026-08-21
north-13,Tim Twentyman,Detroit Lions,person,omission_pass,"team-controlled; camp notebooks; interviews",https://www.detroitlions.com/author/tim-twentyman,https://www.detroitlions.com/author/tim-twentyman,include,valuable,Official senior writer provides recurring camp notebooks and interviews.,local-writer-tim-twentyman,2026-08-21
north-14,Brad Galli,WXYZ-TV,person,omission_pass,"local television; interviews; camp",https://www.wxyz.com/sports,https://www.wxyz.com/sports,include,valuable,Recurring local-TV access and interviews fill the broadcast lane.,local-writer-brad-galli,2026-08-21
north-15,Over the Cap,Over the Cap,organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/detroit-lions,https://overthecap.com/team/detroit-lions,include,valuable,Adds contract and roster-mechanics coverage.,local-source-over-the-cap,2026-08-21
