player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Caden Barnett,OL,Wyoming,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; listed on official roster.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Coleman Bennett,RB,Kennesaw State,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; depth running back and return background.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Omari Kelly,WR,Michigan State,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; listed on official roster.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Miller Moss,QB,Louisville,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; developmental quarterback behind Caleb Williams, Tyson Bagent, and Case Keenum.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Mason Murphy,OL,Auburn,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; listed on official roster.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Hayden Large,TE,Iowa,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; tight end/fullback depth.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Skyler Thomas,DB,Oregon State,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; defensive back depth.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Jaren Kump,OL,Utah,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; listed on official roster.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Beau Gardner,LS,Georgia,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; long snapper competition after Scott Daly departure.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
Jayden Loving,DL,Wake Forest,2026-05-08,on roster,2026-08-05,"Signed as part of the Bears' 13-player UDFA class; defensive-line depth.",https://www.chicagobears.com/news/roster-moves-chicago-bears-sign-four-draft-selections-13-undrafted-free-agents,2026-08-17
