source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-philadelphia-eagles,organization,Philadelphia Eagles communications,Philadelphia Eagles,Official team communications,official,essential,active,free,"roster; injuries; transactions; gamebooks; transcripts","Team-produced analysis is not independent.",,,,2026-08-20
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific record postgame.",,,,2026-08-20
local-writer-tim-mcmanus,person,Tim McManus,ESPN NFL Nation,Philadelphia Eagles NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; organization","Record retrieval time for updated articles.",,,,2026-08-20
local-writer-olivia-reiner,person,Olivia Reiner,Philadelphia Inquirer,Eagles beat reporter,reporting,essential,active,paid,"camp; practice; roles; roster","Summarize paywalled work and preserve attribution.",,,,2026-08-20
local-writer-jeff-neiburg,person,Jeff Neiburg,Philadelphia Inquirer,Eagles reporter,reporting,essential,active,paid,"practice; personnel; roster; draft","Separate direct observation from projection.",,,,2026-08-20
local-writer-dave-zangaro,person,Dave Zangaro,NBC Sports Philadelphia,Eagles writer,reporting,essential,active,free,"daily beat; practice; roster; snaps","Verify material role conclusions with measured usage.",,,,2026-08-20
local-writer-reuben-frank,person,Reuben Frank,NBC Sports Philadelphia,Eagles reporter and columnist,reporting,essential,active,free,"daily camp; player roles; history; podcast","Shares an outlet and podcast with Dave Zangaro; not independent corroboration.",,,,2026-08-21
local-writer-eliot-shorr-parks,person,Eliot Shorr-Parks,94WIP,Eagles beat reporter and host,reporting,valuable,active,free,"credentialed camp; daily radio; role observations; interviews","Opinion-forward; preserve direct observations separately from evaluation.",,,,2026-08-21
local-writer-brandon-lee-gowton,person,Brandon Lee Gowton,Bleeding Green Nation,Eagles editor and credentialed reporter,team_analysis,valuable,active,free,"camp observations; roster; podcast; position battles","Distinguish firsthand work from aggregation and reaction.",,,,2026-08-21
local-writer-john-mcmullen,person,John McMullen,Sports Illustrated / JAKIB,Eagles reporter,reporting,valuable,active,free,"camp; interviews; roster; organization","Credentialed local voice; corroborate consequential sourced claims.",,,,2026-08-21
local-writer-zach-berman,person,Zach Berman,PHLY,Eagles reporter and author,reporting,valuable,active,paid,"organization; roster; institutional context; podcast","Subscription source with deep beat experience; current cadence is lower than daily camp feeds.",The Athletic Eagles reporter,,,2026-08-21
local-source-philadelphia-inquirer-eagles,organization,Philadelphia Inquirer Eagles coverage,Philadelphia Inquirer,Eagles reporting desk,reporting,valuable,active,paid,"multi-reporter coverage; live updates; features","Attribute the individual byline.",,,,2026-08-20
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference; verify consequential discrepancies.",,,,2026-08-20
