player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Dexter Lawrence,DL,defensive centerpiece,traded,2026-04-19,Cincinnati Bengals,Removed elite interior anchor and produced pick No. 10 used on Francis Mauigoa,https://www.giants.com/team/transactions/2026,2026-08-17
Bobby Okereke,LB,starting linebacker,terminated_vested_veteran,2026-03-04,,Cleared path for Tremaine Edmunds and Arvell Reese linebacker rebuild,https://www.giants.com/team/transactions/2026,2026-08-17
Russell Wilson,QB,2025 veteran quarterback,contract_expired,2026-03-11,,Left Jaxson Dart as the developmental center of the 2026 offense,https://www.giants.com/news/2026-nfl-free-agency-guide-pending-unrestricted-free-agents-dates-to-know-new-league-year,2026-08-17
Wan'Dale Robinson,WR,slot receiver,contract_expired,2026-03-11,,Added slot uncertainty before Austin Beckham Berrios and Smith-Schuster signings,https://www.giants.com/news/2026-nfl-free-agency-guide-pending-unrestricted-free-agents-dates-to-know-new-league-year,2026-08-17
Graham Gano,K,kicker,terminated_vested_veteran,2026-03-30,,Created kicker competition and later Jason Sanders churn,https://www.giants.com/team/transactions/2026,2026-08-17
Jamie Gillan,P,punter,terminated_vested_veteran,2026-03-11,,Opened punter job later filled by Jordan Stout,https://www.giants.com/team/transactions/2026,2026-08-17
Chris Board,LB,linebacker and special teams,terminated_vested_veteran,2026-03-11,,Part of linebacker and special-teams turnover,https://www.giants.com/team/transactions/2026,2026-08-17
James Hudson III,T,tackle depth,terminated_vested_veteran,2026-03-06,,Part of offensive-line depth churn before Mauigoa pick,https://www.giants.com/team/transactions/2026,2026-08-17
DeMarvin Leal,LB,linebacker depth,terminated_vested_veteran,2026-04-25,,Roster spot cleared during draft weekend,https://www.giants.com/team/transactions/2026,2026-08-17
Marlon Tuipulotu,DL,defensive-line depth,terminated_vested_veteran,2026-05-07,,Part of post-draft defensive-line churn,https://www.giants.com/team/transactions/2026,2026-08-17
