coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-sean-mcvay,Sean McVay,all,Head Coach,true,Head Coach,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-kliff-kingsbury,Kliff Kingsbury,all,Assistant Head Coach,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-nate-scheelhaase,Nate Scheelhaase,offense,Offensive Coordinator,true,Pass Game Coordinator,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-dave-ragone,Dave Ragone,offense,Quarterbacks/Associate Coordinator,true,Quarterbacks,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-rob-calabrese,Rob Calabrese,offense,Wide Receivers,true,Offensive Assistant,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-ryan-wendell,Ryan Wendell,offense,Offensive Line,true,Offensive Line,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-scott-huff,Scott Huff,offense,Tight Ends,true,Tight Ends,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-eric-yarber,Eric Yarber,offense,Senior Offensive Assistant/Wide Receivers,true,Wide Receivers,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-ron-gould,Ron Gould,offense,Running Backs,true,Running Backs,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-zak-kromer,Zak Kromer,offense,Assistant Offensive Line,true,Assistant Offensive Line,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-brian-allen,Brian Allen,offense,Assistant Offensive Line,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-robert-woods,Robert Woods,offense,Assistant Wide Receivers,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-brian-johnson,Brian Johnson,offense,Senior Offensive Assistant,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-dan-shamash,Dan Shamash,offense,Game Management Coordinator/Assistant Tight Ends,true,Game Management Coordinator/Assistant Tight Ends,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-chris-shula,Chris Shula,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-giff-smith,Giff Smith,defense,Run Game Coordinator/Defensive Line,true,Run Game Coordinator/Defensive Line,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-greg-williams,Greg Williams,defense,Inside Linebackers,true,Inside Linebackers,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-jimmy-lake,Jimmy Lake,defense,Pass Game Coordinator/Defensive Backs,true,Senior Defensive Assistant,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-chris-beake,Chris Beake,defense,Safeties,true,Safeties,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-joe-coniglio,Joe Coniglio,defense,Outside Linebackers,true,Outside Linebackers,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-drew-wilkins,Drew Wilkins,defense,Pass Rush Coordinator,true,Pass Rush Coordinator,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-michael-hunter,Michael Hunter,defense,Assistant Defensive Backs,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-robert-wright,Robert Wright,defense,Defensive Assistant,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-bubba-ventrone,Bubba Ventrone,special_teams,Special Teams Coordinator,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
local-coach-kyle-hoke,Kyle Hoke,special_teams,Assistant Special Teams,false,,https://www.therams.com/news/rams-2026-coaching-staff-set,2026-08-17
