candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
car-candidate-team,Carolina Panthers communications,Carolina Panthers,organization,initial,"official record; team-controlled analysis",https://www.panthers.com/news/,https://www.panthers.com/news/training-camp-observations-physicality-peaked-and-so-did-the-resolution,include,essential,Authoritative club records and direct-access reporting.,local-source-carolina-panthers,2026-08-21
car-candidate-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official participation and game records.,local-source-nfl-gamebooks,2026-08-21
car-candidate-kaye,Mike Kaye,ESPN,person,initial,"daily independent beat; national reporting",https://www.espn.com/nfl/team/_/name/car/carolina-panthers,https://www.espn.com/nfl/team/_/name/car/carolina-panthers,include,essential,Current ESPN Panthers reporter beginning August 2026.,local-writer-mike-kaye,2026-08-21
car-candidate-person,Joe Person,The Athletic,person,initial,"daily independent beat; organization",https://www.nytimes.com/athletic/author/joe-person/,https://www.nytimes.com/athletic/author/joe-person/,include,essential,Credentialed sourced beat reporting.,local-writer-joe-person,2026-08-21
car-candidate-zietlow,Alex Zietlow,Charlotte Observer,person,initial,"daily independent beat; major local",https://www.charlotteobserver.com/profile/218645475,https://www.charlotteobserver.com/sports/nfl/carolina-panthers/,include,essential,Current Observer beat and camp reporting.,local-writer-alex-zietlow,2026-08-21
car-candidate-fowler,Scott Fowler,Charlotte Observer,person,initial,"major local; organization",https://www.charlotteobserver.com/sports/spt-columns-blogs/scott-fowler/,https://www.charlotteobserver.com/sports/spt-columns-blogs/scott-fowler/,include,valuable,Differentiated enterprise and organizational context.,local-writer-scott-fowler,2026-08-21
car-candidate-gantt,Darin Gantt,Carolina Panthers,person,initial,"official record; team-controlled analysis",https://www.panthers.com/team/front-office-roster/darin-gantt,https://www.panthers.com/news/,include,essential,High-cadence team reporting and transactions.,local-writer-darin-gantt,2026-08-21
car-candidate-hill,Kassidy Hill,Carolina Panthers,person,initial,"team-controlled analysis; position usage",https://www.panthers.com/news/kassidy-hill,https://www.panthers.com/news/training-camp-observations-physicality-peaked-and-so-did-the-resolution,include,essential,Direct practice access and interviews.,local-writer-kassidy-hill,2026-08-21
car-candidate-quick,Sheena Quick,Independent / Fox Sports Radio,person,omission_pass,"local radio; daily independent beat",https://x.com/Sheena_Marie3,https://x.com/Sheena_Marie3,include,essential,Independent credentialed observations and interviews.,local-writer-sheena-quick,2026-08-21
car-candidate-hurt,Vashti Hurt,Carolina Blitz,person,omission_pass,"daily independent beat; interviews; local multimedia",https://clture.org/vashti-hurt-carolina-blitz/,https://carolinablitz.com/author/vashticarolinablitz-com/,include,valuable,Credentialed Panthers beat presence with original pressers and interviews.,local-writer-vashti-hurt,2026-08-21
car-candidate-ellis,John Ellis,Independent,person,omission_pass,"film and scheme; position usage",https://x.com/1PantherPlace,https://x.com/1PantherPlace,include,valuable,Differentiated Panthers-specific film interpretation.,local-writer-john-ellis,2026-08-21
car-candidate-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; position usage",https://www.pro-football-reference.com/teams/car/2026.htm,https://www.pro-football-reference.com/teams/car/2026.htm,include,valuable,Structured historical and usage reference.,local-source-pro-football-reference,2026-08-21
car-candidate-otc,Over the Cap,Over the Cap,organization,initial,transactions and organization,https://overthecap.com/team/carolina-panthers,https://overthecap.com/team/carolina-panthers,include,valuable,Differentiated cap and contract mechanics.,local-source-over-the-cap,2026-08-21
car-candidate-newton,David Newton,ESPN,person,initial,national reporting,https://www.espn.com/nfl/team/_/name/car/carolina-panthers,https://www.espn.com/nfl/team/_/name/car/carolina-panthers,exclude,supplemental,Former ESPN Panthers reporter replaced by Mike Kaye in August 2026.,,2026-08-21
car-candidate-csr,Cat Scratch Reader,SB Nation,organization,omission_pass,team analysis,https://www.catscratchreader.com/,https://www.catscratchreader.com/,exclude,supplemental,Useful discovery layer but insufficient differentiated original reporting for the core rotation.,,2026-08-21
car-candidate-on-tap,Panthers On Tap,On Tap SportsNet,organization,omission_pass,"podcast; position usage",https://podcasts.apple.com/us/podcast/panthers-on-tap-a-carolina-panthers-podcast/id1552317359,https://podcasts.apple.com/us/podcast/panthers-on-tap-a-carolina-panthers-podcast/id1552317359,unverified,supplemental,Current cadence verified but differentiated firsthand reporting was not established.,,2026-08-21
car-candidate-council,Julian Council,Locked On Panthers,person,omission_pass,"daily audio; position usage; roster",https://lockedonpodcasts.com/podcasts/locked-on-panthers/,https://podcasts.apple.com/us/podcast/locked-on-panthers-daily-podcast-on-the-carolina-panthers/id1150966073,include,valuable,Established daily Panthers-specific analysis and role synthesis.,local-writer-julian-council,2026-08-21
car-candidate-salmingo,Edgar Salmingo Jr.,Independent,person,omission_pass,"film and scheme; roster analysis",https://www.betcarolina.com/authors,https://x.com/PanthersAnalyst,exclude,supplemental,Current freelance analysis is useful but remote and redundant with the included film lane.,,2026-08-21
