team,abbr,season,position,scoring_format,metric_family,metric_name,rank_direction,rank,value,source_id,last_verified,interpretation,status,notes
Philadelphia Eagles,PHI,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,1,,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Athlon top-five easiest QB schedule; based on prior-season fantasy points allowed."
Cleveland Browns,CLE,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,2,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest QB schedule; based on prior-season fantasy points allowed."
Jacksonville Jaguars,JAX,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,3,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest QB schedule; based on prior-season fantasy points allowed."
Tennessee Titans,TEN,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,4,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest QB schedule; based on prior-season fantasy points allowed."
Dallas Cowboys,DAL,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,5,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest QB schedule; based on prior-season fantasy points allowed."
Las Vegas Raiders,LV,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,1,,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Athlon top-five toughest QB schedule; based on prior-season fantasy points allowed."
New York Jets,NYJ,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,2,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest QB schedule; based on prior-season fantasy points allowed."
Chicago Bears,CHI,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,3,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest QB schedule; based on prior-season fantasy points allowed."
Kansas City Chiefs,KC,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,4,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest QB schedule; based on prior-season fantasy points allowed."
Miami Dolphins,MIA,2026,QB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,5,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest QB schedule; based on prior-season fantasy points allowed."
Philadelphia Eagles,PHI,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,1,,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Athlon top-five easiest RB schedule; based on prior-season fantasy points allowed."
New Orleans Saints,NO,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,2,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest RB schedule; based on prior-season fantasy points allowed."
Detroit Lions,DET,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,3,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest RB schedule; based on prior-season fantasy points allowed."
Washington Commanders,WAS,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,4,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest RB schedule; based on prior-season fantasy points allowed."
Dallas Cowboys,DAL,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,5,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest RB schedule; based on prior-season fantasy points allowed."
Las Vegas Raiders,LV,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,1,,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Athlon top-five toughest RB schedule; based on prior-season fantasy points allowed."
Carolina Panthers,CAR,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,2,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest RB schedule; based on prior-season fantasy points allowed."
Buffalo Bills,BUF,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,3,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest RB schedule; based on prior-season fantasy points allowed."
Chicago Bears,CHI,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,4,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest RB schedule; based on prior-season fantasy points allowed."
Denver Broncos,DEN,2026,RB,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,5,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest RB schedule; based on prior-season fantasy points allowed."
Philadelphia Eagles,PHI,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,1,,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Athlon top-five easiest WR schedule; based on prior-season fantasy points allowed."
Houston Texans,HOU,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,2,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest WR schedule; based on prior-season fantasy points allowed."
Minnesota Vikings,MIN,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,3,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest WR schedule; based on prior-season fantasy points allowed."
Dallas Cowboys,DAL,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,4,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest WR schedule; based on prior-season fantasy points allowed."
Jacksonville Jaguars,JAX,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,5,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest WR schedule; based on prior-season fantasy points allowed."
Las Vegas Raiders,LV,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,1,,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Athlon top-five toughest WR schedule; based on prior-season fantasy points allowed."
Chicago Bears,CHI,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,2,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest WR schedule; based on prior-season fantasy points allowed."
New York Jets,NYJ,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,3,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest WR schedule; based on prior-season fantasy points allowed."
New England Patriots,NE,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,4,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest WR schedule; based on prior-season fantasy points allowed."
Kansas City Chiefs,KC,2026,WR,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,5,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest WR schedule; based on prior-season fantasy points allowed."
Philadelphia Eagles,PHI,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,1,,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Athlon top-five easiest TE schedule; based on prior-season fantasy points allowed."
Cleveland Browns,CLE,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,2,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest TE schedule; based on prior-season fantasy points allowed."
Cincinnati Bengals,CIN,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,3,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest TE schedule; based on prior-season fantasy points allowed."
Baltimore Ravens,BAL,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,4,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest TE schedule; based on prior-season fantasy points allowed."
Atlanta Falcons,ATL,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,5,,athlon-2026-fantasy-sos,2026-08-17,easiest_cluster,active,"Athlon top-five easiest TE schedule; based on prior-season fantasy points allowed."
Tampa Bay Buccaneers,TB,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,1,,athlon-2026-fantasy-sos,2026-08-17,toughest,active,"Athlon top-five toughest TE schedule; based on prior-season fantasy points allowed."
New York Jets,NYJ,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,2,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest TE schedule; based on prior-season fantasy points allowed."
Chicago Bears,CHI,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,3,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest TE schedule; based on prior-season fantasy points allowed."
Miami Dolphins,MIA,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,4,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest TE schedule; based on prior-season fantasy points allowed."
Green Bay Packers,GB,2026,TE,unspecified,fantasy_points_allowed,schedule_rank,1=hardest,5,,athlon-2026-fantasy-sos,2026-08-17,toughest_cluster,active,"Athlon top-five toughest TE schedule; based on prior-season fantasy points allowed."
Denver Broncos,DEN,2026,DST,unspecified,fantasy_points_allowed,schedule_rank,1=easiest,1,,athlon-2026-fantasy-sos,2026-08-17,easiest,active,"Athlon top-five easiest defensive-team schedule."
