source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-houston-texans,organization,Houston Texans communications,Houston Texans,Official team communications,official,essential,active,free,"transactions; roster; depth chart; injuries; press releases; practice notes","Source of record for team announcements; team-produced editorial and analysis are not independent.",,,,2026-08-18
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific book or game center as the postgame source of record.",,,,2026-08-18
local-writer-dj-bien-aime,person,DJ Bien-Aime,ESPN NFL Nation,Houston Texans NFL Nation reporter,reporting,essential,active,mixed,"beat reporting; injuries; roster; team context","ESPN's current biography identifies him as its Houston Texans NFL Nation reporter.",,,,2026-08-18
local-writer-jonathan-m-alexander,person,Jonathan M. Alexander,Houston Chronicle,Texans/NFL reporter,reporting,essential,active,mixed,"daily beat; roster projection; injuries; practice; features","Chronicle profile identifies him as staff writer covering Texans and NFL; distinguish reporting from newsletter analysis.",,,,2026-08-18
local-writer-aaron-wilson,person,Aaron Wilson,KPRC 2,Houston Texans reporter,reporting,essential,active,free,"transactions; injuries; minicamp; sourced roster reporting; practice context","High-volume reporter; preserve original attribution and separate sourced reporting from social-post aggregation.",,,,2026-08-18
local-writer-john-harris,person,John Harris,Houston Texans,Texans analyst,team_analysis,essential,active,free,"practice observations; Harris Hits; scheme; player usage; radio analysis","Team employee with direct practice access; valuable detail but not organizationally independent.",,,,2026-08-18
local-writer-deepi-sidhu,person,Deepi Sidhu,Houston Texans,Texans Insider and lead writer,team_analysis,valuable,active,free,"team features; interviews; official context","Team employee; use for access and official context, not independent confirmation.",,,,2026-08-18
local-writer-marc-vandermeer,person,Marc Vandermeer,Houston Texans,Voice of the Texans,team_analysis,valuable,active,free,"Texans All Access; interviews; team context","Team employee and broadcaster; classify as team analysis.",,,,2026-08-18
local-writer-drew-dougherty,person,Drew Dougherty,Houston Texans,Texans TV host,team_analysis,valuable,active,free,"fan Q&A; official team context; interviews","Team employee; useful for context and official explanations.",,,,2026-08-18
local-source-battle-red-blog,organization,Battle Red Blog,SB Nation,Texans community site,aggregation,valuable,active,free,"aggregation; fan/community analysis; roster discussion","Follow consequential claims to original reporting or official records.",,,,2026-08-18
local-source-ourlads,organization,Ourlads,Ourlads,Depth chart and roster reference,data,valuable,active,mixed,"unofficial depth charts; roster ordering; position groups","Useful depth-chart cross-check; not official usage or participation evidence.",,,,2026-08-18
local-source-pfr,organization,Pro Football Reference,Sports Reference,Structured football reference,data,valuable,active,free,"game logs; snap counts; rosters; history","Snap counts are unofficial; verify consequential discrepancies against gamebooks.",,,,2026-08-18
local-source-pff,organization,Pro Football Focus,PFF,Football charting and evaluation service,data,valuable,active,paid,"grades; charting; alignments; routes; pressures","Proprietary methodology; grades are evaluations and paid exports must not be committed.",,,,2026-08-18
local-source-over-the-cap,organization,Over the Cap,Over the Cap,NFL contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap charges; dead money; roster management","Third-party contract interpretation; cross-check unusual figures.",,,,2026-08-18
local-source-spotrac,organization,Spotrac,Spotrac,Sports contract and transaction reference,contract_data,valuable,active,mixed,"contracts; transactions; roster","Useful cross-check; not an official transaction filing.",,,,2026-08-18
local-source-rotowire,organization,RotoWire,RotoWire,Fantasy news service,aggregation,valuable,active,paid,"injuries; transactions; fantasy roles; position roles","Use attribution to retrieve and cite the underlying report.",,,,2026-08-18
local-source-fantasy-life,organization,Fantasy Life,Fantasy Life,Fantasy analysis and data service,fantasy_analysis,valuable,active,mixed,"usage; projections; fantasy implications","Downstream interpretation; establish team facts with reporting or official records first.",,,,2026-08-18
