player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Brandon Allen,QB,unrestricted_free_agent,2026-04-13,active,Veteran quarterback depth behind Jaxson Dart and Jameis Winston,https://www.giants.com/team/transactions/2026,2026-08-17
Daniel Faalele,OL,unrestricted_free_agent,2026-04-09,active,Large body offensive-line depth in a run-game reset,https://www.giants.com/team/transactions/2026,2026-08-17
Lucas Patrick,OL,unrestricted_free_agent,2026-04-06,active,Veteran interior offensive-line depth,https://www.giants.com/team/transactions/2026,2026-08-17
Darnell Mooney,WR,free_agent_signing,2026-03-17,active,Vertical receiver and possible starting outside target,https://www.giants.com/news/giants-sign-wide-receiver-darnell-mooney-atlanta-falcons-chicago-bears-tulane-2026-nfl-free-agency,2026-08-17
Calvin Austin III,WR,unrestricted_free_agent,2026-03-14,active,Slot and speed competition in a crowded receiver room,https://www.giants.com/team/transactions/2026,2026-08-17
Odell Beckham Jr.,WR,free_agent_signing,2026-06-01,active,Veteran receiver competition after June workout and signing,https://www.giants.com/news/odell-beckham-jr-returns-to-new-york-giants-stats-information,2026-08-17
Braxton Berrios,WR,free_agent_signing,2026-06-01,active,Slot and return-role competition,https://www.giants.com/news/odell-beckham-jr-returns-to-new-york-giants-stats-information,2026-08-17
JuJu Smith-Schuster,WR,free_agent_signing,2026-06-02,active,Veteran slot and possession receiver familiar with Matt Nagy,https://www.giants.com/news/giants-sign-wr-juju-smith-schuster-waive-k-jason-sanders-2026-nfl-free-agency,2026-08-17
Isaiah Likely,TE,unrestricted_free_agent,2026-03-13,active,Move tight end and passing-game piece in Nagy Callahan Roman blend,https://www.giants.com/team/transactions/2026,2026-08-17
Patrick Ricard,FB,unrestricted_free_agent,2026-03-13,active,Run-game identity signal and lead-blocking specialist,https://www.giants.com/team/transactions/2026,2026-08-17
Tremaine Edmunds,LB,free_agent_signing,2026-03-13,active,Middle linebacker and defensive communicator,https://www.giants.com/news/unpredictable-dynamic-decisive-unapologetic-dennard-wilson-s-brand-of-defense,2026-08-17
Greg Newsome II,CB,unrestricted_free_agent,2026-03-13,active,Cornerback addition for Dennard Wilson coverage rebuild,https://www.giants.com/team/transactions/2026,2026-08-17
Ar'Darius Washington,S,unrestricted_free_agent,2026-03-13,active,Safety addition with Baltimore staff familiarity,https://www.giants.com/team/transactions/2026,2026-08-17
Jason Pinnock,S,unrestricted_free_agent,2026-03-16,active,Safety depth and sub-package competition,https://www.giants.com/team/transactions/2026,2026-08-17
DJ Reader,DL,free_agent_signing,2026-05-06,active,Interior run-defense replacement after Dexter Lawrence trade,https://www.giants.com/team/transactions/2026,2026-08-17
Shelby Harris,DL,free_agent_signing,2026-04-30,active,Veteran defensive-line depth after Dexter Lawrence trade,https://www.giants.com/team/transactions/2026,2026-08-17
Jordan Stout,P,unrestricted_free_agent,2026-03-13,active,New punter for Chris Horton special teams,https://www.giants.com/team/transactions/2026,2026-08-17
