source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-detroit-lions,organization,Detroit Lions communications,Detroit Lions,Official team communications,official,essential,active,free,"roster; injuries; transactions; interviews","Team analysis is not independent.",,,,2026-08-20
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use postgame source of record.",,,,2026-08-20
local-writer-eric-woodyard,person,Eric Woodyard,ESPN NFL Nation,Detroit Lions NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; organization","Record retrieval date for updated pieces.",,,,2026-08-20
local-writer-dave-birkett,person,Dave Birkett,Detroit Free Press,Lions beat reporter,reporting,essential,active,paid,"practice; roster; transactions; organization","Summarize paywalled reporting.",,,,2026-08-20
local-writer-colton-pouncy,person,Colton Pouncy,The Athletic,Lions beat writer,reporting,essential,active,paid,"personnel; scheme; roster; practice","Separate reporting from analysis.",,,,2026-08-20
local-writer-justin-rogers,person,Justin Rogers,Detroit Football Network,Founder and Lions beat reporter,reporting,essential,active,mixed,"daily beat; practice; roster","Verify breaking transactions with official records.",,,,2026-08-20
local-writer-benjamin-raven,person,Benjamin Raven,MLive,Lions beat reporter,reporting,essential,active,mixed,"camp; roster; player roles; game coverage","Favor concrete observations over camp evaluation.",,,,2026-08-20
local-writer-jeremy-reisman,person,Jeremy Reisman,Pride of Detroit,Editor and credentialed Lions reporter,team_analysis,valuable,active,free,"camp observations; roster; position battles; podcast","Distinguish firsthand observations from site analysis.",,,,2026-08-21
local-writer-erik-schlitt,person,Erik Schlitt,Pride of Detroit,Deputy editor and roster analyst,team_analysis,valuable,active,free,"position previews; roster mechanics; camp; depth chart","Shares outlet context with Reisman; not an independent confirmation.",,,,2026-08-21
local-writer-jeff-risdon,person,Jeff Risdon,Lions Wire,Lions analyst and reporter,film_analysis,valuable,active,free,"film; line play; roster evaluation; draft","Separate original film work from aggregation-heavy Wire items.",,,,2026-08-21
local-writer-tim-twentyman,person,Tim Twentyman,Detroit Lions,Senior writer,team_analysis,valuable,active,free,"official camp notebooks; interviews; roster; transactions","Team employee; not independent confirmation.",,,,2026-08-21
local-writer-brad-galli,person,Brad Galli,WXYZ-TV,Sports director and reporter,reporting,valuable,active,free,"local television; interviews; camp; game coverage","Multi-sport local role with recurring Lions access.",,,,2026-08-21
local-source-lions-collective,collective,Lions Collective,Independent podcast,Lions reporter roundtable,analysis,valuable,active,free,"reporter discussion; roster; scheme; context","Attribute individual speaker and episode date.",,,,2026-08-20
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-20
