team,abbr,season,week,wrinkle_type,opponent,game_location,description,expected_fantasy_relevance,source_id,last_verified,status,notes
Arizona Cardinals,ARI,2026,14,bye,,none,"Week 14 bye.",high,ffb-2026-schedule,2026-08-17,active,"Potential fantasy playoff issue in leagues with Week 14 playoff games."
Atlanta Falcons,ATL,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Baltimore Ravens,BAL,2026,13,bye,,none,"Week 13 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Late bye may affect trade deadline and playoff setup."
Buffalo Bills,BUF,2026,7,bye,,none,"Week 7 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early/midseason rest note."
Carolina Panthers,CAR,2026,5,bye,,none,"Week 5 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
Chicago Bears,CHI,2026,10,bye,,none,"Week 10 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Cincinnati Bengals,CIN,2026,6,bye,,none,"Week 6 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
Cleveland Browns,CLE,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Dallas Cowboys,DAL,2026,14,bye,,none,"Week 14 bye.",high,ffb-2026-schedule,2026-08-17,active,"Potential fantasy playoff issue in leagues with Week 14 playoff games."
Denver Broncos,DEN,2026,10,bye,,none,"Week 10 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Detroit Lions,DET,2026,6,bye,,none,"Week 6 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
Green Bay Packers,GB,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Houston Texans,HOU,2026,8,bye,,none,"Week 8 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Indianapolis Colts,IND,2026,13,bye,,none,"Week 13 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Late bye may affect trade deadline and playoff setup."
Jacksonville Jaguars,JAX,2026,7,bye,,none,"Week 7 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early/midseason rest note."
Kansas City Chiefs,KC,2026,5,bye,,none,"Week 5 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
Las Vegas Raiders,LV,2026,13,bye,,none,"Week 13 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Late bye may affect trade deadline and playoff setup."
Los Angeles Chargers,LAC,2026,7,bye,,none,"Week 7 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early/midseason rest note."
Los Angeles Rams,LAR,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Miami Dolphins,MIA,2026,6,bye,,none,"Week 6 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
Minnesota Vikings,MIN,2026,6,bye,,none,"Week 6 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early bye."
New England Patriots,NE,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
New Orleans Saints,NO,2026,8,bye,,none,"Week 8 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
New York Giants,NYG,2026,8,bye,,none,"Week 8 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
New York Jets,NYJ,2026,13,bye,,none,"Week 13 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Late bye may affect trade deadline and playoff setup."
Philadelphia Eagles,PHI,2026,10,bye,,none,"Week 10 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Pittsburgh Steelers,PIT,2026,9,bye,,none,"Week 9 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
San Francisco 49ers,SF,2026,8,bye,,none,"Week 8 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Seattle Seahawks,SEA,2026,11,bye,,none,"Week 11 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Tampa Bay Buccaneers,TB,2026,10,bye,,none,"Week 10 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Tennessee Titans,TEN,2026,9,bye,,none,"Week 9 bye.",medium,ffb-2026-schedule,2026-08-17,active,"Standard in-season rest/availability note."
Washington Commanders,WAS,2026,7,bye,,none,"Week 7 bye.",low,ffb-2026-schedule,2026-08-17,active,"Early/midseason rest note."
San Francisco 49ers,SF,2026,1,neutral_site,Los Angeles Rams,Melbourne Australia,"International neutral-site game at Melbourne Cricket Ground.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Los Angeles Rams,LAR,2026,1,neutral_site,San Francisco 49ers,Melbourne Australia,"International neutral-site game at Melbourne Cricket Ground.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Baltimore Ravens,BAL,2026,3,neutral_site,Dallas Cowboys,Rio de Janeiro Brazil,"International neutral-site game in Rio de Janeiro.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Dallas Cowboys,DAL,2026,3,neutral_site,Baltimore Ravens,Rio de Janeiro Brazil,"International neutral-site game in Rio de Janeiro.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Indianapolis Colts,IND,2026,4,neutral_site,Washington Commanders,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Washington Commanders,WAS,2026,4,neutral_site,Indianapolis Colts,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Philadelphia Eagles,PHI,2026,5,neutral_site,Jacksonville Jaguars,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Jacksonville Jaguars,JAX,2026,5,neutral_site,Philadelphia Eagles,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Houston Texans,HOU,2026,6,neutral_site,Jacksonville Jaguars,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Jacksonville Jaguars,JAX,2026,6,neutral_site,Houston Texans,London U.K.,"International neutral-site game in London.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Pittsburgh Steelers,PIT,2026,7,neutral_site,New Orleans Saints,Paris France,"International neutral-site game in Paris.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
New Orleans Saints,NO,2026,7,neutral_site,Pittsburgh Steelers,Paris France,"International neutral-site game in Paris.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Cincinnati Bengals,CIN,2026,9,neutral_site,Atlanta Falcons,Madrid Spain,"International neutral-site game in Madrid.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Atlanta Falcons,ATL,2026,9,neutral_site,Cincinnati Bengals,Madrid Spain,"International neutral-site game in Madrid.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
New England Patriots,NE,2026,10,neutral_site,Detroit Lions,Munich Germany,"International neutral-site game in Munich.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Detroit Lions,DET,2026,10,neutral_site,New England Patriots,Munich Germany,"International neutral-site game in Munich.",medium,ffb-2026-schedule,2026-08-17,active,"Travel/time-zone friction; evaluate player deployment and injury management."
Minnesota Vikings,MIN,2026,11,neutral_site,San Francisco 49ers,Mexico City Mexico,"International neutral-site game in Mexico City.",medium,ffb-2026-schedule,2026-08-17,active,"Altitude/travel friction; evaluate player deployment and injury management."
San Francisco 49ers,SF,2026,11,neutral_site,Minnesota Vikings,Mexico City Mexico,"International neutral-site game in Mexico City.",medium,ffb-2026-schedule,2026-08-17,active,"Altitude/travel friction; evaluate player deployment and injury management."
