team,abbr,season,position,scoring_format,playoff_window,weeks_included,metric_family,metric_name,rank_direction,rank,value,source_id,last_verified,interpretation,status,notes
Jacksonville Jaguars,JAX,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,1,7.9,fta-2026-playoff-sos,2026-08-17,easiest,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Minnesota Vikings,MIN,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,2,6.9,fta-2026-playoff-sos,2026-08-17,easiest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Los Angeles Rams,LAR,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,3,5.5,fta-2026-playoff-sos,2026-08-17,easiest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Tennessee Titans,TEN,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,4,4.9,fta-2026-playoff-sos,2026-08-17,easiest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Baltimore Ravens,BAL,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,5,4.6,fta-2026-playoff-sos,2026-08-17,easiest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Cleveland Browns,CLE,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,6,4.0,fta-2026-playoff-sos,2026-08-17,easier,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
New York Giants,NYG,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,7,2.4,fta-2026-playoff-sos,2026-08-17,easier,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Kansas City Chiefs,KC,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,8,1.6,fta-2026-playoff-sos,2026-08-17,easier,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Buffalo Bills,BUF,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,9,1.3,fta-2026-playoff-sos,2026-08-17,easier,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Carolina Panthers,CAR,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,10,1.1,fta-2026-playoff-sos,2026-08-17,easier,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Philadelphia Eagles,PHI,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,26,-2.9,fta-2026-playoff-sos,2026-08-17,tougher,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Miami Dolphins,MIA,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,27,-3.5,fta-2026-playoff-sos,2026-08-17,tougher,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Seattle Seahawks,SEA,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,28,-4.2,fta-2026-playoff-sos,2026-08-17,tougher,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
New York Jets,NYJ,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,29,-5.9,fta-2026-playoff-sos,2026-08-17,toughest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
New England Patriots,NE,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,30,-7.3,fta-2026-playoff-sos,2026-08-17,toughest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
Washington Commanders,WAS,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,31,-9.3,fta-2026-playoff-sos,2026-08-17,toughest_cluster,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
San Francisco 49ers,SF,2026,OVERALL,unspecified,weeks_14_17,"14;15;16;17",SAFPA,avg_sos,1=easiest,32,-9.3,fta-2026-playoff-sos,2026-08-17,toughest,active,"FTA overall playoff SOS; preseason mode uses 2025 defensive data."
