coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-klint-kubiak,Klint Kubiak,all,Head Coach,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-mike-mccoy,Mike McCoy,all,Assistant Head Coach,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-andrew-janocko,Andrew Janocko,offense,Offensive Coordinator,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-rick-dennison,Rick Dennison,offense,Offensive Line,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-nick-holz,Nick Holz,offense,Offensive Pass Game Coordinator,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-mario-jeberaeel,Mario Jeberaeel,offense,Offensive Run Game Coordinator,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-omar-young,Omar Young,offense,Running Backs,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-zach-azzanni,Zach Azzanni,offense,Wide Receivers,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-luke-steckel,Luke Steckel,offense,Tight Ends,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-rob-leonard,Rob Leonard,defense,Defensive Coordinator,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-joe-woods,Joe Woods,defense,Pass Game Coordinator/Defensive Backs,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-al-holcomb,Al Holcomb,defense,Senior Defensive Assistant,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-travis-smith,Travis Smith,defense,Defensive Line,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-ronell-williams,Ronell Williams,defense,Linebackers,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
local-coach-joe-decamillis,Joe DeCamillis,special_teams,Special Teams Coordinator,false,,https://www.raiders.com/news/raiders-announce-2026-coaching-staff,2026-08-17
