source_id,endpoint_type,url,access,automation_suitability,notes,last_verified
local-source-tennessee-titans,official_news,https://www.tennesseetitans.com/news/,free,metadata_and_summary,Official news.,2026-08-21
local-source-tennessee-titans,official_roster,https://www.tennesseetitans.com/team/players-roster/,free,structured_page,Current roster.,2026-08-21
local-source-tennessee-titans,official_injury_report,https://www.tennesseetitans.com/team/injury-report/,free,structured_monitoring,Official status.,2026-08-21
local-source-tennessee-titans,official_transactions,https://www.tennesseetitans.com/team/transactions/,free,structured_monitoring,Official transactions.,2026-08-21
local-source-nfl-gamebooks,official_game_center,https://www.nfl.com/scores/,free,manual_retrieval,Retrieve gamebook.,2026-08-21
local-writer-turron-davenport,outlet_profile,https://espnpressroom.com/bio/turron-davenport/,free,metadata_and_summary,ESPN assignment biography.,2026-08-21
local-writer-nick-suss,outlet_landing,https://www.tennessean.com/sports/titans/,paid,metadata_and_summary,Tennessean Titans coverage.,2026-08-21
local-writer-paul-kuharsky,outlet_profile,https://www.paulkuharsky.com/,paid,metadata_and_summary,Independent Titans coverage.,2026-08-21
local-writer-easton-freeze,outlet_profile,https://atozsports.com/author/easton-freeze,free,metadata_and_summary,A to Z Sports author archive.,2026-08-21
local-writer-jim-wyatt,outlet_landing,https://www.tennesseetitans.com/news/,free,metadata_and_summary,Titans senior writer coverage.,2026-08-21
local-source-pro-football-reference,team_page,https://www.pro-football-reference.com/teams/oti/2026.htm,free,structured_page,Season reference.,2026-08-21
