coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-todd-bowles,Todd Bowles,all,Head Coach,true,Head Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-zac-robinson,Zac Robinson,offense,Offensive Coordinator,false,,https://www.buccaneers.com/news/zac-robinson-hired-bucs-offensive-coordinator,2026-08-17
local-coach-kevin-carberry,Kevin Carberry,offense,Run Game Coordinator/Offensive Line Coach,true,Run Game Coordinator/Offensive Line Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-tj-yates,T.J. Yates,offense,Pass Game Coordinator,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-ken-zampese,Ken Zampese,offense,Senior Offensive Assistant/Pass Game Specialist,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-chandler-whitmer,Chandler Whitmer,offense,Quarterbacks Coach,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-bryan-mcclendon,Bryan McClendon,offense,Wide Receivers Coach,true,Wide Receivers Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-skip-peete,Skip Peete,offense,Running Backs Coach,true,Running Backs Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-justin-peelle,Justin Peelle,offense,Tight Ends Coach,true,Tight Ends Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-jeff-kastl,Jeff Kastl,offense,Assistant Tight Ends Coach,true,Assistant Tight Ends Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-andrew-mitchell,Andrew Mitchell,offense,Assistant Offensive Line Coach,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-blaine-stewart,Blaine Stewart,offense,Offensive Quality Control,true,Offensive Quality Control,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-larry-foote,Larry Foote,defense,Run Game Coordinator/Outside Linebackers Coach,true,Run Game Coordinator/Outside Linebackers Coach,https://www.buccaneers.com/team/coaches-roster/larry-foote,2026-08-17
local-coach-mike-caldwell,Mike Caldwell,defense,Inside Linebackers Coach,true,Inside Linebackers Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-marcus-west,Marcus West,defense,Defensive Line Coach,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-rashad-johnson,Rashad Johnson,defense,Cornerbacks Coach,true,Assistant Secondary Coach,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-tim-atkins,Tim Atkins,defense,Safeties Coach,true,Assistant Secondary Coach,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-todd-bowles-jr,Todd Bowles Jr.,defense,Defensive Assistant,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-joey-fitzgerald,Joey Fitzgerald,defense,Defensive Quality Control,true,Defensive Quality Control,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-danny-smith,Danny Smith,special_teams,Special Teams Coordinator,false,,https://www.buccaneers.com/news/buccaneers-sign-danny-smith-new-special-teams-coordinator,2026-08-17
local-coach-luke-smith,Luke Smith,special_teams,Assistant Special Teams Coach,false,,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-chad-wade,Chad Wade,performance,Head Strength and Conditioning Coach,true,Assistant Strength and Conditioning Coach,https://www.buccaneers.com/news/bucs-announce-additions-2026-coaching-staff,2026-08-17
local-coach-cory-bichey,Cory Bichey,performance,Assistant Strength and Conditioning Coach,true,Assistant Strength and Conditioning Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-deandre-ward,Deandre Ward,performance,Sr. Assistant Strength and Conditioning Coach,true,Sr. Assistant Strength and Conditioning Coach,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
local-coach-sarah-evans,Sarah Evans,operations,Senior Manager of Coaching Operations,true,Senior Manager of Coaching Operations,https://www.buccaneers.com/team/coaches-roster/,2026-08-17
