player,position,2025_role,transaction,transaction_date,destination,performance_significance,source_url,last_verified
Jaelan Phillips,EDGE,Starting edge defender,Traded for 2026 third-round pick,2025-11-03,Philadelphia Eagles,"Pre-offseason precursor to the edge reset.",https://www.miamidolphins.com/news/dolphins-make-trade-with-philadelphia,2026-08-05
Tyreek Hill,WR,Starting wide receiver,Released after failed physical,2026-02-16,,"Removed premier field-stretching receiver while he recovered from a major 2025 knee injury.",https://www.miamidolphins.com/team/transactions/,2026-08-05
James Daniels,OL,Planned 2025 starting guard,Released,2026-02-16,,"Removed veteran interior option after an injury-limited one-game season.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Nick Westbrook-Ikhine,WR,Rotational receiver,Released,2026-02-16,,"Further reduced the experienced receiver inventory.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Liam Eichenberg,OL,Versatile former starter,Released after failed physical,2026-03-02,,"Removed an experienced multi-position lineman who missed 2025.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Alec Ingold,FB,Starting fullback and formation piece,Released,2026-03-06,,"Removed a central blocker and personnel-package component from the McDaniel offense.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Jason Sanders,K,Primary kicker,Released,2026-03-06,,"Created a new kicker competition after eight seasons.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Minkah Fitzpatrick,S,Starting safety,Traded for 2026 seventh-round pick,2026-03-11,New York Jets,"Removed the secondary's most accomplished veteran and opened safety snaps.",https://www.miamidolphins.com/free-agency/,2026-08-05
Bradley Chubb,EDGE,Starting edge and 2025 sack leader,Released with post-June 1 designation,2026-03-11,Buffalo Bills,"Removed the most productive veteran edge from 2025.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Tua Tagovailoa,QB,Starting quarterback,Released with post-June 1 designation,2026-03-12,Atlanta Falcons,"Ended the six-year Tua era and the quick-timing offense built around him.",https://www.miamidolphins.com/team/transactions/,2026-08-05
Jaylen Waddle,WR,Starting high-volume receiver,"Traded with pick 111 for picks 30, 94, and 130",2026-03-18,Denver Broncos,"Removed the remaining proven high-volume receiver and generated three premium draft assets.",https://www.miamidolphins.com/news/dolphins-make-trade-with-denver,2026-08-05
Rasul Douglas,CB,2025 starting outside corner,Contract expired,,Washington Commanders,"Removed a 2025 starter from an already unsettled secondary.",,2026-08-05
Kader Kohou,CB,Experienced nickel/outside option,Contract expired,,Kansas City Chiefs,"Removed an experienced coverage option who missed 2025 with an ACL injury.",,2026-08-05
Cole Strange,G,2025 starting lineman,Contract expired,,Los Angeles Chargers,"Removed a 2025 interior starter.",,2026-08-05
Larry Borom,OL,2025 multi-game starter,Contract expired,,Detroit Lions,"Removed veteran tackle/guard depth.",,2026-08-05
Jake Bailey,P,Primary punter,Contract expired,,Atlanta Falcons,"Required replacement of the punting operation.",,2026-08-05
K.J. Britt,LB,Rotational linebacker and special teamer,Contract expired,,New England Patriots,"Reduced veteran linebacker and special-teams depth.",,2026-08-05
Julian Hill,TE,Blocking-oriented tight end,Contract expired,,New England Patriots,"Removed a blocking tight end during a broader personnel shift.",,2026-08-05
Elijah Campbell,DB,Reserve defensive back and special teamer,Contract expired,,New York Giants,"Reduced veteran secondary and special-teams depth.",,2026-08-05
