observation_id,team_id,player_ids,source_id,source_url,origin_url,published_at,retrieved_at,evidence_lane,evidence_kind,claim_summary,relationship,related_observation_ids,dedup_key,confidence,time_sensitivity,fantasy_impact,reader_id,notes
obs-2026-ne-20260909t210706z-001,NE,,local-source-new-england-patriots,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,2026-09-08T20:50:00Z,2026-09-09T21:08:56Z,availability,official_fact,"Official Week 1 report lists RB TreVeyon Henderson (ankle) as OUT for the September 9 opener at Seattle after DNP on Sunday, Monday and Tuesday.",update,obs-2026-ne-20260906t193157z-002;obs-2026-ne-20260906t210715z-001,ne-w01-henderson-out,high,immediate,high,reader-ne,published_at from article JSON-LD datePublished (displayed Sep 08 2026 04:50 PM ET); dateModified 20:55Z ignored. Structured injury-report page at /team/injury-report/ retrieved 2026-09-09T21:07Z showed the same DNP/DNP/DNP and OUT rows but carries no item timestamp. Final designation resolves the Henderson next-check from the September 6 ledger rows.
obs-2026-ne-20260909t210706z-002,NE,,local-source-new-england-patriots,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,2026-09-08T20:50:00Z,2026-09-09T21:08:56Z,availability,official_fact,Official Week 1 report lists OL Ben Brown (knee) as OUT after DNP Sunday through Tuesday; the report notes he did not travel to Seattle.,new,,ne-w01-brown-out,high,immediate,low,reader-ne,"Same official item as -001. Roster page lists Brown at C, but the team-site analysis (-006) and Kyed (-009) both describe him as an interior backup rather than a starter."
obs-2026-ne-20260909t210706z-003,NE,,local-source-new-england-patriots,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,https://www.patriots.com/news/week-1-injury-report-patriots-at-seahawks,2026-09-08T20:50:00Z,2026-09-09T21:08:56Z,practice_participation,official_fact,Official Week 1 report shows DT Christian Barmore (knee) DNP Sunday then full participation Monday and Tuesday with no game-status designation.,new,,ne-w01-barmore-full-no-designation,high,high,none,reader-ne,Same official item as -001. No designation means Barmore is expected to be available; defense-only relevance for this pipeline.
obs-2026-ne-20260909t210706z-004,NE,,local-source-new-england-patriots,https://www.patriots.com/news/patriots-elevate-two-players-from-the-practice-squad-x2562,https://www.patriots.com/news/patriots-elevate-two-players-from-the-practice-squad-x2562,2026-09-09T20:00:00Z,2026-09-09T21:08:56Z,transaction,official_fact,Patriots elevated RB Lan Larison from the practice squad to the active roster for the Week 1 game at Seattle.,new,,ne-w01-elevation-larison,high,immediate,medium,reader-ne,"published_at from JSON-LD datePublished (displayed Sep 09 2026 04:00 PM ET). Article background: Larison was a 2025 UDFA from UC Davis, spent 2025 on IR, was released Aug 30 and re-signed to the practice squad Sep 1. Larison, not Hassan Haskins, was the back chosen."
obs-2026-ne-20260909t210706z-005,NE,,local-source-new-england-patriots,https://www.patriots.com/news/patriots-elevate-two-players-from-the-practice-squad-x2562,https://www.patriots.com/news/patriots-elevate-two-players-from-the-practice-squad-x2562,2026-09-09T20:00:00Z,2026-09-09T21:08:56Z,transaction,official_fact,Patriots elevated P Mitch Wishnowsky from the practice squad for Week 1; the roster page lists P Bryce Baringer on reserve/injured.,new,,ne-w01-elevation-wishnowsky,high,high,none,reader-ne,Same official item as -004. Baringer IR status taken from the official roster page retrieved 2026-09-09T21:08Z; the IR placement itself predates this window and is not dated here. Special-teams only.
obs-2026-ne-20260909t210706z-006,NE,,local-source-new-england-patriots,https://www.patriots.com/news/injury-report-analysis-patriots-rb-treveyon-henderson-ankle-ruled-out-for-season-opener-vs-seahawks,https://www.patriots.com/news/injury-report-analysis-patriots-rb-treveyon-henderson-ankle-ruled-out-for-season-opener-vs-seahawks,2026-09-08T20:51:56Z,2026-09-09T21:08:56Z,role,analysis,"Team-site analysis (Evan Lazar) says the starting five offensive linemen are intact for Week 1 and that C/G Greg Van Roten, signed in late August after Brown's injury, is the primary interior backup.",new,,ne-w01-ol-brown-backup-van-roten,high,high,low,reader-ne,"Team-produced analysis, not organizationally independent. published_at from JSON-LD datePublished (displayed 04:51 PM ET). Answers the center-replacement question: no starting-center change is reported because Brown is treated as a reserve."
obs-2026-ne-20260909t210706z-007,NE,,local-source-new-england-patriots,https://www.patriots.com/news/injury-report-analysis-patriots-rb-treveyon-henderson-ankle-ruled-out-for-season-opener-vs-seahawks,https://www.patriots.com/news/injury-report-analysis-patriots-rb-treveyon-henderson-ankle-ruled-out-for-season-opener-vs-seahawks,2026-09-08T20:51:56Z,2026-09-09T21:08:56Z,role,analysis,"Team-site analysis frames Rhamondre Stevenson as the primary back with Henderson out, Corey Kiner (acquired from Arizona, about five practices with the team) as the No. 2 on the active roster, and Larison or Haskins as elevation candidates.",new,,ne-w01-backfield-stevenson-lead,high,immediate,high,reader-ne,"Team-produced analysis; same item as -006. The article also says Barmore was removed from the report after load management and that Wishnowsky would be elevated, both later confirmed officially (-003, -005)."
obs-2026-ne-20260909t210706z-008,NE,,local-writer-mike-reiss,https://www.espn.com/nfl/story/_/id/49872328/patriots-henderson-seahawks-okada-ruled-sb-rematch,https://www.espn.com/nfl/story/_/id/49872328/patriots-henderson-seahawks-okada-ruled-sb-rematch,2026-09-08T21:12:36Z,2026-09-09T21:09:41Z,availability,reported_fact,"Reiss (with Brady Henderson) reports Henderson ruled out for the opener with the ankle injury suffered Aug 24, with Stevenson remaining the starter, Kiner behind him, and Larison or Haskins likely elevated as a third back.",repeat,obs-2026-ne-20260909t210706z-001,ne-w01-henderson-out,high,immediate,high,reader-ne,Recirculates the official designation with depth context; not independent corroboration. published_at from JSON-LD (displayed Sep 8 2026 05:12 PM ET). Joint ESPN byline; NE claims attributed to Reiss per registry role.
obs-2026-ne-20260909t210706z-009,NE,,local-writer-doug-kyed,https://www.bostonherald.com/2026/09/08/patriots-get-bad-news-in-final-injury-report-before-season-opener-vs-seahawks/,https://www.bostonherald.com/2026/09/08/patriots-get-bad-news-in-final-injury-report-before-season-opener-vs-seahawks/,2026-09-08T21:10:47Z,2026-09-09T21:09:36Z,role,reported_fact,Kyed reports the Patriots will rely on Stevenson to carry the load with Kiner as the third back and expects Haskins or Larison to be elevated Wednesday; he describes the ruled-out Ben Brown as a backup guard/center and Barmore as good to go.,confirm,obs-2026-ne-20260909t210706z-007,ne-w01-backfield-stevenson-lead,high,immediate,high,reader-ne,Independent beat reporter restating the same backfield picture as the team-site analysis. Kyed adds that Henderson traveled to Seattle and hurt the ankle slipping on the lower practice field. Henderson OUT portion is a repeat of -001 and is not separately rowed.
obs-2026-ne-20260909t210706z-010,NE,,local-writer-doug-kyed,https://www.bostonherald.com/2026/09/09/patriots-add-two-including-running-back-to-play-vs-seahawks-in-week-1/,https://www.bostonherald.com/2026/09/09/patriots-add-two-including-running-back-to-play-vs-seahawks-in-week-1/,2026-09-09T20:14:54Z,2026-09-09T21:09:37Z,transaction,reported_fact,"Kyed reports the Larison and Wishnowsky elevations and says Larison will slot behind Stevenson and Kiner, with Stevenson expected to handle the bulk of running-back work.",repeat,obs-2026-ne-20260909t210706z-004,ne-w01-elevation-larison,high,immediate,medium,reader-ne,Recirculates the official transaction. Minor discrepancies vs. the official item: Kyed spells the punter Mishnowsky once and dates the Buffalo release Aug 29 vs. official Aug 30; immaterial. Also notes Haskins remains on the practice squad and Myles Montgomery on IR.
obs-2026-ne-20260909t210706z-011,NE,,local-writer-andrew-callahan,https://www.bostonherald.com/2026/09/07/callahan-why-rhamondre-stevenson-is-the-patriots-key-at-seattle-and-more-week-1-thoughts/,https://www.bostonherald.com/2026/09/07/callahan-why-rhamondre-stevenson-is-the-patriots-key-at-seattle-and-more-week-1-thoughts/,2026-09-07T09:00:44Z,2026-09-09T21:09:38Z,role,firsthand_observation,Callahan observed Larison wearing a scout-team jersey at the Sunday (Sep 6) practice and assesses Stevenson as the only back the staff should trust in pass protection against Seattle's pressure.,new,,ne-w01-stevenson-pass-pro-only-trusted-back,high,high,medium,reader-ne,Column mixing a firsthand practice observation (jersey) with columnist analysis (pass-protection trust); the analysis portion is interpretation. Written before the official OUT designation; Callahan expected Henderson to be out.
