source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-las-vegas-raiders,organization,Las Vegas Raiders communications,Las Vegas Raiders,Official team communications,official,essential,active,free,"roster; injuries; transactions; depth chart; conferences","Team analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use postgame source of record.",,,,2026-08-21
local-writer-ryan-mcfadden,person,Ryan McFadden,ESPN NFL Nation,Las Vegas Raiders NFL Nation reporter,reporting,essential,active,mixed,"daily beat; camp; injuries; roster","Record retrieval date for updated pieces.",,,,2026-08-21
local-writer-adam-hill,person,Adam Hill,Las Vegas Review-Journal,Raiders beat writer,reporting,essential,active,paid,"local beat; camp; roster; breaking news","Separate reporting from podcast analysis.",,,,2026-08-21
local-writer-hondo-carpenter,person,Hondo Carpenter,Raiders On SI,Senior writer and Raiders beat reporter,reporting,essential,active,free,"camp; roster; organization; interviews","Corroborate insider and projection claims.",,,,2026-08-21
local-writer-vincent-bonsignore,person,Vincent Bonsignore,California Post / Raider Nation Radio,Raiders columnist and radio host,reporting,valuable,active,mixed,"organization sourcing; roster; local context","No longer primary beat; separate reporting from radio opinion.","Las Vegas Review-Journal Raiders beat reporter",2025,,2026-08-21
local-writer-ed-graney,person,Ed Graney,Las Vegas Review-Journal,Sports columnist,reporting,valuable,active,paid,"camp columns; organization; local context","Separate sourced reporting from opinion.",,,,2026-08-21
local-writer-marcus-johnson,person,Marcus Johnson,Tape Don't Lie,Raiders film analyst,film_analysis,valuable,active,free,"scheme; line play; coverage; roles","Analysis source; establish facts independently.",,,,2026-08-21
local-writer-paul-gutierrez,person,Paul Gutierrez,Las Vegas Raiders,Raiders columnist,team_analysis,valuable,active,free,"columns; owner access; organizational context","Team contributor; not independent confirmation.","ESPN NFL Nation Raiders reporter",2026,local-writer-ryan-mcfadden,2026-08-21
local-writer-levi-edwards,person,Levi Edwards,Las Vegas Raiders,Digital team reporter,team_analysis,valuable,active,free,"camp notebooks; interviews; official context","Team employee; not independent confirmation.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
