player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Nick Anderson,S,Wake Forest,2026-04-28,active,,camp safety depth,https://www.therams.com/team/transactions/2026,2026-08-17
Wesley Bailey,OLB,Louisville,2026-04-28,active,,camp outside-linebacker depth,https://www.therams.com/team/transactions/2026,2026-08-17
Austin Blaske,OL,North Carolina,2026-04-28,active,,camp offensive-line depth,https://www.therams.com/team/transactions/2026,2026-08-17
Matthew Caldwell,QB,Texas,2026-04-28,active,,camp quarterback depth,https://www.therams.com/team/transactions/2026,2026-08-17
Dean Connors,RB,Houston,2026-04-28,active,,camp running back competing behind Kyren Williams Blake Corum and Ronnie Rivers,https://www.therams.com/team/transactions/2026,2026-08-17
Nyzier Fourqurean,CB,Wisconsin,2026-04-28,active,,camp cornerback depth,https://www.therams.com/team/transactions/2026,2026-08-17
Al'zillion Hamilton,CB,Fresno State,2026-04-28,active,2026-08-05,passed physical after PUP designation,https://www.therams.com/team/transactions/2026,2026-08-17
Bryce Henderson,OL,Vanderbilt,2026-04-28,active,,camp offensive-line depth,https://www.therams.com/team/transactions/2026,2026-08-17
Nikhai Hill-Green,ILB,Alabama,2026-04-28,active,,camp inside-linebacker depth,https://www.therams.com/team/transactions/2026,2026-08-17
Rohan Jones,TE,Arkansas,2026-04-28,active,,camp tight-end depth in crowded room,https://www.therams.com/team/transactions/2026,2026-08-17
Drey Norwood,CB,Missouri,2026-04-28,active,,camp cornerback depth,https://www.therams.com/team/transactions/2026,2026-08-17
Darryl Peterson III,OLB,Wisconsin,2026-04-28,active,,camp outside-linebacker depth,https://www.therams.com/team/transactions/2026,2026-08-17
Dan Villari,TE,Syracuse,2026-04-28,active,,camp tight-end depth,https://www.therams.com/team/transactions/2026,2026-08-17
Payton Zdroik,DL,Air Force,2026-04-28,active,,camp defensive-line depth,https://www.therams.com/team/transactions/2026,2026-08-17
