source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-seattle-seahawks,organization,Seattle Seahawks communications,Seattle Seahawks,Official communications,official,essential,active,free,"injuries; transactions; roster; press conferences","Authoritative club record; editorial is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve specific record.",,,,2026-08-21
local-writer-brady-henderson,person,Brady Henderson,ESPN,Seahawks reporter,reporting,essential,active,free,"daily beat; injuries; roster; organization","Current ESPN beat.",,,,2026-08-21
local-writer-michael-shawn-dugar,person,Michael-Shawn Dugar,The Athletic,Seahawks beat reporter,reporting,essential,active,paywall,"sourced beat; organization; roster; film-supported context","Paywall; separate reporting from podcast analysis.",,,,2026-08-21
local-writer-bob-condotta,person,Bob Condotta,Seattle Times,Seahawks beat reporter,reporting,essential,active,paywall,"daily beat; breaking news; camp; roster","Primary Seattle Times beat.",,,,2026-08-21
local-writer-gregg-bell,person,Gregg Bell,Tacoma News Tribune,Seahawks beat reporter,reporting,essential,active,paywall,"camp observations; roster; breaking news; game coverage","Separate reported observations from commentary.",,,,2026-08-21
local-writer-curtis-crabtree,person,Curtis Crabtree,FOX 13 Seattle,Sports digital content producer and reporter,reporting,valuable,active,free,"camp notebooks; injuries; roster; local TV","Multi-sport role with recurring firsthand Seahawks reporting.",,,,2026-08-21
local-writer-corbin-smith,person,Corbin Smith,Emerald City Spectrum / Locked On Seahawks,Reporter and analyst,reporting,essential,active,free,"camp; roster; film; draft; daily audio","High cadence; verify sourced claims and distinguish analysis.",,,,2026-08-21
local-writer-matty-f-brown,person,Matty F. Brown,Seahawks On Tape,Film and scheme analyst,film_analysis,valuable,active,paywall,"All-22; scheme; player roles; tactics","Detailed analysis; not a reporting substitute.",,,,2026-08-21
local-writer-brian-nemhauser,person,Brian Nemhauser,Hawk Blogger,Credentialed independent reporter and analyst,team_analysis,valuable,active,free,"camp observations; interviews; analytics; podcast","Independent and fan-facing; distinguish observation from advocacy.",,,,2026-08-21
local-writer-john-boyle,person,John Boyle,Seattle Seahawks,Senior reporter,official,essential,active,free,"roster; transactions; camp; interviews","Team-employed official voice.",,,,2026-08-21
local-writer-dave-wyman,person,Dave Wyman,Seahawks Radio Network,Radio color analyst,film_analysis,valuable,active,free,"defense; front seven; former-player analysis; radio","Team radio voice; not independent reporting.",,,,2026-08-21
local-writer-jen-mueller,person,Jen Mueller,Seahawks Radio Network,Sideline reporter,official,valuable,active,free,"sideline updates; interviews; game context","Team radio role; not independent.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics database,data,valuable,active,free,"stats; snaps; rosters; logs","Unofficial snap reference.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract database,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation.",,,,2026-08-21
