coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-dan-quinn,Dan Quinn,all,Head Coach,true,Head Coach,https://www.commanders.com/team/coaches-roster/,2026-08-17
local-coach-david-blough,David Blough,offense,Offensive Coordinator,true,Assistant Quarterbacks,https://www.commanders.com/news/commanders-name-david-blough-offensive-coordinator,2026-08-17
local-coach-daronte-jones,Daronte Jones,defense,Defensive Coordinator,false,,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-larry-izzo,Larry Izzo,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.commanders.com/team/coaches-roster/,2026-08-17
local-coach-bobby-engram,Bobby Engram,offense,Wide Receivers,true,Wide Receivers,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-david-raih,David Raih,offense,Offensive Pass Game Coordinator,true,Offensive Pass Game Coordinator,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-anthony-lynn,Anthony Lynn,offense,Running Backs,true,Running Backs,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-darnell-stapleton,Darnell Stapleton,offense,Offensive Line,true,Offensive Line,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-dj-williams,D.J. Williams,offense,Quarterbacks,true,Quarterbacks,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-wes-welker,Wes Welker,offense,Offensive Assistant,true,Offensive Assistant,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-eric-henderson,Eric Henderson,defense,Defensive Line/Run Game Coordinator,true,Defensive Line/Run Game Coordinator,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-ken-norton-jr,Ken Norton Jr.,defense,Linebackers,true,Linebackers,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-john-pagano,John Pagano,defense,Outside Linebackers,true,Outside Linebackers,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-tommy-donatell,Tommy Donatell,defense,Defensive Backs/Safeties,true,Defensive Backs/Safeties,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-william-gay,William Gay,defense,Defensive Backs/Cornerbacks,true,Defensive Backs/Cornerbacks,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
local-coach-brian-schneider,Brian Schneider,special_teams,Assistant Special Teams Coordinator,true,Assistant Special Teams Coordinator,https://www.commanders.com/news/commanders-announce-2026-coaching-staff,2026-08-17
