coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-joe-brady,Joe Brady,all,Head Coach,true,Offensive Coordinator,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-pete-carmichael,Pete Carmichael,offense,Offensive Coordinator,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-jim-leonhard,Jim Leonhard,defense,Defensive Coordinator,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-jeff-rodgers,Jeff Rodgers,special_teams,Special Teams Coordinator,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-john-fox,John Fox,all,Senior Assistant Coach,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-bo-hardegree,Bo Hardegree,offense,Quarterbacks,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-pat-meyer,Pat Meyer,offense,Offensive Line,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-drew-terrell,Drew Terrell,offense,Wide Receivers,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-kelly-skipper,Kelly Skipper,offense,Running Backs,true,Running Backs,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-rob-boras,Rob Boras,offense,Run Game Coordinator/Tight Ends,true,Tight Ends,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-mark-lubick,Mark Lubick,offense,Pass Game Specialist/Game Management,true,Pass Game Specialist,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-austin-gund,Austin Gund,offense,Assistant Offensive Line,true,Assistant Offensive Line,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-terrance-jamison,Terrance Jamison,defense,Defensive Line,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-bobby-april-iii,Bobby April III,defense,Outside Linebackers,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-john-egorugwu,John Egorugwu,defense,Inside Linebackers,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-jay-valai,Jay Valai,defense,Cornerbacks,false,,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-joe-danna,Joe Danna,defense,Secondary,true,Defensive Assistant,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
local-coach-turner-west,Turner West,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.buffalobills.com/news/buffalo-bills-announce-2026-assistant-coaching-staff-additions,2026-08-13
