coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-jim-harbaugh,Jim Harbaugh,all,Head Coach,true,Head Coach,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-mike-mcdaniel,Mike McDaniel,offense,Offensive Coordinator,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-chris-oleary,Chris O'Leary,defense,Defensive Coordinator,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-ryan-ficken,Ryan Ficken,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-butch-barry,Butch Barry,offense,Offensive Line,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-kirk-campbell,Kirk Campbell,offense,Offensive Assistant,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-julian-campenni,Julian Campenni,defense,Assistant Defensive Line,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-steve-clinkscale,Steve Clinkscale,defense,Defensive Passing Game Coordinator/Defensive Backs,true,Defensive Backs,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-shane-day,Shane Day,offense,Offensive Passing Game Coordinator/Quarterbacks,true,Quarterbacks,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-mike-elston,Mike Elston,defense,Defensive Run Game Coordinator/Defensive Line,true,Defensive Line,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-rob-everett,Rob Everett,offense,Offensive Assistant,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-adam-fuller,Adam Fuller,defense,Safeties,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-adam-gase,Adam Gase,offense,Passing Game Specialist,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-chris-gould,Chris Gould,special_teams,Assistant Special Teams,true,Assistant Special Teams,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-josh-hammond,Josh Hammond,offense,Assistant Wide Receivers/Assistant Special Teams,true,Assistant Wide Receivers,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-nick-hardwick,Nick Hardwick,offense,Assistant Offensive Line,true,Assistant Offensive Line,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-chandler-henley,Chandler Henley,offense,Tight Ends,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-mike-hiestand,Mike Hiestand,defense,Defensive Run Game Specialist,true,Front Seven Specialist,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-sanjay-lal,Sanjay Lal,offense,Wide Receivers,true,Wide Receivers,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-denzel-martin,Denzel Martin,defense,Assistant Outside Linebackers,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-max-mccaffrey,Max McCaffrey,offense,Running Backs,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-dylan-roney,Dylan Roney,defense,Outside Linebackers,true,Outside Linebackers,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-sean-spence,Sean Spence,defense,Linebackers,false,,https://www.chargers.com/news/announce-new-coaching-hires-2026,2026-08-16
local-coach-ben-herbert,Ben Herbert,performance,Executive Director of Player Performance,true,Executive Director of Player Performance,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-jonathan-brooks,Jonathan Brooks,performance,Head Strength and Conditioning,true,Head Strength and Conditioning,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-devin-woodhouse,Devin Woodhouse,performance,Head Strength and Conditioning,true,Head Strength and Conditioning,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-ben-rabe,Ben Rabe,performance,Director of Performance Analytics,true,Director of Performance Analytics,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-lincoln-dewolf,Lincoln DeWolf,performance,Performance Analyst,true,Performance Analyst,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-jarrod-james,Jarrod James,development,Alex G. Spanos Coaching Fellow,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-beau-snuggs,Beau Snuggs,development,Alex G. Spanos Coaching Fellow,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
local-coach-jimmy-thompson,Jimmy Thompson,development,Alex G. Spanos Coaching Fellow,false,,https://www.chargers.com/news/coaching-fellows-and-promotions-announcement-2026,2026-08-16
