source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-kansas-city-chiefs,organization,Kansas City Chiefs communications,Kansas City Chiefs,Official team communications,official,essential,active,free,roster; injuries; transactions; depth chart; conferences,Team analysis is not independent.,,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,participation; starters; statistics; play-by-play,Use postgame source of record.,,,,2026-08-21
local-writer-adam-teicher,person,Adam Teicher,ESPN NFL Nation,Former ESPN Chiefs NFL Nation reporter; historical reference,reporting,situational,inactive,mixed,daily beat; injuries; roster; organization,ESPN current bio assigns the Chiefs beat to Nate Taylor since July 2025. ESPN February 5 2025 podcast metadata described Teicher approaching summer retirement; exact departure day is unverified. Preserve this ID for historical sources and frozen assignments; do not assign new daily monitoring.,Kansas City Chiefs NFL Nation reporter,,local-writer-nate-taylor,2026-09-06
local-writer-jesse-newell,person,Jesse Newell,The Athletic,Chiefs beat reporter,reporting,essential,active,paid,camp; scheme; roster construction; analytics,Summarize paywalled work and attribute.,,,,2026-08-21
local-writer-pete-sweeney,person,Pete Sweeney,Kansas City Star,Chiefs insider and beat writer,reporting,essential,active,paid,daily camp; injuries; personnel; roles,Summarize paywalled work and attribute.,,,,2026-08-21
local-writer-matt-derrick,person,Matt Derrick,Chiefs Digest,Publisher and Chiefs reporter,reporting,valuable,active,mixed,camp; transactions; roster depth; contracts,Author bio and August 29/30 2026 original article bodies opened September 6. Practical independent written fallback for blocked Athletic/ESPN bodies; verify sourcing inside each article and distinguish own reporting from team announcements.,,,,2026-09-06
local-writer-harold-kuntz,person,Harold Kuntz,FOX4 Kansas City,Sports reporter,reporting,valuable,active,free,local television; camp; breaking news; interviews,Distinguish reported facts from studio analysis.,,,,2026-08-21
local-writer-kent-swanson,person,Kent Swanson,KC Sports Network,Host and Chiefs analyst,analysis,valuable,active,mixed,roster construction; draft; Chiefs analysis,Current archive and dated byline verified September 6; selected article offers public metadata/preview with paid full content. Use archive rather than thin homepage; do not imply full film/video review from preview.,,,,2026-09-06
local-writer-matt-lane,person,Matt Lane,KC Sports Network,Chiefs film analyst,film_analysis,valuable,active,mixed,offensive film; player traits; scheme fits,Current archive and dated byline verified September 6; selected article offers public metadata/preview with paid full content. Use archive rather than thin homepage; do not imply full film/video review from preview.,,,,2026-09-06
local-writer-craig-stout,person,Craig Stout,KC Sports Network,Chiefs film analyst,film_analysis,valuable,active,mixed,defensive film; personnel packages; scheme,Analysis source; establish facts independently.,,,,2026-08-21
local-writer-matt-mcmullen,person,Matt McMullen,Kansas City Chiefs,Senior team reporter,team_analysis,valuable,active,free,camp observations; interviews; official context,Team employee; not independent confirmation.,,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,game logs; snap counts; history,Secondary reference.,,,,2026-08-21
local-writer-nate-taylor,person,Nate Taylor,ESPN NFL Nation,Kansas City Chiefs NFL Nation reporter,reporting,essential,active,mixed,daily beat; injuries; roster; organization,ESPN bio confirms assignment since July 2025 and current team index confirms byline. September 3 article body hit a JavaScript/robot challenge; readable metadata is not full article access. Use Matt Derrick for an accessible independent fallback.,The Athletic Chiefs staff writer,,,2026-09-06
