coach_id,name,unit,2026_role,retained_from_2025,2025_role_if_retained,source_url,last_verified
local-coach-dave-canales,Dave Canales,all,Head Coach,true,Head Coach,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-brad-idzik,Brad Idzik,offense,Offensive Coordinator,true,Offensive Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-harold-goodwin,Harold Goodwin,offense,Assistant Head Coach/Run Game Coordinator,true,Assistant Head Coach/Run Game Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-darrell-bevell,Darrell Bevell,offense,Associate Head Coach & Offensive Specialist,false,,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-joe-gilbert,Joe Gilbert,offense,Offensive Line,true,Offensive Line,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-will-harriger,Will Harriger,offense,Quarterbacks,true,Quarterbacks,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-mike-bercovici,Mike Bercovici,offense,Offensive Passing Game Coordinator,true,Assistant Quarterbacks/Pass Game Specialist,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-pat-mcpherson,Pat McPherson,offense,Tight Ends,true,Tight Ends,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-rob-moore,Rob Moore,offense,Wide Receivers,true,Wide Receivers,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-bernie-parmalee,Bernie Parmalee,offense,Running Backs,true,Running Backs,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-keyshawn-colmon,Keyshawn Colmon,offense,Offensive Assistant,true,Offensive Assistant,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-dean-petzing,Dean Petzing,offense,Offensive Assistant,true,Offensive Quality Control,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-carl-smith,Carl Smith,offense,Senior Offensive Consultant,false,,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-ejiro-evero,Ejiro Evero,defense,Defensive Coordinator,true,Defensive Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-peter-hansen,Peter Hansen,defense,Assistant Defensive Coordinator/Linebackers,true,Linebackers,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-jonathan-cooley,Jonathan Cooley,defense,Defensive Pass Game Coordinator,true,Defensive Pass Game Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-ac-carter,AC Carter,defense,Outside Linebackers & Run Game Specialist,true,Outside Linebackers,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-renaldo-hill,Renaldo Hill,defense,Secondary,true,Secondary,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-todd-wash,Todd Wash,defense,Defensive Line,true,Defensive Line,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-mayur-chaudhari,Mayur Chaudhari,defense,Assistant Linebackers,true,Assistant Linebackers,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-kevin-peterson,Kevin Peterson,defense,Defensive Assistant,true,Defensive Assistant,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-ilir-emini,Ilir Emini,defense,Defensive Assistant,true,Coaching Assistant,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-tracy-smith,Tracy Smith,special_teams,Special Teams Coordinator,true,Special Teams Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-daren-bates,Daren Bates,special_teams,Special Teams Assistant,true,Special Teams Assistant,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-dwayne-stukes,Dwayne Stukes,special_teams,Special Teams & Defensive Assistant,false,,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-jessica-beckenstein,Jessica Beckenstein,operations,Head Coach Assistant & Coaching Operations Manager,true,Head Coach Assistant and Coaching Operations Manager,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-scott-cooper,Scott Cooper,operations,Director of Coaching Development,true,Director of Coaching Development and Culture,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
local-coach-george-li,George Li,operations,Game Management Coordinator,true,Game Management Coordinator,https://www.panthers.com/news/panthers-announce-2026-coaching-staff,2026-08-17
