player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Cam Ball,DT,Arkansas,2026-05-07,active,2026-08-05,Defensive-line depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Austin Brown,S,Illinois,2026-05-07,active,2026-08-05,Safety depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Tahj Chambers,LB,Michigan State,2026-05-07,active,2026-08-05,Linebacker depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Sahmir Hagans,WR,Virginia,2026-05-07,active,2026-08-05,Wide receiver depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
E.J. Horton Jr.,WR,Florida Atlantic,2026-05-07,active,2026-08-05,Wide receiver depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Mitchell Melton,DE,Ohio State,2026-05-07,active,2026-08-05,Edge depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Lincoln Pare,RB,Texas State,2026-05-07,waived_NFI,2026-07-27,Waived with non-football injury designation before camp,https://www.colts.com/news/colts-training-camp-preview-daniel-jones-mobility-anthony-richardson-sr-riley-leonard-battle-for-qb2-competition-at-wide-receiver-linebacker-safety,2026-08-17
Nolan Rucci,T,Penn State,2026-05-07,active,2026-08-05,Offensive tackle depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Raylen Sharpe,WR,Fresno State,2026-05-07,active,2026-08-05,Wide receiver depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Geno VanDeMark,C,Alabama,2026-05-07,active,2026-08-05,Interior offensive-line depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
Jordon Vaughn,RB,UCLA,2026-05-07,active,2026-08-05,Running back depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
West Weeks,LB,LSU,2026-05-07,active,2026-08-05,Linebacker depth competition,https://www.colts.com/news/draft-signings-rookies-cj-allen-aj-haulcy-george-gumbs,2026-08-17
