player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Tua Tagovailoa,QB,free_agent_signing,2026-03-13,active,starter competition with Michael Penix Jr.; Tua was signed after Miami release and had 76 prior starts,https://www.atlantafalcons.com/news/atlanta-falcons-sign-qb-tua-tagovailoa,2026-08-17
Jahan Dotson,WR,free_agent_signing,2026-03-12,active,field-stretching and separation complement around Drake London,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Olamide Zaccheaus,WR,free_agent_signing,2026-03-17,active,returning Falcon; slot/middle-field depth and special-teams-capable receiver,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Brian Robinson Jr.,RB,free_agent_signing,2026-03-26,active,primary power complement to Bijan Robinson after Tyler Allgeier departed,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Tyler Goodson,RB,free_agent_signing,2026-03-26,active,third-running-back competition with Nathan Carter and Cash Jones,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Austin Hooper,TE,free_agent_signing,2026-03-12,active,veteran tight end depth familiar with Kevin Stefanski from Cleveland,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Jawaan Taylor,OT,free_agent_signing,2026-04-10,active,right-tackle addition with 111 prior starts; training-camp health/availability to monitor,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Corey Levin,OL,free_agent_signing,2026-03-13,active,interior offensive-line depth with center/guard experience,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Azeez Ojulari,DE,free_agent_signing,2026-03-16,active,edge-rush depth and pressure help while James Pearce Jr. is suspended,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Samson Ebukam,DE,free_agent_signing,2026-03-16,active,veteran edge depth with prior 9.5-sack season,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Da'Shawn Hand,DL,free_agent_signing,2026-03-16,active,interior/versatile defensive-line rotation,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Chris Williams,DL,free_agent_signing,2026-03-13,active,defensive-line depth with prior connection to Kevin Stefanski/Cleveland and Ian Cunningham/Chicago,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Cameron Thomas,DE,free_agent_signing,2026-03-12,active,edge-depth option who played for Stefanski in Cleveland,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Christian Harris,LB,free_agent_signing,2026-03-12,active,first-team linebacker candidate next to Divine Deablo,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Channing Tindall,LB,free_agent_signing,2026-03-13,active,linebacker and core-special-teams depth,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Darnay Holmes,DB,free_agent_signing,2026-04-01,active,slot/secondary depth competition,https://www.atlantafalcons.com/news/all,2026-08-17
Nick Folk,K,free_agent_signing,2026-03-12,active,veteran kicker after 2025 instability at the position,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Jake Bailey,P,free_agent_signing,2026-03-12,active,veteran punter and new kicking-operation piece,https://www.atlantafalcons.com/news/2026-free-agency-tracker-falcons-signings-extensions-reports,2026-08-17
Sydney Brown,DB,trade,2026-03-20,active,acquired from Philadelphia in draft-pick trade; adds safety/defensive-back depth,https://www.atlantafalcons.com/news/atlanta-falcons-2026-nfl-draft-picks,2026-08-17
