candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
north-01,"Chicago Bears communications","Chicago Bears",organization,initial,"roster; injuries; transactions; conferences; camp reports",https://www.chicagobears.com/news/,https://www.chicagobears.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-chicago-bears,2026-08-21
north-02,"NFL gamebooks and participation","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
north-03,"Courtney Cronin","ESPN NFL Nation",person,initial,"daily beat; injuries; roles; organization",https://espnpressroom.com/bio/courtney-cronin/,https://espnpressroom.com/bio/courtney-cronin/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-courtney-cronin,2026-08-21
north-04,"Kevin Fishbain","The Athletic",person,initial,"practice; roster; contracts; features",https://www.nytimes.com/athletic/author/kevin-fishbain/,https://www.nytimes.com/athletic/author/kevin-fishbain/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-kevin-fishbain,2026-08-21
north-05,"Adam Jahns","The Athletic / CHGO",person,initial,"beat reporting; organization; interviews; podcast",https://podcasts.apple.com/us/podcast/hoge-jahns-a-show-about-the-chicago-bears/id1027584309,https://podcasts.apple.com/us/podcast/hoge-jahns-a-show-about-the-chicago-bears/id1027584309,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-adam-jahns,2026-08-21
north-06,"Brad Biggs","Chicago Tribune",person,initial,"daily beat; personnel; contracts; organization",https://www.chicagotribune.com/sports/bears/,https://www.chicagotribune.com/sports/bears/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-brad-biggs,2026-08-21
north-07,"Dan Wiederer","Chicago Tribune",person,initial,"features; quarterback; coaching; organization",https://www.chicagotribune.com/sports/bears/,https://www.chicagotribune.com/sports/bears/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dan-wiederer,2026-08-21
north-08,"Patrick Finley","Chicago Sun-Times",person,initial,"camp; injuries; roster; stadium",https://chicago.suntimes.com/authors/patrick-finley,https://chicago.suntimes.com/authors/patrick-finley,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-patrick-finley,2026-08-21
north-09,"Jason Lieser","Chicago Sun-Times",person,initial,"camp; coaching; personnel; organization",https://chicago.suntimes.com/authors/jason-lieser,https://chicago.suntimes.com/authors/jason-lieser,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jason-lieser,2026-08-21
north-10,"Adam Hoge","CHGO",person,omission_pass,"practice; interviews; local context; podcast",https://podcasts.apple.com/us/podcast/hoge-jahns-a-show-about-the-chicago-bears/id1027584309,https://podcasts.apple.com/us/podcast/hoge-jahns-a-show-about-the-chicago-bears/id1027584309,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-adam-hoge,2026-08-21
north-11,"Nicholas Moreano","Independent",person,omission_pass,"camp; film; roster battles; interviews",https://podcasts.apple.com/us/podcast/the-nicholas-moreano-show/id1803424325,https://podcasts.apple.com/us/podcast/the-nicholas-moreano-show/id1803424325,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-nicholas-moreano,2026-08-21
north-12,"Mark Grote","670 The Score",person,omission_pass,"practice; local radio; interviews; injuries",https://www.audacy.com/670thescore/sports/chicago-bears,https://www.audacy.com/670thescore/sports/chicago-bears,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-mark-grote,2026-08-21
north-13,"Sean Hammond","Daily Herald",person,omission_pass,"daily camp; injuries; practice observations; roster",https://www.dailyherald.com/sports/chicago-bears/,https://www.dailyherald.com/sports/chicago-bears/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-sean-hammond,2026-08-21
north-14,"Larry Mayer","Chicago Bears",person,omission_pass,"official camp reports; roster; interviews",https://www.chicagobears.com/news/,https://www.chicagobears.com/news/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-larry-mayer,2026-08-21
north-15,"Jeff Joniak","Chicago Bears Radio",person,omission_pass,"interviews; radio; team context",https://www.chicagobears.com/audio/bears-etc,https://www.chicagobears.com/audio/bears-etc,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jeff-joniak,2026-08-21
north-16,"Tom Thayer","Chicago Bears Radio",person,omission_pass,"line play; film; scheme",https://www.chicagobears.com/audio/bears-weekly,https://www.chicagobears.com/audio/bears-weekly,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tom-thayer,2026-08-21
north-17,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/chicago-bears,https://overthecap.com/team/chicago-bears,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
north-18,"Pro Football Reference","Sports Reference",organization,omission_pass,"logs; snaps; history",https://www.pro-football-reference.com/teams/chi/2026.htm,https://www.pro-football-reference.com/teams/chi/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
