candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
ari-team,Arizona Cardinals communications,Arizona Cardinals,organization,initial,"official record; team-controlled analysis",https://www.azcardinals.com/news/,https://www.azcardinals.com/news/,include,essential,Authoritative club records.,local-source-arizona-cardinals,2026-08-21
ari-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official participation records.,local-source-nfl-gamebooks,2026-08-21
ari-weinfuss,Josh Weinfuss,ESPN,person,initial,"daily independent beat; national",https://www.espn.com/nfl/team/_/name/ari/arizona-cardinals,https://www.espn.com/nfl/story/_/id/48370032/arizona-cardinals-2026-quarterbacks,include,essential,Current ESPN beat.,local-writer-josh-weinfuss,2026-08-21
ari-mackie,Theo Mackie,Arizona Republic,person,initial,"daily independent beat; major local",https://profile.azcentral.com/newsletters/manage/,https://sports.yahoo.com/articles/5-key-takeaways-1st-week-120434587.html,include,essential,Current daily camp reporter.,local-writer-theo-mackie,2026-08-21
ari-drake,Tyler Drake,Arizona Sports,person,omission_pass,"daily independent beat; local radio",https://arizonasports.com/nfl/arizona-cardinals/what-is-cardinals-open-practice-schedule-training-camp,https://arizonasports.com/category/nfl/arizona-cardinals/,include,essential,Independent local beat and audio.,local-writer-tyler-drake,2026-08-21
ari-koval,Lauren Koval,Arizona Sports,person,omission_pass,"weekly podcast; roster analysis",https://arizonasports.com/shows/cardinals-corner,https://arizonasports.com/shows/cardinals-corner,include,valuable,Recurring Cardinals-specific co-host adds a distinct audio voice but shares sourcing with Tyler Drake.,local-writer-lauren-koval,2026-08-21
ari-venerable,Johnny Venerable,PHNX Sports,person,initial,"daily independent beat; podcast",https://gophnx.com/category/cardinals-podcast/,https://gophnx.com/category/cardinals-podcast/,include,essential,Original reporting and daily coverage.,local-writer-johnny-venerable,2026-08-21
ari-brack,Bo Brack,PHNX Sports,person,initial,"daily independent beat; podcast",https://phnx-arizona-cardinals-podcast.simplecast.com/,https://phnx-arizona-cardinals-podcast.simplecast.com/,include,essential,Current beat reporter and camp voice.,local-writer-bo-brack,2026-08-21
ari-gambadoro,John Gambadoro,Arizona Sports,person,omission_pass,"local radio; organization",https://x.com/Gambo987,https://x.com/Gambo987,include,valuable,Differentiated local breaking-news lane.,local-writer-john-gambadoro,2026-08-21
ari-urban,Darren Urban,Arizona Cardinals,person,initial,"official record; team-controlled",https://www.azcardinals.com/author/darren-urban-word-from-the-birds,https://www.azcardinals.com/news/,include,essential,Senior official reporter.,local-writer-darren-urban,2026-08-21
ari-gershman,Zach Gershman,Arizona Cardinals,person,initial,"official record; team-controlled",https://www.azcardinals.com/news/,https://www.azcardinals.com/news/cardinals-finalize-2026-preseason-schedule,include,valuable,Current official staff writer.,local-writer-zach-gershman,2026-08-21
ari-calvisi,Paul Calvisi,Arizona Cardinals,person,omission_pass,"local radio; team-controlled",https://www.azcardinals.com/podcasts/big-red-rage/,https://www.azcardinals.com/podcasts/big-red-rage/,include,valuable,Direct interviews and team broadcast analysis.,local-writer-paul-calvisi,2026-08-21
ari-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; usage",https://www.pro-football-reference.com/teams/crd/2026.htm,https://www.pro-football-reference.com/teams/crd/2026.htm,include,valuable,Structured reference.,local-source-pro-football-reference,2026-08-21
ari-otc,Over the Cap,Over the Cap,organization,initial,transactions,https://overthecap.com/team/arizona-cardinals,https://overthecap.com/team/arizona-cardinals,include,valuable,Cap mechanics.,local-source-over-the-cap,2026-08-21
ari-haller,Doug Haller,The Athletic,person,initial,national reporting,https://x.com/DougHaller,https://x.com/DougHaller,exclude,supplemental,Arizona-based senior writer but no current dedicated Cardinals beat established.,,2026-08-21
ari-odegard,Kyle Odegard,Independent,person,omission_pass,"analysis; organization",https://x.com/Kyle_Odegard,https://x.com/Kyle_Odegard,exclude,supplemental,Former team writer with occasional analysis but not a current daily beat.,,2026-08-21
ari-root,Jess Root,Cards Wire,person,omission_pass,"podcast; aggregation",https://cardswire.usatoday.com/,https://cardswire.usatoday.com/,exclude,supplemental,Useful synthesis but largely redundant with original sources.,,2026-08-21
ari-slotnik,Evan Slotnik,Cronkite News,person,omission_pass,"local enterprise; rotational student coverage",https://cronkitenews.azpbs.org/2026/06/11/mike-lafleur-arizona-cardinals-final-day-minicamp/,https://cronkitenews.azpbs.org/2026/06/11/mike-lafleur-arizona-cardinals-final-day-minicamp/,exclude,supplemental,Original local work exists but no recurring season-long Cardinals assignment established.,,2026-08-21
