question_id,priority_id,entity_or_unit,preseason_hypothesis,confirming_evidence,disconfirming_evidence,baseline_confidence,fantasy_formats,review_trigger,status,last_updated
mia-2026-def-q01,5,Chris Johnson,Johnson will play every-down snaps while aligning primarily outside,"starts in base and nickel; majority of snaps outside; remains on field across situations","rotates; moves primarily to nickel; leaves field in core packages",medium,"general;idp;player_props",each preseason game,open,2026-08-05
mia-2026-def-q02,5,Outside corner,JuJu Brents will open as the other starting boundary corner,"repeated first-unit outside snaps opposite Johnson; base and nickel retention","Alex Austin Ethan Bonner Marco Wilson or another corner takes sustained first-unit boundary work",low,"general;player_props",each preseason game,open,2026-08-05
mia-2026-def-q03,5,Chris Johnson,Johnson will receive matchup assignments rather than remain fixed to one side,"travels with leading receivers; alignment changes by formation and matchup","stays consistently left or right regardless of receiver deployment",low,"general;idp;player_props",first four regular-season games,open,2026-08-05
mia-2026-def-q04,5,Secondary,Miami will preserve split-safety flexibility because the front controls the run,"frequent two-high shells without poor rushing results; safeties rotate after snap","routine safety insertion into the box; light boxes repeatedly fail",low,"general;player_props",first two regular-season games,open,2026-08-05
mia-2026-def-q05,6,Chop Robinson,Robinson will lead Miami edge defenders in snaps pressures and sacks,"highest edge snap share; stable early and passing-down role; repeated individual wins","heavy rotation or another edge leads meaningful rush metrics",high,"idp;general;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q06,6,Josh Uche,Uche will be Robinson's primary passing-down complement,"regular third-down and two-minute pairing; repeated rush opportunities","Ojabo Moore Goode or another edge consistently displaces him",medium,"idp;general;player_props",each preseason game,open,2026-08-05
mia-2026-def-q07,6,Clelin Ferrell,Ferrell will hold an early-down edge-setting role without leading passing-down snaps,"starts or rotates early; run-defense assignments; exits for Uche or another rusher","wins core passing-down role or falls behind other early-down edges",medium,"idp;general",each preseason game,open,2026-08-05
mia-2026-def-q08,6,Pass rush,Miami will generate sustainable pressure with four rushers,"four-man pressure rate and individual wins remain functional; coverage retains seven","production depends on five-plus rushers or free rushers from design",low,"general;idp;player_props",after 50 opponent dropbacks,open,2026-08-05
mia-2026-def-q09,6,Pressure design,Simulated pressures will create favorable matchups without increasing explosives,"free or isolated rushers with seven in coverage; low bust and explosive rate","communication busts or uncovered zones outweigh pressure benefit",low,"general;player_props",first four regular-season games,open,2026-08-05
mia-2026-def-q10,6,Interior rush,Sieler will remain the primary interior passing-down rusher,"passing-down retention; leads interior pressures; benefits from edge attention","Grant or another tackle takes the primary interior rush role",high,"idp;general;player_props",each preseason game,open,2026-08-05
mia-2026-def-q11,7,Zayne Anderson,Anderson will convert camp production into a starting or core subpackage safety role,"first-unit safety snaps; deep or box assignment; nickel retention","camp interceptions do not produce core defensive snaps",low,"idp;general",each preseason game,open,2026-08-05
mia-2026-def-q12,7,Dante Trader,Trader will retain a starting safety role when healthy,"returns to first-unit work; starts preseason; remains in nickel","availability persists or Anderson Taaffe Johnson or another safety displaces him",medium,"idp;general",each practice and preseason game,open,2026-08-05
mia-2026-def-q13,7,Nickel,Jason Marshall Jr. will lead the nickel competition if Johnson remains outside,"first-unit slot snaps with Johnson outside; third-down and two-minute use","Johnson moves inside or another defender wins sustained slot work",low,"general;idp;player_props",each preseason game,open,2026-08-05
mia-2026-def-q14,7,Coverage structure,Miami will use both man and zone without one family exceeding two-thirds of early snaps,"measured mixed deployment by situation and opponent","one coverage family dominates at least two representative games",medium,"general;player_props",after first two regular-season games,open,2026-08-05
mia-2026-def-q15,7,Secondary,Miami's takeaway production will be supported by repeatable disruption rather than only turnover luck,"PBUs forced fumbles pressure throws and turnover-worthy opportunities accompany takeaways","interceptions and recoveries occur without sustained disruption or regress immediately",medium,"general;idp;player_props",after four regular-season games,open,2026-08-05
mia-2026-def-q16,7,Secondary,Communication errors will be a larger early risk than individual coverage losses,"busts handoff errors and late rotations drive explosives","assignments remain clean while isolated defenders are the primary problem",low,"general;player_props",each preseason game and first two regular-season games,open,2026-08-05
mia-2026-def-q17,7,Jordyn Brooks,Brooks will remain an every-down linebacker and lead Miami in tackles,"green-dot or communication role; base nickel and two-minute retention; leading tackle volume","leaves subpackages or shares snaps materially",high,"idp;general;player_props",each preseason game and first four regular-season games,open,2026-08-05
mia-2026-def-q18,7,Jacob Rodriguez,Rodriguez will earn recurring nickel or three-down work before midseason,"first-unit nickel reps; coverage and pressure assignments; two-minute use","base-only rotation or primarily special-teams deployment",low,"idp;general",Weeks 1 4 and 8,open,2026-08-05
mia-2026-def-q19,7,Tyrel Dodson,Dodson will open beside Brooks but lose some passing-down work to Rodriguez or a hybrid defender,"base start with reduced nickel share","retains every-down role or loses starting work entirely",medium,"idp;general",each preseason game and first two regular-season games,open,2026-08-05
mia-2026-def-q20,7,Miami D/ST,Miami will begin the season as a matchup streamer rather than a set-and-forget fantasy defense,"volatile pressure takeaways and explosives; results depend strongly on opponent","stable top-tier pressure coverage and scoring defense across varied opponents",medium,"general;best_ball;player_props",after four regular-season games,open,2026-08-05
