espn_adp_rank,name,position,team,espn_live_adp,espn_ppr_rank,espn_standard_rank,espn_ppr_auction_value,percent_owned,espn_player_id,source,snapshot_date
1,Jahmyr Gibbs,RB,DET,1.5,1,1,57,99.9,4429795,espn,2026-08-19
2,Bijan Robinson,RB,ATL,2.6,2,2,56,99.9,4430807,espn,2026-08-19
3,Ja'Marr Chase,WR,CIN,4.2,3,3,56,99.9,4362628,espn,2026-08-19
4,Puka Nacua,WR,LAR,4.6,4,4,55,99.9,4426515,espn,2026-08-19
5,Jaxon Smith-Njigba,WR,SEA,5.9,5,5,54,99.8,4430878,espn,2026-08-19
6,Christian McCaffrey,RB,SF,6.7,6,6,53,99.8,3117251,espn,2026-08-19
7,Jonathan Taylor,RB,IND,8.0,7,7,52,99.8,4242335,espn,2026-08-19
8,Amon-Ra St. Brown,WR,DET,8.4,8,8,52,99.9,4374302,espn,2026-08-19
9,CeeDee Lamb,WR,DAL,10.7,9,9,51,99.8,4241389,espn,2026-08-19
10,De'Von Achane,RB,MIA,12.1,10,13,50,99.8,4429160,espn,2026-08-19
11,Justin Jefferson,WR,MIN,12.2,11,11,48,99.8,4262921,espn,2026-08-19
12,James Cook III,RB,BUF,12.9,12,12,46,99.8,4379399,espn,2026-08-19
13,Saquon Barkley,RB,PHI,16.3,18,15,37,99.7,3929630,espn,2026-08-19
14,Ashton Jeanty,RB,LV,17.2,13,19,45,99.6,4890973,espn,2026-08-19
15,Drake London,WR,ATL,18.9,14,14,43,99.5,4426502,espn,2026-08-19
16,Jeremiyah Love,RB,ARI,18.9,15,20,42,99.2,4870808,espn,2026-08-19
17,Derrick Henry,RB,BAL,19.8,19,10,36,99.6,3043078,espn,2026-08-19
18,Trey McBride,TE,ARI,20.0,17,17,38,99.8,4361307,espn,2026-08-19
19,Josh Allen,QB,BUF,22.1,36,36,22,99.8,3918298,espn,2026-08-19
20,Rashee Rice,WR,KC,22.3,16,16,40,99.2,4428331,espn,2026-08-19
21,Kenneth Walker III,RB,KC,23.4,21,18,34,99.3,4567048,espn,2026-08-19
22,Brock Bowers,TE,LV,24.0,24,24,32,99.8,4432665,espn,2026-08-19
23,Chase Brown,RB,CIN,24.0,20,22,35,98.9,4362238,espn,2026-08-19
24,A.J. Brown,WR,NE,27.2,28,26,29,99.4,4047646,espn,2026-08-19
25,Nico Collins,WR,HOU,27.7,25,25,31,99.4,4258173,espn,2026-08-19
26,Omarion Hampton,RB,LAC,27.8,22,21,33,99.0,4685382,espn,2026-08-19
27,George Pickens,WR,DAL,29.6,32,29,25,99.5,4426354,espn,2026-08-19
28,Breece Hall,RB,NYJ,31.7,23,23,32,98.2,4427366,espn,2026-08-19
29,Josh Jacobs,RB,GB,34.0,30,30,27,98.9,4047365,espn,2026-08-19
30,Chris Olave,WR,NO,34.8,26,27,30,98.4,4361370,espn,2026-08-19
31,Malik Nabers,WR,NYG,36.1,29,28,28,98.3,4595348,espn,2026-08-19
32,Garrett Wilson,WR,NYJ,36.2,27,34,30,98.2,4569618,espn,2026-08-19
33,Javonte Williams,RB,DAL,38.0,31,31,26,97.8,4361579,espn,2026-08-19
34,Lamar Jackson,QB,BAL,38.8,58,58,10,99.6,3916387,espn,2026-08-19
35,DeVonta Smith,WR,PHI,39.4,35,44,22,98.6,4241478,espn,2026-08-19
36,Zay Flowers,WR,BAL,42.1,34,43,23,97.9,4429615,espn,2026-08-19
37,Tetairoa McMillan,WR,CAR,42.5,33,35,24,97.9,4685472,espn,2026-08-19
38,Kyren Williams,RB,LAR,43.2,39,39,21,97.4,4430737,espn,2026-08-19
39,Cam Skattebo,RB,NYG,43.5,41,41,20,98.0,4696981,espn,2026-08-19
40,Emeka Egbuka,WR,TB,45.0,43,33,19,97.3,4567750,espn,2026-08-19
41,Colston Loveland,TE,CHI,45.3,50,50,13,99.2,4723086,espn,2026-08-19
42,Tyler Warren,TE,IND,47.2,51,51,13,99.0,4431459,espn,2026-08-19
43,Drake Maye,QB,NE,47.4,60,60,10,99.0,4431452,espn,2026-08-19
44,Davante Adams,WR,LAR,47.5,44,32,18,97.8,16800,espn,2026-08-19
45,Travis Etienne Jr.,RB,NO,48.3,38,38,22,95.9,4239996,espn,2026-08-19
46,Jayden Daniels,QB,WSH,50.8,56,56,10,98.5,4426348,espn,2026-08-19
47,Jalen Hurts,QB,PHI,52.3,62,62,9,97.3,4040715,espn,2026-08-19
48,Ladd McConkey,WR,LAC,52.7,45,48,17,95.5,4612826,espn,2026-08-19
49,Quinshon Judkins,RB,CLE,54.7,40,40,21,94.5,4685702,espn,2026-08-19
50,Bucky Irving,RB,TB,56.0,42,42,19,94.6,4596448,espn,2026-08-19
51,Tee Higgins,WR,CIN,58.0,47,47,15,95.4,4239993,espn,2026-08-19
52,Joe Burrow,QB,CIN,60.0,81,81,5,96.2,3915511,espn,2026-08-19
53,Jaylen Waddle,WR,DEN,60.4,48,52,15,94.3,4372016,espn,2026-08-19
54,Terry McLaurin,WR,WSH,61.9,46,46,17,93.9,3121422,espn,2026-08-19
55,Sam LaPorta,TE,DET,65.6,80,79,6,94.6,4430027,espn,2026-08-19
56,Kyle Pitts Sr.,TE,ATL,65.9,78,78,6,95.0,4360248,espn,2026-08-19
57,DJ Moore,WR,BUF,67.2,53,53,11,91.9,3915416,espn,2026-08-19
58,Jameson Williams,WR,DET,68.5,52,49,12,93.0,4426388,espn,2026-08-19
59,D'Andre Swift,RB,CHI,69.3,65,67,9,91.0,4259545,espn,2026-08-19
60,Rome Odunze,WR,CHI,69.4,49,45,14,91.7,4431299,espn,2026-08-19
61,Carnell Tate,WR,TEN,74.2,55,72,10,92.1,4871023,espn,2026-08-19
62,David Montgomery,RB,HOU,74.5,67,65,8,90.4,4035538,espn,2026-08-19
63,Jaxson Dart,QB,NYG,76.3,85,85,5,92.8,4689114,espn,2026-08-19
64,Harold Fannin Jr.,TE,CLE,77.1,79,80,6,92.0,5083076,espn,2026-08-19
65,Luther Burden III,WR,CHI,77.3,54,54,11,90.0,4685278,espn,2026-08-19
66,Bhayshul Tuten,RB,JAX,77.3,64,64,9,88.3,4882093,espn,2026-08-19
67,TreVeyon Henderson,RB,NE,77.3,69,69,8,90.6,4432710,espn,2026-08-19
68,Matthew Stafford,QB,LAR,79.7,102,102,4,92.3,12483,espn,2026-08-19
69,Jadarian Price,RB,SEA,80.6,68,68,8,89.1,4685512,espn,2026-08-19
70,Courtland Sutton,WR,DEN,84.3,72,55,7,88.4,3128429,espn,2026-08-19
71,Brandon Aubrey,K,DAL,84.7,240,240,0,99.7,3953687,espn,2026-08-19
72,Texans D/ST,D/ST,HOU,86.2,223,223,0,98.7,-16034,espn,2026-08-19
73,Dak Prescott,QB,DAL,87.0,95,95,4,89.0,2577417,espn,2026-08-19
74,DK Metcalf,WR,PIT,87.5,75,73,6,88.9,4047650,espn,2026-08-19
75,Bo Nix,QB,DEN,89.6,97,97,4,87.4,4426338,espn,2026-08-19
76,Michael Pittman Jr.,WR,PIT,90.8,73,88,7,87.3,4035687,espn,2026-08-19
