candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
ne-team,New England Patriots communications,New England Patriots,organization,initial,official record; team-controlled,https://www.patriots.com/team/injury-report/,https://www.patriots.com/news/,include,essential,"Source of record for transactions, roster, injury and practice-participation reports and transcripts.",local-source-new-england-patriots,2026-09-09
ne-nfl,NFL gamebooks and participation records,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Postgame source of record for participation, starters and play-by-play.",local-source-nfl-gamebooks,2026-09-09
ne-reiss,Mike Reiss,ESPN NFL Nation,person,initial,daily independent beat; national reporting,https://espnpressroom.com/bio/mike-reiss/,https://www.espn.com/nfl/story/_/id/49427703/new-england-patriots-training-camp-2026-intel-updates,include,essential,ESPN bio re-verified 2026-09-09 as NFL Nation Reporter: New England Patriots; current 2026 camp intel reporting.,local-writer-mike-reiss,2026-09-09
ne-callahan,Andrew Callahan,Boston Herald,person,initial,daily independent beat; scheme; roster,https://www.bostonherald.com/author/andrew-callahan/,https://www.bostonherald.com/sports/nfl/new-england-patriots/,include,essential,Herald author bio states he became the Herald Patriots beat writer in 2019; 31 current Patriots bylines on the Week 1 team landing page.,local-writer-andrew-callahan,2026-09-09
ne-kyed,Doug Kyed,Boston Herald,person,initial,daily independent beat; transactions; league sourcing,https://www.bostonherald.com/author/doug-kyed/,https://www.bostonherald.com/sports/nfl/new-england-patriots/,include,essential,"Highest-volume current Herald Patriots byline (57 items on the Week 1 landing page), including injury reports and transaction breaks.",local-writer-doug-kyed,2026-09-09
ne-price,Christopher Price,Boston Globe,person,initial,daily independent beat; camp observation; major local,https://www.bostonglobe.com/about/staff-list/staff/christopher-price/,https://www.bostonglobe.com/2026/08/16/sports/patriots-walkthrough-training-camp/,include,essential,Globe staff page current; recurring 2026 Patriots bylines including camp observation columns on the Globe Patriots landing page.,local-writer-christopher-price,2026-09-09
ne-yang,Nicole Yang,Boston Globe,person,initial,daily independent beat; player roles; features,https://www.bostonglobe.com/about/staff-list/staff/nicole-yang/,https://www.bostonglobe.com/sports/patriots/,include,essential,Globe staff profile identifies the Patriots beat; most frequent Globe Patriots byline on the 2026 Week 1 landing page.,local-writer-nicole-yang,2026-09-09
ne-volin,Ben Volin,Boston Globe,person,initial,national or major local reporting; organization,https://www.bostonglobe.com/about/staff-list/staff/ben-volin/,https://www.bostonglobe.com/2026/09/09/sports/patriots-season-preview-globe-2026/,include,valuable,Senior NFL writer with current 2026 Patriots and league bylines; league-wide context the beat writers do not supply.,local-writer-ben-volin,2026-09-09
ne-graff,Chad Graff,The Athletic,person,omission_pass,daily independent beat; national reporting; organization,https://www.nytimes.com/athletic/author/chad-graff/,https://www.nytimes.com/athletic/author/chad-graff/,include,essential,The Athletic bio: senior writer covering the New England Patriots since 2022; PFWA Bob Oates beat-writing award. The Athletic was entirely absent from the legacy registry.,local-writer-chad-graff,2026-09-09
ne-daniels,Mark Daniels,MassLive,person,omission_pass,daily independent beat; camp observation,https://sports.yahoo.com/articles/patriots-record-2026-win-super-090148695.html,https://www.masslive.com/patriots/,include,essential,MassLive's 2026-09-09 staff predictions piece lists him as Patriots Beat Reporter; recurring 2026 camp-day reporting. MassLive was absent from the legacy registry.,local-writer-mark-daniels,2026-09-09
