team,phase,area,player,designed_carries,assigned_targets
NE,REG,inside_20,A.Gibson,4,0
NE,REG,inside_20,A.Hooper,0,5
NE,REG,inside_20,D.Douglas,1,7
NE,REG,inside_20,D.Johnson,1,0
NE,REG,inside_20,D.Maye,7,0
NE,REG,inside_20,E.Chism,0,1
NE,REG,inside_20,H.Henry,0,22
NE,REG,inside_20,K.Boutte,0,4
NE,REG,inside_20,M.Hollins,0,5
NE,REG,inside_20,R.Stevenson,27,6
NE,REG,inside_20,S.Diggs,0,12
NE,REG,inside_20,T.Henderson,36,4
NE,REG,inside_20,T.Jennings,4,0
NE,REG,inside_5,A.Gibson,2,0
NE,REG,inside_5,A.Hooper,0,3
NE,REG,inside_5,D.Douglas,0,2
NE,REG,inside_5,D.Johnson,1,0
NE,REG,inside_5,D.Maye,3,0
NE,REG,inside_5,H.Henry,0,6
NE,REG,inside_5,K.Boutte,0,2
NE,REG,inside_5,M.Hollins,0,2
NE,REG,inside_5,R.Stevenson,12,1
NE,REG,inside_5,S.Diggs,0,4
NE,REG,inside_5,T.Henderson,8,1
NE,REG,inside_5,T.Jennings,2,0
NE,POST,inside_20,D.Maye,2,0
NE,POST,inside_20,H.Henry,0,2
NE,POST,inside_20,K.Boutte,0,1
NE,POST,inside_20,M.Hollins,0,1
NE,POST,inside_20,R.Stevenson,4,2
NE,POST,inside_20,S.Diggs,0,1
NE,POST,inside_20,T.Henderson,1,0
NE,POST,inside_5,H.Henry,0,1
NE,POST,inside_5,R.Stevenson,1,0
NE,SB,inside_20,H.Henry,0,1
NE,SB,inside_20,M.Hollins,0,1
NE,SB,inside_20,R.Stevenson,0,1
NE,SB,inside_5,H.Henry,0,1
SEA,REG,inside_20,A.Barner,3,13
SEA,REG,inside_20,C.Kupp,0,13
SEA,REG,inside_20,E.Arroyo,0,5
SEA,REG,inside_20,E.Saubert,0,4
SEA,REG,inside_20,G.Holani,5,0
SEA,REG,inside_20,J.Smith-Njigba,0,17
SEA,REG,inside_20,K.Walker,34,3
SEA,REG,inside_20,N.Kallerup,0,1
SEA,REG,inside_20,R.Shaheed,0,2
SEA,REG,inside_20,T.Horton,0,4
SEA,REG,inside_20,Z.Charbonnet,52,3
SEA,REG,inside_5,A.Barner,1,3
SEA,REG,inside_5,C.Kupp,0,3
SEA,REG,inside_5,E.Arroyo,0,1
SEA,REG,inside_5,E.Saubert,0,1
SEA,REG,inside_5,J.Smith-Njigba,0,3
SEA,REG,inside_5,K.Walker,8,0
SEA,REG,inside_5,T.Horton,0,1
SEA,REG,inside_5,Z.Charbonnet,19,1
SEA,POST,inside_20,A.Barner,0,3
SEA,POST,inside_20,C.Kupp,0,3
SEA,POST,inside_20,G.Holani,1,0
SEA,POST,inside_20,J.Bobo,0,2
SEA,POST,inside_20,J.Smith-Njigba,0,6
SEA,POST,inside_20,K.Walker,17,1
SEA,POST,inside_20,R.Shaheed,0,1
SEA,POST,inside_20,Z.Charbonnet,1,0
SEA,POST,inside_5,J.Smith-Njigba,0,1
SEA,POST,inside_5,K.Walker,1,0
SEA,SB,inside_20,A.Barner,0,1
SEA,SB,inside_20,C.Kupp,0,1
SEA,SB,inside_20,J.Smith-Njigba,0,1
SEA,SB,inside_20,K.Walker,5,0
SEA,SB,inside_20,R.Shaheed,0,1
