source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-los-angeles-rams,organization,Los Angeles Rams communications,Los Angeles Rams,Official team communications,official,essential,active,free,"injuries; transactions; roster; press conferences","Authoritative club record; editorial is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve the specific record.",,,,2026-08-21
local-writer-sarah-barshop,person,Sarah Barshop,ESPN,Rams reporter,reporting,essential,active,free,"daily beat; injuries; organization; roster","Current ESPN Rams reporter.",,,,2026-08-21
local-writer-gary-klein,person,Gary Klein,Los Angeles Times,Rams beat reporter,reporting,essential,active,paywall,"camp observations; personnel roles; roster; organization","Primary LA Times beat; do not reproduce paid text.",,,,2026-08-21
local-writer-adam-grosbard,person,Adam Grosbard,Southern California News Group,Rams beat reporter,reporting,essential,active,paywall,"camp; roster battles; injuries; game coverage","Covers for LA Daily News and Orange County Register.",,,,2026-08-21
local-writer-jourdan-rodrigue,person,Jourdan Rodrigue,The Athletic,National NFL writer and Rams analyst,reporting,valuable,active,paywall,"scheme; organization; coaching; enterprise","No longer dedicated daily beat; retains deep Rams expertise and 2026 preseason broadcast role.",The Athletic Rams beat writer,,,2026-08-21
local-writer-stu-jackson,person,Stu Jackson,Los Angeles Rams,Senior staff writer,official,essential,active,free,"roster; transactions; camp; interviews","Team-employed official voice.",,,,2026-08-21
local-writer-zach-edwards,person,Zach Edwards,Los Angeles Rams,Staff writer,official,valuable,active,free,"camp observations; defensive personnel; podium synthesis; player features","Team-employed; repeatedly shares 2026 practice-observation assignments with Stu Jackson.",,,,2026-08-21
local-writer-jb-long,person,J.B. Long,Los Angeles Rams,Rams radio play-by-play announcer,official,valuable,active,free,"interviews; weekly context; podcasts; game broadcast","Team broadcaster; not independent.",,,,2026-08-21
local-writer-dmarco-farr,person,D'Marco Farr,Los Angeles Rams,Rams radio analyst,film_analysis,valuable,active,free,"defensive front; scheme; former-player analysis","Team broadcaster; interpretation is not independent reporting.",,,,2026-08-21
local-writer-darren-haynes,person,Darren Haynes,CBS Los Angeles,Sports anchor and Rams preseason sideline reporter,reporting,valuable,active,free,"sideline updates; interviews; local TV; preseason","Covers the team beyond broadcasts but his official Rams sideline access is not independent corroboration.",,,,2026-08-21
local-writer-jake-ellenbogen,person,Jake Ellenbogen,Independent,Rams analyst and podcast host,team_analysis,valuable,active,free,"film; roster; draft; high-cadence audio","Opinion-forward; verify reported premises and use film claims with evidence.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics database,data,valuable,active,free,"stats; rosters; snaps; logs","Snap counts are unofficial reference data.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract database,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation.",,,,2026-08-21
