candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
sea-team,Seattle Seahawks communications,Seattle Seahawks,organization,initial,"official record; team-controlled",https://www.seahawks.com/news/,https://www.seahawks.com/news/,include,essential,Official records.,local-source-seattle-seahawks,2026-08-21
sea-nfl,NFL gamebooks,NFL,organization,initial,official record,https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,valuable,Official participation.,local-source-nfl-gamebooks,2026-08-21
sea-henderson,Brady Henderson,ESPN,person,initial,"daily beat; national",https://www.espn.com/nfl/team/_/name/sea/seattle-seahawks,https://www.espn.com/nfl/story/_/id/48084500/seattle-seahawks-2026-free-agency-tracker-offseason-moves-signings-contract,include,essential,Current ESPN beat.,local-writer-brady-henderson,2026-08-21
sea-dugar,Michael-Shawn Dugar,The Athletic,person,initial,"daily beat; organization",https://www.nytimes.com/athletic/author/michael-shawn-dugar/,https://www.iheart.com/podcast/269-seahawks-man-2-man-a-show-49070313/,include,essential,Current Athletic beat.,local-writer-michael-shawn-dugar,2026-08-21
sea-condotta,Bob Condotta,Seattle Times,person,initial,"daily beat; major local",https://www.seahawks.com/video/before-the-noise-ep-4,https://www.seattletimes.com/author/bob-condotta/,include,essential,Primary Seattle Times beat.,local-writer-bob-condotta,2026-08-21
sea-bell,Gregg Bell,Tacoma News Tribune,person,initial,"daily beat; major local",https://www.thenewstribune.com/profile/218647760,https://www.thenewstribune.com/profile/218647760,include,essential,Current Tacoma beat and camp observations.,local-writer-gregg-bell,2026-08-21
sea-crabtree,Curtis Crabtree,FOX 13 Seattle,person,omission_pass,"local TV; camp notebooks; injuries",https://www.fox13seattle.com/person/c/curtis-crabtree,https://www.fox13seattle.com/sports/seahawks-notebook-first-day-pads-leonard-williams-deal-closing-in,include,valuable,Recurring firsthand 2026 camp notebooks provide an additional local reporting lane.,local-writer-curtis-crabtree,2026-08-21
sea-smith,Corbin Smith,Emerald City Spectrum / Locked On,person,omission_pass,"daily beat; film; podcast",https://podcasts.apple.com/us/podcast/locked-on-seahawks-daily-podcast-on-the-seattle-seahawks/id1151621299,https://www.fieldgulls.com/seattle-seahawks-training-camp/171475/seahawks-2026-training-camp-day-10-complete-reaction-analysis-corbin-smith,include,essential,High-cadence original camp and analysis.,local-writer-corbin-smith,2026-08-21
sea-brown,Matty F. Brown,Seahawks On Tape,person,omission_pass,"film and scheme; usage",https://www.seahawksontape.com/about,https://www.seahawksontape.com/,include,valuable,Differentiated detailed scheme work.,local-writer-matty-f-brown,2026-08-21
sea-nemhauser,Brian Nemhauser,Hawk Blogger,person,omission_pass,"camp; interviews; analytics",https://www.hawkblogger.com/,https://www.hawkblogger.com/,include,valuable,Credentialed independent camp and interview lane.,local-writer-brian-nemhauser,2026-08-21
sea-boyle,John Boyle,Seattle Seahawks,person,initial,"official record; team-controlled",https://www.seahawks.com/author/john-boyle,https://www.seahawks.com/news/,include,essential,Official senior reporter.,local-writer-john-boyle,2026-08-21
sea-wyman,Dave Wyman,Seahawks Radio Network,person,omission_pass,"local radio; film and scheme",https://sports.mynorthwest.com/category/seahawks/,https://sports.mynorthwest.com/category/seahawks/,include,valuable,Former-player defensive analysis.,local-writer-dave-wyman,2026-08-21
sea-mueller,Jen Mueller,Seahawks Radio Network,person,omission_pass,"local radio; interviews",https://www.seahawks.com/audio/,https://www.seahawks.com/audio/,include,valuable,Sideline and player-interview access.,local-writer-jen-mueller,2026-08-21
sea-pfr,Pro Football Reference,Sports Reference,organization,initial,"data; usage",https://www.pro-football-reference.com/teams/sea/2026.htm,https://www.pro-football-reference.com/teams/sea/2026.htm,include,valuable,Structured reference.,local-source-pro-football-reference,2026-08-21
sea-otc,Over the Cap,Over the Cap,organization,initial,transactions,https://overthecap.com/team/seattle-seahawks,https://overthecap.com/team/seattle-seahawks,include,valuable,Cap mechanics.,local-source-over-the-cap,2026-08-21
sea-fieldgulls,Field Gulls,SB Nation,organization,initial,"team analysis; aggregation",https://www.fieldgulls.com/,https://www.fieldgulls.com/,exclude,supplemental,Useful community analysis but strongest individual specialists are tracked directly.,,2026-08-21
sea-staton,Rob Staton,Seahawks Draft Blog,person,omission_pass,"draft; roster analysis",https://seahawksdraftblog.com/,https://seahawksdraftblog.com/,exclude,supplemental,Draft-specialist value is less differentiated for in-season fantasy monitoring.,,2026-08-21
sea-hawksnest,Brandon Cain,The Hawk's Nest,person,omission_pass,"podcast; film analysis",https://thehawksnest.podbean.com/,https://thehawksnest.podbean.com/,exclude,supplemental,Substantive analysis but redundant with Brown and Nemhauser in the core rotation.,,2026-08-21
sea-booth,Tim Booth,Seattle Times,person,omission_pass,"regional sports; occasional Seahawks",https://www.seattletimes.com/author/tim-booth/,https://www.seattletimes.com/author/tim-booth/,exclude,supplemental,Experienced Seattle sports reporter but no recurring 2026 Seahawks beat distinct from Bob Condotta was established.,,2026-08-21
