player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Garrett Bradbury,C,trade,2026-03-11,on roster,"Starting center replacement after Drew Dalman's retirement; acquired from New England for a 2027 fifth-round pick.",https://www.chicagobears.com/news/chicago-bears-acquire-ol-garrett-bradbury-and-second-round-pick-via-trades,2026-08-17
Coby Bryant,DB,free_agent_signing,2026-03-12,on roster,"Starting safety/tone-setter candidate in Dennis Allen's secondary after Seattle Super Bowl season.",https://www.chicagobears.com/news/chicago-bears-announce-four-signings,2026-08-17
Devin Bush,LB,free_agent_signing,2026-03-12,on roster,"Starting linebacker candidate after 124-tackle 2025 season in Cleveland.",https://www.chicagobears.com/news/chicago-bears-announce-four-signings,2026-08-17
Neville Gallimore,DL,free_agent_signing,2026-03-12,on roster,"Interior defensive-line rotation behind/with Gervon Dexter Sr. and Grady Jarrett.",https://www.chicagobears.com/news/chicago-bears-announce-four-signings,2026-08-17
Kalif Raymond,WR/KR,free_agent_signing,2026-03-12,on roster,"Speed/return role and veteran WR3/WR4 competition after DJ Moore trade and Devin Duvernay departure.",https://www.chicagobears.com/news/chicago-bears-announce-four-signings,2026-08-17
Jedrick Wills Jr.,OL,free_agent_signing,2026-03-12,on roster,"Short-term left tackle competition with Braxton Jones and Ozzy Trapilo health context.",https://www.chicagobears.com/news/chicago-bears-sign-ol-jedrick-wills-jr,2026-08-17
Cam Lewis,DB,free_agent_signing,2026-03-13,on roster,"Versatile nickel/safety and special teams depth in rebuilt secondary.",https://www.chicagobears.com/news/chicago-bears-re-sign-jones-sign-lewis-and-street,2026-08-17
Kentavius Street,DL,free_agent_signing,2026-03-13,on roster,"Veteran defensive-line depth for a pass-rush group seeking healthier 2026 output.",https://www.chicagobears.com/news/chicago-bears-re-sign-jones-sign-lewis-and-street,2026-08-17
Salvon Ahmed,RB,free_agent_signing,2026-05-21,on roster,"Running back depth behind D'Andre Swift, Kyle Monangai, and Roschon Johnson.",https://www.chicagobears.com/news/roster-moves,2026-08-17
Ray-Ray McCloud III,WR/KR,free_agent_signing,2026-08-10,on roster,"Late-camp receiver/return competition after Kyron Hudson was waived with an injury designation.",https://www.chicagobears.com/news/roster-moves,2026-08-17
Xavier Woods,DB,free_agent_signing,2026-08-07,on roster,"Late-camp safety depth after Dallis Flowers was placed on Reserve/Injured.",https://www.chicagobears.com/news/roster-moves,2026-08-17
