source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-green-bay-packers,organization,Green Bay Packers communications,Green Bay Packers,Official communications,official,essential,active,free,"roster; injuries; transactions; conferences","Team analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation,NFL,Official records,official,essential,active,free,"participation; statistics; play-by-play","Preferred postgame record.",,,,2026-08-21
local-writer-rob-demovsky,person,Rob Demovsky,ESPN NFL Nation,Packers NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; organization","ESPN verifies assignment.",,,,2026-08-21
local-writer-matt-schneidman,person,Matt Schneidman,The Athletic,Packers reporter,reporting,essential,active,paid,"camp; roles; roster; organization","Current August 2026 bylines verify assignment.",,,,2026-08-21
local-writer-tom-silverstein,person,Tom Silverstein,Milwaukee Journal Sentinel,Packers reporter,reporting,essential,active,paid,"beat; organization; contracts; history","Paywalled; preserve attribution.",,,,2026-08-21
local-writer-ryan-wood,person,Ryan Wood,PackersNews,Packers reporter,reporting,essential,active,paid,"camp; roles; injuries; roster","Current 2026 camp show verifies role.",,,,2026-08-21
local-writer-pete-dougherty,person,Pete Dougherty,PackersNews,Packers reporter and analyst,reporting,valuable,active,paid,"organization; line play; long-term context","Separate analysis from reporting.",,,,2026-08-21
local-writer-dominique-yates,person,Dominique Yates,Milwaukee Journal Sentinel / PackersNews,Packers host and reporter,reporting,valuable,active,mixed,"camp interviews; roster discussion; local podcast","Current 2026 Green 19 episodes verify active role; distinguish hosting from original reporting.",,,,2026-08-21
local-writer-bill-huber,person,Bill Huber,Independent / SI,Packers reporter,reporting,valuable,active,mixed,"camp; roster; organization; draft","Verify current outlet on citation.",,,,2026-08-21
local-writer-andy-herman,person,Andy Herman,Pack-A-Day,Packers analyst,film_analysis,valuable,active,mixed,"film; camp; roster; role battles","Independent evaluation.",,,,2026-08-21
local-writer-justis-mosqueda,person,Justis Mosqueda,Acme Packing Company,Packers analyst,film_analysis,valuable,active,free,"scheme; analytics; roster; camp synthesis","Follow attributed news to original source.",,,,2026-08-21
local-writer-dusty-evely,person,Dusty Evely,Acme Packing Company,Packers film analyst,film_analysis,valuable,active,free,"defensive film; scheme; player deployment","Evaluation source; establish news independently.",,,,2026-08-21
local-writer-ross-uglem,person,Ross Uglem,Pack-A-Day / Packer Report,Packers analyst,team_analysis,valuable,active,mixed,"camp observations; roster; draft; scheme","Separate firsthand work from projection.",,,,2026-08-21
local-writer-aaron-nagler,person,Aaron Nagler,Cheesehead TV,Credentialed Packers analyst,team_analysis,valuable,active,mixed,"camp observations; interviews; local context","Separate observation from opinion.",,,,2026-08-21
local-writer-mike-spofford,person,Mike Spofford,Green Bay Packers,Senior writer,team_analysis,valuable,active,free,"official news; interviews; camp","Team employee.",,,,2026-08-21
local-writer-wes-hodkiewicz,person,Wes Hodkiewicz,Green Bay Packers,Staff writer,team_analysis,valuable,active,free,"camp; roster; interviews","Team employee.",,,,2026-08-21
local-writer-larry-mccarren,person,Larry McCarren,Packers Radio Network,Radio analyst,film_analysis,valuable,active,free,"offensive line; film; interviews; team context","Team broadcast voice; label evaluation.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract reference,contract_data,valuable,active,free,"contracts; cap","Third-party interpretation.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"logs; snaps","Secondary reference.",,,,2026-08-21
