player,position,college,initial_acquisition_date,current_status_as_of_2026_08_05,status_date,notes,source_url,last_verified
Camden Brown,WR,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Tommy Dunn,DT,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Sidney Fugar,OT,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Kelvin Gilliam,DT,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Jordan Hudson,WR,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Langston Patterson,LB,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Shiyazh Pete,T,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Dominic Richardson,RB,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
D.J. Rogers,TE,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
Michael Trigg,TE,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
D.J. Withers,DT,unknown,2026-05-01,on roster,2026-05-01,"Officially listed among 11 undrafted free agents signed after the draft.",https://www.dallascowboys.com/news/updates-april-2026,2026-08-17
