candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
east-01,"Philadelphia Eagles communications","Philadelphia Eagles",organization,initial,"roster; injuries; transactions; gamebooks; transcripts",https://www.philadelphiaeagles.com/news/all,https://www.philadelphiaeagles.com/news/all,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-philadelphia-eagles,2026-08-20
east-02,"NFL gamebooks and participation records","NFL",organization,initial,"participation; starters; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-20
east-03,"Tim McManus","ESPN NFL Nation",person,initial,"daily beat; injuries; roster; organization",https://espnpressroom.com/us/bios/tim-mcmanus/,https://espnpressroom.com/us/bios/tim-mcmanus/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tim-mcmanus,2026-08-20
east-04,"Olivia Reiner","Philadelphia Inquirer",person,initial,"camp; practice; roles; roster",https://www.inquirer.com/author/reiner_olivia/,https://www.inquirer.com/author/reiner_olivia/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-olivia-reiner,2026-08-20
east-05,"Jeff Neiburg","Philadelphia Inquirer",person,initial,"practice; personnel; roster; draft",https://www.inquirer.com/author/neiburg_jeff/,https://www.inquirer.com/author/neiburg_jeff/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-jeff-neiburg,2026-08-21
east-06,"Dave Zangaro","NBC Sports Philadelphia",person,initial,"daily beat; practice; roster; snaps",https://www.nbcsportsphiladelphia.com/nfl/philadelphia-eagles/,https://www.nbcsportsphiladelphia.com/nfl/philadelphia-eagles/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dave-zangaro,2026-08-20
east-07,"Philadelphia Inquirer Eagles coverage","Philadelphia Inquirer",organization,omission_pass,"multi-reporter coverage; live updates; features",https://www.inquirer.com/eagles/,https://www.inquirer.com/eagles/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-philadelphia-inquirer-eagles,2026-08-20
east-08,"Pro Football Reference","Sports Reference",organization,omission_pass,"game logs; snap counts; history",https://www.pro-football-reference.com/teams/phi/2026.htm,https://www.pro-football-reference.com/teams/phi/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-20
east-09,Reuben Frank,NBC Sports Philadelphia,person,omission_pass,"daily camp; player roles; podcast",https://www.nbcsportsphiladelphia.com/nfl/philadelphia-eagles/,https://sports.yahoo.com/videos/roob-daves-takeaways-day-4-162203510.html,include,essential,Recurring firsthand 2026 camp observations and differentiated historical context.,local-writer-reuben-frank,2026-08-21
east-10,Eliot Shorr-Parks,94WIP,person,omission_pass,"credentialed camp; local radio; role observations",https://www.audacy.com/94wip/sports/eagles,https://www.audacy.com/94wip/sports/eagles,include,valuable,Active credentialed beat voice with daily local-radio coverage.,local-writer-eliot-shorr-parks,2026-08-21
east-11,Brandon Lee Gowton,Bleeding Green Nation,person,omission_pass,"credentialed camp; roster; podcast",https://www.bleedinggreennation.com/authors/brandon-lee-gowton,https://www.bleedinggreennation.com/authors/brandon-lee-gowton,include,valuable,Firsthand camp notes add an independent specialist lane.,local-writer-brandon-lee-gowton,2026-08-21
east-12,John McMullen,Sports Illustrated / JAKIB,person,omission_pass,"credentialed camp; interviews; organization",https://www.si.com/nfl/eagles/author/john-mcmullen,https://www.si.com/nfl/eagles/author/john-mcmullen,include,valuable,Long-running credentialed local reporting and interviews.,local-writer-john-mcmullen,2026-08-21
east-13,Zach Berman,PHLY,person,omission_pass,"organization; roster; institutional context",https://allphly.com/,https://allphly.com/,include,valuable,Deep Eagles reporting expertise and current subscription coverage.,local-writer-zach-berman,2026-08-21
east-14,Over the Cap,Over the Cap,organization,omission_pass,"contracts; cap; roster mechanics",https://overthecap.com/team/philadelphia-eagles,https://overthecap.com/team/philadelphia-eagles,include,valuable,Adds the missing contract and roster-mechanics lane.,local-source-over-the-cap,2026-08-21
