adp_id,watch_id,team,abbr,season,player_or_unit,position,source_id,scoring_format,format,overall_adp,position_adp,overall_rank,position_rank,cost_tier,market_read,last_verified,status,notes
adp-2026-nyg-malik-nabers-fp-001,wl-2026-sos-nyg-wr-001,New York Giants,NYG,2026,Malik Nabers,WR,fantasypros-2026-adp,half_ppr,redraft_1qb,37,16,,,round_4,"Draft target but not cheap; schedule supports tie-break only at WR2-ish cost.",2026-08-17,active,"FantasyPros ADP page: half-PPR overall 37 WR16; PPR overall 34 WR14; STD overall 34 WR13."
adp-2026-nyg-malik-nabers-fsp-001,wl-2026-sos-nyg-wr-001,New York Giants,NYG,2026,Malik Nabers,WR,fantasysp-2026-adp,unspecified,redraft_1qb,33,,,"WR neighborhood",round_3_4,"Secondary source reinforces that Nabers is priced as an early WR2 or aggressive WR2/3 turn pick.",2026-08-17,active,"FantasySP comparable WR table lists Malik Nabers at avg pick 33."
adp-2026-nyg-cam-skattebo-fp-vbd-001,wl-2026-sos-nyg-rb-001,New York Giants,NYG,2026,Cam Skattebo,RB,fantasypros-2026-rankings,standard,redraft_1qb,35,,22,18,round_4,"Early schedule could create sell-high value if he owns lead work; cost is already meaningful.",2026-08-17,active,"FantasyPros VBD standard page lists Cam Skattebo rank 22 RB18 with ADP 35."
adp-2026-phi-jalen-hurts-fp-001,wl-2026-sos-phi-pass-001,Philadelphia Eagles,PHI,2026,Jalen Hurts,QB,fantasypros-2026-adp,half_ppr,redraft_1qb,63,,,"QB6",round_6,"Early QB schedule makes Hurts more interesting if market discount persists.",2026-08-17,active,"FantasyPros ADP page: half-PPR overall 63; STD QB6; rankings page shows QB6."
adp-2026-phi-devonta-smith-fp-001,wl-2026-sos-phi-pass-001,Philadelphia Eagles,PHI,2026,DeVonta Smith,WR,fantasypros-2026-adp,unspecified,redraft_1qb,44,17,,,round_4_5,"Schedule supports Smith as a target if he is the clear WR1 and remains outside top-3 rounds.",2026-08-17,active,"FantasyPros player page lists overall ADP 44 and WR17."
adp-2026-phi-devonta-smith-fsp-001,wl-2026-sos-phi-pass-001,Philadelphia Eagles,PHI,2026,DeVonta Smith,WR,fantasysp-2026-adp,unspecified,redraft_1qb,34,,,"WR14 area",round_3_4,"Secondary source is more expensive than FantasyPros; schedule edge may already be partly priced in.",2026-08-17,active,"FantasySP lists DeVonta Smith ADP 34 and comparable WR table around Malik Nabers and Tee Higgins."
adp-2026-phi-saquon-barkley-beatadp-001,wl-2026-sos-phi-pass-001,Philadelphia Eagles,PHI,2026,Saquon Barkley,RB,beatadp-2026-platform,unspecified,redraft_1qb,20.2,,,"RB8",round_2,"Not part of current Eagles pass watchlist but useful team-cost context; full-season schedule is favorable for Eagles broadly.",2026-08-17,active,"BeatADP table lists Saquon Barkley consensus 20.2 and ESPN 19."
adp-2026-dal-dak-prescott-fta-001,wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,Dak Prescott,QB,fta-2026-player-rankings,half_ppr,redraft_1qb,,,,"QB10",late_qb1,"Early QB schedule supports targeting Dak if price remains QB10 range.",2026-08-17,active,"FTA Dak page lists Standard/Half/PPR position rank QB10."
adp-2026-dal-dak-prescott-fp-mock-001,wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,Dak Prescott,QB,fantasypros-2026-adp,standard,redraft_1qb,89.53,9,,,round_8,"Mock-draft ADP makes Dak a clear schedule-assisted value candidate.",2026-08-17,active,"FantasyPros mock QB ADP snippet lists QB9 and average pick 89.53."
adp-2026-dal-ceedee-lamb-beatadp-001,wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,CeeDee Lamb,WR,beatadp-2026-platform,unspecified,redraft_1qb,9.4,,,"WR5-ish",round_1,"Early WR schedule helps but Lamb is already premium priced.",2026-08-17,active,"BeatADP table lists CeeDee Lamb consensus 9.4."
