evidence_id,observed_date,priority_id,entity_or_unit,evidence_type,observed_fact,source_id,source_url,independent_corroboration,confidence,fantasy_implication,status,last_verified
lac-2026-pre-ev-001,2026-06-17,2,Justin Herbert,reported_observation,"Herbert changed his shotgun stance and emphasized footwork work to synchronize McDaniel's timing concepts; McDaniel and Harbaugh described the change as deliberate rather than mandatory.",local-writer-joaquin-ruiz,https://www.latimes.com/sports/chargers/story/2026-06-17/justin-herbert-is-starting-fresh-with-new-look-chargers-offense,yes,high,"The implementation is real but does not yet establish faster regular-season release time or higher efficiency.",active,2026-08-16
lac-2026-pre-ev-002,2026-06-30,1,Left guard,reported_observation,"Rhim identified Kayode Awosika Jake Slaughter Trevor Penning and Trey Pipkins III as the left-guard competition reported by Harbaugh.",local-writer-kris-rhim,https://www.chargers.com/news/afc-west-roundtable-justin-herbert,no,high,"The position entered camp unsettled and required first-unit and game evidence rather than draft-capital assumptions.",active,2026-08-16
lac-2026-pre-ev-003,2026-07-29,8,Akheem Mesidor,reported_observation,"The team camp report identified Mesidor as an early rookie standout during the first non-padded practice.",local-writer-eric-smith,https://www.chargers.com/news/training-camp-report-day-1-akheem-medisor,no,medium,"Positive direction only; non-padded practice praise does not establish a three-down role.",active,2026-08-16
lac-2026-pre-ev-004,2026-07-30,8,Tuli Tuipulotu,reported_observation,"Tuipulotu participated in individual drills but not team periods while seeking a contract extension in the opening days of camp.",local-writer-joaquin-ruiz,https://www.latimes.com/sports/chargers/story/2026-07-30/tuli-tuipulotu-sitting-out-of-practice-as-he-chases-chargers-deal,no,high,"Participation status must be rechecked before projecting the opening edge rotation.",active,2026-08-16
lac-2026-pre-ev-005,2026-08-16,1,Offensive line,official_statement,"The live team depth chart listed Slater Awosika Biadasz Strange and Alt as the first offensive line with Slaughter behind Awosika and Biadasz.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"Awosika has the current published lead at left guard but game reps must establish the functional opening five.",active,2026-08-16
lac-2026-pre-ev-006,2026-08-16,3,Omarion Hampton,official_statement,"The live team depth chart listed Hampton first at running back.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"The RB1 label supports the baseline but does not resolve route two-minute or goal-line shares.",active,2026-08-16
lac-2026-pre-ev-007,2026-08-16,4,Chargers backfield,official_statement,"The live team depth chart listed Keaton Mitchell second with Kimani Vidal and Amar Johnson in the next group.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"Mitchell owns the current published RB2 position; package and touch quality remain unmeasured.",active,2026-08-16
lac-2026-pre-ev-008,2026-08-16,5,Wide receivers,official_statement,"The live team depth chart listed McConkey and Johnston first at the two receiver spots with Harris behind McConkey and Thompson behind Johnston.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"The published hierarchy supports the Core projection but cannot establish route or first-read shares.",active,2026-08-16
lac-2026-pre-ev-009,2026-08-16,6,Tight ends,official_statement,"The live team depth chart listed Kolar first then grouped Gadsden and Pascuzzi ahead of a group containing Njoku and Bradley.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"The ordering may reflect formation and blocking roles rather than receiving priority; routes must be charted separately.",active,2026-08-16
lac-2026-pre-ev-010,2026-08-16,8,Edge rotation,official_statement,"The live team depth chart listed Mack ahead of Mesidor on one edge and Tuipulotu ahead of Dupree and Kennard on the other.",local-source-los-angeles-chargers,https://www.chargers.com/team/depth-chart,no,high,"Mesidor has a published second-line role but subpackage rush share and Tuipulotu's full participation remain open.",active,2026-08-16
