watch_id,team,abbr,season,position,player_or_unit,action_label,priority,confidence,window,schedule_signal,role_filter,adp_or_cost_filter,next_evidence_needed,source_files,last_verified,status,notes
wl-2026-sos-nyg-qb-001,New York Giants,NYG,2026,QB,Giants QB,draft_target,medium,low,first_5_played_games,"Early QB SOS rank 1; Giants also strong across RB/WR/TE early SOS.","Only actionable if starting QB role and pass volume are stable.","Needs ADP/ranking context; do not overpay for schedule alone.","Final depth chart; preseason first-team usage; current ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule supports hot-start thesis but offensive quality remains a gating variable."
wl-2026-sos-nyg-rb-001,New York Giants,NYG,2026,RB,Giants lead RB,sell_high_watch,medium,low,first_5_played_games,"Early RB SOS rank 2; team has broad early schedule support.","Needs clear lead back or high-value touch role.","Best if player is cheap enough to profit from early production spike.","Camp workload split; preseason third-down and goal-line usage; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Potential early production can create trade value if long-term role/offense remains fragile."
wl-2026-sos-nyg-wr-001,New York Giants,NYG,2026,WR,Giants primary WR,draft_target,high,low,first_5_played_games,"Early WR SOS rank 1; strongest multi-position early team signal.","Requires target concentration and near-every-down routes.","Target only if cost reflects Giants offense risk.","Route concentration; preseason target tree; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Best Giants schedule angle if one receiver separates."
wl-2026-sos-phi-pass-001,Philadelphia Eagles,PHI,2026,QB_WR,Eagles passing game,draft_target,high,low,first_5_played_games,"Early QB SOS rank 2 and WR SOS rank 3; full-season Athlon support across QB/RB/WR/TE.","Only upgrades already established roles; avoid forcing fringe receivers.","Schedule is a tie-breaker for premium pieces, not a reason to chase depth.","ADP; route distribution; preseason pass rate signs.","early-season-sos.csv;position-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Strongest schedule-plus-team-quality cluster among passing games."
wl-2026-sos-dal-pass-001,Dallas Cowboys,DAL,2026,QB_WR,Cowboys passing game,draft_target,high,low,first_5_played_games,"Early QB SOS rank 4 and WR SOS rank 5; favorable full-season WR/QB context.","Requires stable Dak Prescott/CeeDee Lamb/George Pickens usage assumptions.","Week 14 bye reduces value in leagues with Week 14 playoffs.","ADP; target split; injury status; playoff format.","early-season-sos.csv;schedule-wrinkles.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Early schedule is favorable, but playoff-format friction matters."
wl-2026-sos-dal-rb-001,Dallas Cowboys,DAL,2026,RB,Cowboys lead RB,draft_target,medium,low,first_5_played_games,"Early RB SOS rank 5; offense context likely stronger than several other RB hot-start teams.","Needs clear lead-back usage or high-value touch share.","Week 14 bye is a playoff-format discount if league starts playoffs then.","Depth chart; preseason goal-line usage; ADP; playoff format.","early-season-sos.csv;schedule-wrinkles.csv",2026-08-17,active,"Good early path if role is real; do not ignore Week 14 bye."
wl-2026-sos-det-rb-001,Detroit Lions,DET,2026,RB,Lions RBs,draft_target,high,low,first_5_played_games,"Early RB SOS rank 1; favorable market SOS; strong offense context.","Applies most to backs with defined weekly touch roles.","Schedule can justify aggressive tie-breaks at similar ADP.","Backfield split; injury status; ADP.","early-season-sos.csv;overall-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Best early RB schedule plus offense-quality combination."
wl-2026-sos-hou-wr-001,Houston Texans,HOU,2026,WR,Texans primary WRs,draft_target,medium,low,first_5_played_games,"Early WR SOS rank 7 and QB SOS rank 7; favorable start for passing game.","Requires concentrated target tree and pass protection not collapsing.","Need price check because market may already value Stroud/WR rebound.","Camp target distribution; OL health; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Schedule supports rebound/hot-start thesis if role distribution is clear."
wl-2026-sos-hou-rb-001,Houston Texans,HOU,2026,RB,Texans lead RB,draft_target,medium,low,first_5_played_games,"Early RB SOS rank 3; early QB/WR schedule also favorable.","Needs clear lead back or receiving role.","Avoid if committee cost is inefficient.","Preseason workload split; third-down usage; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Early schedule gives the backfield a path to quick value if role consolidates."
wl-2026-sos-bal-wr-001,Baltimore Ravens,BAL,2026,WR,Ravens primary WR,draft_target,medium,low,first_5_played_games,"Early WR SOS rank 2 and QB SOS rank 8.","Requires route/target consolidation because Ravens volume can be spread or run-heavy.","Schedule matters most if ADP is not pricing in an early spike.","Route rate; target share; pass-rate signs; ADP.","early-season-sos.csv;snapshots/2026-08-17-baseline-hot-start-sos.md",2026-08-17,active,"Good early schedule, but volume is the constraint."
