team,player,targets,team_assigned_targets
NE,S.Diggs,102,482
NE,H.Henry,87,482
NE,M.Hollins,65,482
NE,D.Douglas,46,482
NE,K.Boutte,46,482
NE,T.Henderson,42,482
NE,R.Stevenson,37,482
NE,A.Hooper,26,482
NE,K.Williams,21,482
NE,A.Gibson,3,482
NE,E.Chism,3,482
NE,J.Westover,2,482
NE,D.Maye,1,482
NE,T.Jennings,1,482
SEA,J.Smith-Njigba,163,455
SEA,C.Kupp,70,455
SEA,A.Barner,68,455
SEA,K.Walker,36,455
SEA,E.Arroyo,26,455
SEA,R.Shaheed,26,455
SEA,Z.Charbonnet,24,455
SEA,T.Horton,22,455
SEA,E.Saubert,7,455
SEA,C.White,4,455
SEA,D.Young,3,455
SEA,G.Holani,2,455
SEA,J.Bobo,2,455
SEA,N.Kallerup,1,455
SEA,B.Russell,1,455
