player,position,acquisition_type,transaction_date,current_status_as_of_2026_08_05,role_or_competition,source_url,last_verified
Rachaad White,RB,unrestricted_free_agent,2026-03-11,active,Receiving-capable back competing with Jacory Croskey-Merritt Jerome Ford Jeremy McNichols and Kaytron Allen,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Jerome Ford,RB,unrestricted_free_agent,2026-03-19,active,Change-of-pace and pass-game backfield competition,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Chig Okonkwo,TE,unrestricted_free_agent,2026-03-12,active,Receiving tight end who can compete for No. 2 target volume behind Terry McLaurin,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Dyami Brown,WR,unrestricted_free_agent,2026-03-11,active,Returning receiver competing for WR2 and field-stretching snaps,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Van Jefferson,WR,unrestricted_free_agent,2026-03-11,active,Veteran receiver competing for WR2 and rotational routes,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Odafe Oweh,OLB,unrestricted_free_agent,2026-03-09,active,Primary edge-rush addition for Daronte Jones' pressure front,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
K'Lavon Chaisson,OLB,unrestricted_free_agent,2026-03-11,active,Edge-rush starter or high-volume rotation piece opposite Oweh,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Charles Omenihu,DE,unrestricted_free_agent,2026-03-11,active,Interior/outside defensive-line pressure rotation,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Leo Chenal,LB,unrestricted_free_agent,2026-03-11,active,Versatile linebacker fit for Daronte Jones' linebacker-friendly pressure system,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Nick Cross,S,unrestricted_free_agent,2026-03-11,active,Starting safety candidate and run-support upgrade,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Amik Robertson,CB,unrestricted_free_agent,2026-03-12,active,Cornerback starter or nickel competition,https://www.commanders.com/news/commanders-2026-free-agency-tracker,2026-08-17
Rasul Douglas,CB,free_agent_signing,2026-07-09,active,Veteran cornerback depth and turnover upside during camp,https://www.commanders.com/news/commanders-sign-cb-rasul-douglas,2026-08-17
