candidate_id,candidate_name,outlet,entity_type,discovery_phase,coverage_lanes,current_assignment_evidence,original_work_evidence,disposition,priority,reason,source_id,last_verified
north-01,"Minnesota Vikings communications","Minnesota Vikings",organization,initial,"roster; injuries; transactions; conferences",https://www.vikings.com/news/,https://www.vikings.com/news/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-minnesota-vikings,2026-08-21
north-02,"NFL gamebooks and participation","NFL",organization,initial,"participation; statistics; play-by-play",https://www.nfl.com/scores/,https://www.nfl.com/scores/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-nfl-gamebooks,2026-08-21
north-03,"Kevin Seifert","ESPN NFL Nation",person,initial,"daily beat; QB reps; injuries; organization",https://www.vikings.com/video/beat-writer-roundtable-how-will-the-vikings-quarterback-room-evolve-this-offseason,https://www.vikings.com/video/beat-writer-roundtable-how-will-the-vikings-quarterback-room-evolve-this-offseason,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-kevin-seifert,2026-08-21
north-04,"Alec Lewis","The Athletic",person,initial,"camp; scheme; roster; features",https://www.nytimes.com/athletic/author/alec-lewis/,https://www.nytimes.com/athletic/author/alec-lewis/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-alec-lewis,2026-08-21
north-05,"Ben Goessling","Minnesota Star Tribune",person,initial,"organization; contracts; camp; roster",https://www.startribune.com/author/ben-goessling/6134708,https://www.startribune.com/author/ben-goessling/6134708,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-ben-goessling,2026-08-21
north-06,"Andrew Krammer","Minnesota Star Tribune",person,initial,"camp; line play; roles; podcast",https://podcasts.apple.com/us/podcast/access-vikings/id1032791356,https://podcasts.apple.com/us/podcast/access-vikings/id1032791356,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-andrew-krammer,2026-08-21
north-07,"Emily Leiker","Minnesota Star Tribune",person,initial,"camp; roles; features; roster",https://podcasts.apple.com/us/podcast/access-vikings/id1032791356,https://podcasts.apple.com/us/podcast/access-vikings/id1032791356,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-emily-leiker,2026-08-21
north-08,"Dane Mizutani","St. Paul Pioneer Press",person,initial,"daily beat; camp; injuries; roster",https://www.vikings.com/video/beat-writer-roundtable-how-will-the-vikings-quarterback-room-evolve-this-offseason,https://www.vikings.com/video/beat-writer-roundtable-how-will-the-vikings-quarterback-room-evolve-this-offseason,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-dane-mizutani,2026-08-21
north-09,"Matthew Coller","Purple Insider",person,initial,"camp; QB analysis; organization; podcast",https://purpleinsider.com/,https://purpleinsider.com/,include,essential,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-matthew-coller,2026-08-21
north-10,"Will Ragatz","Independent / Sports Illustrated",person,omission_pass,"daily camp; role battles; roster; game analysis",https://www.si.com/nfl/vikings/,https://www.si.com/nfl/vikings/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-will-ragatz,2026-08-21
north-11,"Luke Braun","Independent",person,omission_pass,"All-22; scheme; QB and line play",https://podcasts.apple.com/us/podcast/locked-on-vikings-daily-podcast-on-the-minnesota-vikings/id1141155612,https://podcasts.apple.com/us/podcast/locked-on-vikings-daily-podcast-on-the-minnesota-vikings/id1141155612,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-luke-braun,2026-08-21
north-12,"Tatum Everett","Minnesota Vikings",person,omission_pass,"interviews; roundtables; camp",https://www.vikings.com/video/ven-videos,https://www.vikings.com/video/ven-videos,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-tatum-everett,2026-08-21
north-13,"Lindsey Young","Minnesota Vikings",person,omission_pass,"position previews; interviews; roster context",https://www.vikings.com/news/,https://www.vikings.com/news/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-lindsey-young,2026-08-21
north-14,"Rob Kleifield","Minnesota Vikings",person,omission_pass,"camp observations; roster; interviews",https://www.vikings.com/news/training-camp,https://www.vikings.com/news/training-camp,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-rob-kleifield,2026-08-21
north-15,"Paul Allen","KFAN / Vikings Radio",person,omission_pass,"interviews; local radio; team context",https://www.vikings.com/audio/,https://www.vikings.com/audio/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-paul-allen,2026-08-21
north-16,"Pete Bercich","Vikings Radio",person,omission_pass,"film; defense; personnel",https://www.vikings.com/audio/,https://www.vikings.com/audio/,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-writer-pete-bercich,2026-08-21
north-17,"Over the Cap","Over the Cap",organization,omission_pass,"contracts; cap",https://overthecap.com/team/minnesota-vikings,https://overthecap.com/team/minnesota-vikings,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-over-the-cap,2026-08-21
north-18,"Pro Football Reference","Sports Reference",organization,omission_pass,"logs; snaps",https://www.pro-football-reference.com/teams/min/2026.htm,https://www.pro-football-reference.com/teams/min/2026.htm,include,valuable,"Current normalized source with verified assignment and differentiated monitoring value.",local-source-pro-football-reference,2026-08-21
