source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-denver-broncos,organization,Denver Broncos communications,Denver Broncos,Official team communications,official,essential,active,free,"roster; injuries; transactions; depth chart; conferences","Team analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use postgame source of record.",,,,2026-08-21
local-writer-jeff-legwold,person,Jeff Legwold,ESPN NFL Nation,Denver Broncos NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; roster; league context","Record retrieval date for updated pieces.",,,,2026-08-21
local-writer-nick-kosmider,person,Nick Kosmider,The Athletic,Broncos reporter,reporting,essential,active,paid,"practice; scheme; roster construction; organization","Summarize paywalled work and attribute.",,,,2026-08-21
local-writer-parker-gabriel,person,Parker Gabriel,The Denver Post,Broncos beat reporter,reporting,essential,active,paid,"camp; injuries; roles; personnel","Summarize paywalled work and attribute.",,,,2026-08-21
local-writer-mike-klis,person,Mike Klis,9NEWS,Broncos insider,reporting,essential,active,free,"organization; transactions; injuries; breaking news","Separate sourced reporting from analysis.",,,,2026-08-21
local-writer-zac-stevens,person,Zac Stevens,DNVR,Broncos reporter and host,reporting,valuable,active,paid,"camp; role battles; local context","Separate reporting from show opinion.",,,,2026-08-21
local-writer-troy-renck,person,Troy Renck,The Denver Post,Sports columnist and Broncos reporter,reporting,valuable,active,paid,"organization; veteran context; column reporting","Separate sourced reporting from opinion.",,,,2026-08-21
local-writer-chris-tomasson,person,Chris Tomasson,Denver Gazette,Broncos reporter,reporting,valuable,active,paid,"transactions; contracts; injuries; practice","Corroborate organization-level claims.",,,,2026-08-21
local-writer-ryan-edwards,person,Ryan Edwards,KOA Colorado,Broncos radio host and reporter,reporting,valuable,active,free,"camp observations; interviews; local context","Separate observation from radio opinion.",,,,2026-08-21
local-writer-cody-roark,person,Cody Roark,Mile High Sports / Locked On Broncos,Credentialed Broncos reporter and daily host,reporting,valuable,active,free,"daily practice; games; injuries; role usage","Separate firsthand reporting from podcast projection.",,,,2026-08-21
local-writer-andrew-mason,person,Andrew Mason,Denver Sports,Orange & Blue Today co-host,analysis,valuable,active,free,"daily camp; roster context; role interpretation","Analysis source; establish transactions and injuries independently.",,,,2026-08-21
local-writer-cecil-lammey,person,Cecil Lammey,Denver Sports,Orange & Blue Today co-host,analysis,valuable,active,free,"skill positions; camp observations; fantasy roles","Separate observation from projection.",,,,2026-08-21
local-writer-aric-dilalla,person,Aric DiLalla,Denver Broncos,Lead writer,team_analysis,valuable,active,free,"camp observations; interviews; official context","Team employee; not independent confirmation.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
