source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-tampa-bay-buccaneers,organization,Tampa Bay Buccaneers communications,Tampa Bay Buccaneers,Official team communications,official,essential,active,free,"injuries; transactions; roster; press conferences; camp reports","Source of record for club announcements; editorial content is team-controlled.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,League records,official,valuable,active,free,"gamebooks; participation; transactions","Retrieve the specific official record.",,,,2026-08-21
local-writer-jenna-laine,person,Jenna Laine,ESPN,Buccaneers reporter (NFL Nation),reporting,essential,active,free,"daily beat; injuries; roster; organization","Current ESPN Bucs reporter; separate sourced reporting from national speculation.",,,,2026-08-21
local-writer-rick-stroud,person,Rick Stroud,Tampa Bay Times,Buccaneers reporter,reporting,essential,active,paywall,"daily beat; breaking news; camp; organization","Paywall; separate reported facts from podcast commentary.",,,,2026-08-21
local-writer-greg-auman,person,Greg Auman,Fox Sports,NFC South reporter,reporting,essential,active,free,"breaking news; NFC South context; roster; contracts","Covers the full division; longstanding Bucs sourcing but lower team-only cadence.",The Athletic Buccaneers beat reporter,,,2026-08-21
local-writer-scott-reynolds,person,Scott Reynolds,Pewter Report,Publisher and senior Buccaneers writer,reporting,essential,active,free,"camp observations; sourcing; draft; roster; film","Outlet blends reporting and evaluation; corroborate consequential sourced claims.",,,,2026-08-21
local-writer-matt-matera,person,Matt Matera,Pewter Report,Buccaneers reporter and podcast producer,reporting,valuable,active,free,"daily camp; roster battles; podcast; interviews","Attribute individual observations and distinguish group roundtables.",,,,2026-08-21
local-writer-bailey-adams,person,Bailey Adams,Pewter Report,Buccaneers beat writer,reporting,valuable,active,free,"firsthand practices; camp; roster battles; seasonal previews","Current listed beat writer; distinguish observations from projections.",,,,2026-08-21
local-writer-adam-slivon,person,Adam Slivon,Pewter Report,Buccaneers beat writer and podcaster,reporting,valuable,active,free,"position rooms; camp; podcast; draft","Current listed beat writer; attribute his individual byline within group coverage.",,,,2026-08-21
local-writer-joshua-queipo,person,Joshua Queipo,Pewter Report,Buccaneers beat writer and cap analyst,film_analysis,valuable,active,free,"film; contracts; cap; roster construction; draft","Differentiate film evaluation and cap modeling from reported facts.",,,,2026-08-21
local-writer-river-wells,person,River Wells,Buccaneers On SI,Buccaneers reporter,reporting,valuable,active,free,"firsthand camp observations; position battles; roster; analysis","Separate direct observations from opinion and headline framing.",,,,2026-08-21
local-writer-ira-kaufman,person,Ira Kaufman,JoeBucsFan,Senior Buccaneers reporter and columnist,reporting,essential,active,free,"institutional context; interviews; organization; Hall of Fame","Published through a highly editorial site; cite Kaufman and his original report specifically.",,,,2026-08-21
local-writer-scott-smith,person,Scott Smith,Tampa Bay Buccaneers,Senior writer/editor,official,essential,active,free,"camp reports; roster; transactions; interviews","Team-employed official voice; not independent.",,,,2026-08-21
local-writer-casey-phillips,person,Casey Phillips,Tampa Bay Buccaneers,Team reporter,official,essential,active,free,"camp reports; interviews; video; role notes","Team-employed official voice; not independent.",,,,2026-08-21
local-writer-tony-castricone,person,Tony Castricone,Buccaneers Radio Network,Radio play-by-play voice,official,valuable,active,free,"radio; interviews; camp reports; game context","New radio voice for 2026; team broadcast role is not independent.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistics and roster database,data,valuable,active,free,"historical stats; roster; snaps; game logs","Snap counts are an unofficial convenience source.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Salary-cap and contract database,contract_data,valuable,active,free,"contracts; cap; dead money; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
