source_id,entity_type,name,outlet,current_role,source_class,priority,status,access,specialties,handling_note,former_role,ended_on,replacement_if_known,last_verified
local-source-washington-commanders,organization,Washington Commanders communications,Washington Commanders,Official team communications,official,essential,active,free,"roster; injuries; transactions; press conferences; camp notebooks","Team-produced analysis is not independent.",,,,2026-08-21
local-source-nfl-gamebooks,organization,NFL gamebooks and participation records,NFL,Official game records,official,essential,active,free,"participation; starters; statistics; play-by-play","Use the game-specific record postgame.",,,,2026-08-21
local-writer-john-keim,person,John Keim,ESPN NFL Nation,Washington Commanders NFL Nation reporter,reporting,essential,active,mixed,"daily beat; injuries; organization; podcast","ESPN verifies the current assignment.",,,,2026-08-21
local-writer-tashan-reed,person,Tashan Reed,The Washington Post,Commanders beat reporter,reporting,essential,active,paid,"camp observations; roster; scheme; organization","The Post profile and August 2026 bylines verify the assignment; summarize paywalled work.",,,,2026-08-21
local-writer-nicki-jhabvala,person,Nicki Jhabvala,The Athletic,Commanders beat reporter,reporting,essential,active,paid,"practice; roster; organization; role analysis","Current 2026 camp work verifies assignment; paywalled.",Washington Post Commanders reporter,2026,,2026-08-21
local-writer-jp-finlay,person,JP Finlay,NBC4 Washington / 106.7 The Fan,Commanders insider,reporting,valuable,active,free,"breaking news; camp; interviews; local radio","Separate sourced reporting from radio opinion.",,,,2026-08-21
local-writer-ben-standig,person,Ben Standig,Last Man Standig,Independent Commanders reporter,reporting,essential,active,mixed,"daily camp; roster; transactions; organization; podcast","Independent subscription work; preserve attribution and distinguish reporting from analysis.",The Athletic Commanders beat reporter,2025,,2026-08-21
local-writer-mark-bullock,person,Mark Bullock,Independent,Commanders film analyst,film_analysis,valuable,active,mixed,"All-22; scheme; quarterback and line play","Independent evaluation; verify factual premises at original sources.",,,,2026-08-21
local-writer-logan-paulsen,person,Logan Paulsen,Washington Commanders / Last Man Standig,Football analyst,film_analysis,valuable,active,mixed,"film; scheme; personnel roles; offensive line and tight ends","Team media role is not independent; label podcast projections and establish news separately.",,,,2026-08-21
local-writer-zach-selby,person,Zach Selby,Washington Commanders,Senior writer,team_analysis,valuable,active,free,"camp notebooks; interviews; roster context","Team employee; not independent confirmation.",,,,2026-08-21
local-source-over-the-cap,organization,Over the Cap,Over the Cap,Contract and salary-cap reference,contract_data,valuable,active,free,"contracts; cap; roster mechanics","Third-party interpretation; cross-check unusual figures.",,,,2026-08-21
local-source-pro-football-reference,organization,Pro Football Reference,Sports Reference,Statistical reference,data,valuable,active,free,"game logs; snap counts; history","Secondary reference.",,,,2026-08-21
