question_id,priority_id,entity_or_unit,preseason_hypothesis,confirming_evidence,disconfirming_evidence,baseline_confidence,fantasy_formats,review_trigger,status,last_updated
atl-2026-off-q01,1,Quarterbacks,Tua Tagovailoa holds only a reps-based Week 1 lead now that Michael Penix Jr. has full-team clearance,"Tua retains the majority of first-team 11-on-11 work after Penix's 2026-08-22 clearance","Penix earns equal or leading first-team reps",medium,"superflex;two_qb;general;player_props",each practice and the final preseason game,open,2026-08-24
atl-2026-off-q02,1,Michael Penix Jr.,Penix's ACL recovery no longer blocks 11-on-11 work but his under-center transition still delays confident projection,"full-team participation plus efficient first-team under-center and play-action work","limited first-team allocation or renewed medical restrictions",medium,"superflex;two_qb;dynasty",first-team reps after 2026-08-22 medical clearance,open,2026-08-24
atl-2026-off-q03,1,Bijan Robinson,Bijan remains the offense's volume anchor despite Brian Robinson Jr. joining,"first-team rushes/routes; two-minute usage; designed touches in pass game","Brian Robinson Jr. takes major early-down or goal-line share",high,"standard;half_ppr;ppr;best_ball;player_props",red-zone and third-down work,open,2026-08-17
atl-2026-off-q04,2,Brian Robinson Jr.,Brian Robinson Jr. takes the Tyler Allgeier power-complement role rather than a full committee split,"short-yardage and late-clock carries; limited route share","near-even early-down usage or goal-line dominance",medium,"standard;half_ppr;best_ball;player_props",preseason role charting,open,2026-08-17
atl-2026-off-q05,1,Drake London,London remains the clear target-share leader after his extension,"dominates first-team routes and high-leverage targets","targets distribute evenly or London misses time",high,"standard;half_ppr;ppr;best_ball;player_props",first two regular-season games,open,2026-08-17
atl-2026-off-q06,2,Kyle Pitts Sr.,Pitts' route rate rises in a Stefanski/Rees offense after new contract,"regular slot/in-line/move usage; play-action targets; red-zone routes","Hooper/Koger packages cap routes; targets stay inconsistent",medium,"ppr;tight_end_premium;best_ball;player_props",first-team personnel packages,open,2026-08-17
atl-2026-off-q07,3,Zachariah Branch,Branch becomes a package slot/YAC and return weapon before a full-time fantasy receiver,"first-team slot packages; screens/quick game; return role","buried behind veterans; mostly special teams",low,"best_ball;dynasty;player_props",preseason routes and return depth chart,open,2026-08-17
atl-2026-off-q08,2,Offensive line,Jawaan Taylor and Ethan Onianwa define the right-tackle volatility while Bergeron stabilizes left guard,"Taylor healthy with first team; Bergeron extension confirms continuity","Taylor limited; Onianwa or another option rotates heavily",medium,"general;player_props",final two preseason games,open,2026-08-17
atl-2026-off-q09,2,Tommy Rees,The offense leans into under-center run action and play action,"under-center reps and play-action shots in first-team drives","shotgun-heavy spread identity dominates",medium,"general;superflex;player_props",first preseason and Week 1 scripts,open,2026-08-17
atl-2026-off-q10,4,Wide receivers,No Falcon receiver beyond London earns weekly fantasy relevance in a lower-volume scheme,"Dotson/Zaccheaus split targets; total WR pass volume compresses","a clear WR2 emerges with first-team route and target share",medium,"best_ball;ppr;dynasty",preseason offensive snaps and target distribution,open,2026-08-17
atl-2026-off-q11,3,Kyle Pitts Sr.,"Pitts' fantasy ceiling is quarterback-dependent, favoring a rhythm pocket passer over Penix","higher target rate with Tua; play-action move-role usage","strong Pitts usage regardless of quarterback, or in-line blocking role",medium,"ppr;tight_end_premium;player_props",QB-to-Pitts target rate in preseason,open,2026-08-17
atl-2026-off-q12,2,Backfield,Brian Robinson Jr. threatens Bijan's rushing-TD equity but not his volume or passing-down role,"BRob handles inside-the-5 and short-yardage carries; Bijan keeps routes","Bijan retains goal-line work or BRob takes passing-down snaps",high,"standard;half_ppr;ppr;best_ball;player_props",inside-the-5 carries in preseason and Weeks 1-3,open,2026-08-17
